ADT FN01/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,01/01/2020,18/12/2019,01/01/2019,01/01/2019,20/10/2019,,,,18/01/2019,18/01/2014,,
,,,,,,,,,,,17/01/2020,03/01/2020,17/01/2019,17/01/2020,17/01/2020,,,,17/01/2020,17/01/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 6 , 10 , 2 , 35 , 38.2 , 0.9 , -   , 158 , 159.2 , 1.0 , -   
,Hepatitis B (unspecified),052, 4 , 78 , -   , 40 , 1 , 2 , 52 , 24 , 201 , 156 , 225 , 201 ," 1,172 "," 1,372.8 ", 0.9 , -   ," 5,617 "," 6,157.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , 2 , -   , 10 , 2 , -   , -   , 3 , 18 , 30 , 38 , 18 , 227 , 172.0 , 1.3 , 23.5 , 776 , 707.0 , 1.1 , -   
,Hepatitis C (unspecified),053, 3 , 127 , -   , 98 , 1 , 4 , 53 , 32 , 318 , 275 , 368 , 318 ," 1,857 "," 2,372.8 ", 0.8 , -   ," 8,342 "," 10,042.8 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , 2 , 2 , -   , -   , -   , 5 , 5 , 5 , 5 , 16 , 17.0 , 0.9 , -   , 71 , 65.8 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 41 , 530 , 12 , 540 , 165 , 73 , 435 , 187 ," 1,983 "," 1,545 "," 2,159 "," 1,983 "," 10,187 "," 7,701.2 ", 1.3 , -   ," 36,134 "," 25,737.8 ", 1.4 , 380.0 
,Cryptosporidiosis,061, 3 , 45 , 3 , 38 , 8 , 1 , 53 , 31 , 182 , 107 , 135 , 182 , 749 , 780.4 , 1.0 , -   ," 2,716 "," 3,927.2 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 1 , 2 , 2 , 4 , 4.6 , 0.9 , -   , 18 , 16.8 , 1.1 , -   
,Hepatitis A,038, -   , 3 , 1 , 2 , -   , -   , 6 , 1 , 13 , 11 , 8 , 13 , 62 , 57.4 , 1.1 , -   , 254 , 241.0 , 1.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , -   , 1 , 10 , 11.4 , 0.9 , -   , 51 , 46.2 , 1.1 , -   
,Listeriosis,018, -   , 1 , -   , 2 , -   , 1 , 1 , -   , 5 , 1 , 3 , 5 , 12 , 18.2 , 0.7 , -   , 52 , 76.2 , 0.7 , -   
,Paratyphoid,080, -   , 3 , -   , 1 , -   , -   , -   , 2 , 6 , 7 , 5 , 6 , 23 , 18.6 , 1.2 , -   , 113 , 75.6 , 1.5 , 20.1 
,STEC,054, 1 , 6 , -   , 2 , 19 , -   , 4 , 8 , 40 , 40 , 39 , 40 , 199 , 108.6 , 1.8 , -   , 655 , 335.0 , 2.0 , -   
