ADT FN02/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,18/01/2020,04/01/2020,18/01/2019,01/01/2019,03/11/2019,,,,01/02/2019,01/02/2014,,
,,,,,,,,,,,31/01/2020,17/01/2020,31/01/2019,31/01/2020,31/01/2020,,,,31/01/2020,31/01/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 5 , 2 , 31 , 37.2 , 0.8 , -   , 152 , 158.6 , 1.0 , -   
,Hepatitis B (unspecified),052, 5 , 63 , -   , 19 , 3 , 2 , 47 , 16 , 155 , 200 , 209 , 382 ," 1,154 "," 1,340.0 ", 0.9 , -   ," 5,591 "," 6,149.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 22 , 1 , -   , -   , -   , 24 , 24 , 20 , 50 , 219 , 166.6 , 1.3 , 18.2 , 789 , 705.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 5 , 109 , 5 , 63 , 1 , 8 , 39 , 42 , 272 , 295 , 302 , 602 ," 1,822 "," 2,307.8 ", 0.8 , -   ," 8,324 "," 10,041.2 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , 1 , -   , -   , -   , -   , 3 , 4 , 3 , 8 , 17 , 16.2 , 1.0 , -   , 71 , 65.8 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 0.8 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 24 , 419 , 14 , 414 , 94 , 32 , 262 , 124 ," 1,383 "," 1,732 "," 1,466 "," 3,409 "," 9,936 "," 7,685.2 ", 1.3 , -   ," 36,093 "," 25,889.6 ", 1.4 , 77.4 
