ADT FN13/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,20/06/2020,06/06/2020,20/06/2019,01/01/2020,05/04/2020,,,,04/07/2019,04/07/2014,,
,,,,,,,,,,,03/07/2020,19/06/2020,03/07/2019,03/07/2020,03/07/2020,,,,03/07/2020,03/07/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 4 , -   , -   , -   , 1 , 6 , 2 , 8 , 61 , 32 , 39.8 , 0.8 , -   , 137 , 152.8 , 0.9 , -   
,Hepatitis B (unspecified),052, 3 , 78 , -   , 38 , 1 , 1 , 44 , 35 , 200 , 206 , 232 ," 2,590 "," 1,166 "," 1,524.0 ", 0.8 , -   ," 5,312 "," 6,095.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 10 , -   , -   , -   , 2 , 12 , 35 , 29 , 346 , 167 , 166.2 , 1.0 , -   , 814 , 696.4 , 1.2 , -   
,Hepatitis C (unspecified),053, 4 , 125 , 6 , 75 , 3 , 4 , 37 , 33 , 287 , 280 , 357 ," 3,796 "," 1,718 "," 2,443.4 ", 0.7 , -   ," 7,809 "," 9,952.2 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 5 , 1 , 27 , 14 , 16.2 , 0.9 , -   , 56 , 67.8 , 0.8 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.2 , 0.8 , -   
,Campylobacteriosis,005, 12 , 250 , 5 , 232 , 120 , 45 , 64 , 93 , 821 , 943 ," 1,146 "," 15,071 "," 5,330 "," 6,120.8 ", 0.9 , -   ," 33,740 "," 27,079.2 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 8 , 1 , 5 , 1 , -   , 5 , 1 , 21 , 38 , 72 ," 1,904 ", 382 ," 1,066.0 ", 0.4 , -   ," 2,946 "," 3,939.8 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 2 , 3.4 , 0.6 , -   , 13 , 15.8 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 83 , 18 , 51.2 , 0.4 , -   , 189 , 244.2 , 0.8 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 28 , 2 , 10.8 , 0.2 , -   , 52 , 46.8 , 1.1 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 16 , 2 , 15.4 , 0.1 , -   , 39 , 72.8 , 0.5 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 45 , 5 , 14.8 , 0.3 , -   , 76 , 80.8 , 0.9 , -   
,STEC,054, -   , 2 , 1 , -   , 4 , -   , 6 , 2 , 15 , 16 , 23 , 336 , 90 , 93.6 , 1.0 , -   , 649 , 380.4 , 1.7 , -   
,Salmonellosis,030, 2 , 66 , 10 , 82 , 16 , 5 , 46 , 63 , 290 , 343 , 391 ," 8,237 "," 2,390 "," 3,863.2 ", 0.6 , -   ," 14,608 "," 16,133.0 ", 0.9 , -   
,Shigellosis,031, -   , 4 , 5 , 3 , 1 , -   , 7 , 5 , 25 , 29 , 84 ," 1,281 ", 199 , 440.0 , 0.5 , -   ," 2,670 "," 1,795.4 ", 1.5 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 85 , 8 , 31.0 , 0.3 , -   , 159 , 142.2 , 1.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 89 , 1 , 2 , 3 , -   , 647 , 9 , 751 , 190 , -   ," 8,386 "," 2,649 ", -   ,  ," 2,649.0 "," 8,386 ", -   ,  ," 8,386.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
