,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,
Cause of death and ICD-10 code,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons,,Males,Females,Persons
Total deaths,"72,810","69,699","142,509",,"72,665","68,639","141,304",,"73,040","69,737","142,777",,"75,368","71,409","146,777",,"75,620","73,325","148,945",,"76,168","72,093","148,261",,"78,459","75,484","153,943",,"80,489","76,782","157,271",," 81,825 "," 76,653 "," 158,478 ",," 83,997 "," 79,019 "," 163,016 ",,"76,307","71,051","147,358"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Causes of death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPTER I Certain infectious and parasitic diseases (A00-B99),1011,958,"1,969",,958,851,"1,809",,1131,1016,"2,147",,"1,236",1162,"2,398",,1240,1197,"2,437",,"1,341","1,339","2,680",,"1,414","1,357","2,771",,"1,432","1,375","2,807",,"1,445","1,372","2,817",,"1,342","1,306","2,648",,"1,119","1,150","2,269"
Intestinal infectious diseases  (A00-A09),24,47,71,,27,53,80,,38,62,100,,51,79,130,,71,103,174,,94,168,262,,120,171,291,,99,185,284,,111,160,271,,125,196,321,,100,159,259
Cholera (A00),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Typhoid and paratyphoid fevers (A01),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0
Other salmonella infections (A02),4,2,6,,4,4,8,,4,4,8,,1,2,3,,4,3,7,,4,5,9,,7,2,9,,12,6,18,,5,2,7,,1,4,5,,10,4,14
Shigellosis (A03),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other bacterial intestinal infections (A04),10,22,32,,10,16,26,,21,32,53,,37,59,96,,41,67,108,,17,45,62,,34,36,70,,22,36,58,,27,41,68,,26,40,66,,29,29,58
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",1,1,2,,1,1,2,,0,0,0,,0,0,0,,0,3,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Amoebiasis (A06),0,0,0,,1,0,1,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,1,1,2,,0,0,0,,0,0,0,,0,0,0
