ADT FN26/2020-2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,21/12/2020,07/12/2020,21/12/2019,01/01/2021,06/10/2020,,,,04/01/2020,04/01/2015,,
,,,,,,,,,,,03/01/2021,20/12/2020,03/01/2020,03/01/2021,03/01/2021,,,,03/01/2021,03/01/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , 1 , -   , 1 , -   , -   , -   , 2 , 3 , 5 , -   , 24 , 35.6 , 0.7 , -   , 113 , 152.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 32 , -   , 18 , -   , -   , -   , 7 , 60 , 192 , 106 , 1 ," 1,101 "," 1,342.8 ", 0.8 , -   ," 4,946 "," 5,988.8 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 13 , -   , -   , -   , 1 , 15 , 22 , 15 , 1 , 140 , 193.0 , 0.7 , -   , 667 , 723.0 , 0.9 , -   
,Hepatitis C (unspecified),053, -   , 52 , 7 , 39 , 1 , 5 , 3 , 23 , 130 , 290 , 168 , 5 ," 1,746 "," 2,325.8 ", 0.8 , -   ," 7,349 "," 9,814.4 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 5 , 3 , -   , 17 , 18.4 , 0.9 , -   , 69 , 66.4 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   ,  , 1.0 , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 7 , 283 , 8 , 205 , 99 , 30 , 232 , 137 ," 1,001 "," 1,516 "," 1,119 ", 124 ," 9,095 "," 8,160.2 ", 1.1 , -   ," 31,293 "," 28,855.6 ", 1.1 , -   
