ADT FN11/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,23/05/2020,09/05/2020,23/05/2019,01/01/2020,08/03/2020,,,,06/06/2019,06/06/2014,,
,,,,,,,,,,,05/06/2020,22/05/2020,05/06/2019,05/06/2020,05/06/2020,,,,05/06/2020,05/06/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 1 , -   , -   , -   , 1 , 3 , 6 , 8 , 51 , 30 , 39.6 , 0.8 , -   , 141 , 153.4 , 0.9 , -   
,Hepatitis B (unspecified),052, 2 , 87 , 3 , 34 , 2 , 4 , 60 , 22 , 214 , 182 , 234 ," 2,166 "," 1,119 "," 1,556.4 ", 0.7 , -   ," 5,324 "," 6,111.4 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , 1 , -   , 20 , -   , -   , -   , 5 , 27 , 31 , 31 , 291 , 157 , 170.0 , 0.9 , -   , 809 , 699.8 , 1.2 , -   
,Hepatitis C (unspecified),053, 7 , 132 , 2 , 70 , 1 , 6 , 45 , 32 , 295 , 307 , 334 ," 3,241 "," 1,772 "," 2,516.6 ", 0.7 , -   ," 7,958 "," 9,967.8 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , -   , 1 , -   , -   , -   , 2 , 3 , 4 , 20 , 7 , 15.0 , 0.5 , -   , 58 , 67.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , 1 , 1.2 , 0.8 , -   
,Campylobacteriosis,005, 23 , 243 , 9 , 272 , 106 , 30 , 103 , 83 , 869 , 917 ," 1,171 "," 13,172 "," 5,640 "," 6,141.6 ", 0.9 , -   ," 34,098 "," 26,934.0 ", 1.3 , -   
,Cryptosporidiosis,061, -   , 9 , 1 , 9 , 5 , 2 , 35 , 3 , 64 , 71 , 91 ," 1,845 ", 798 ," 1,433.6 ", 0.6 , -   ," 3,022 "," 3,954.0 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 1 , 5 , 3 , 4.4 , 0.7 , -   , 14 , 15.8 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 83 , 42 , 63.6 , 0.7 , -   , 205 , 242.6 , 0.8 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 1 , 29 , 17 , 11.6 , 1.5 , -   , 57 , 47.2 , 1.2 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 15 , 7 , 14.6 , 0.5 , -   , 43 , 73.2 , 0.6 , -   
,Paratyphoid,080, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 5 , 45 , 13 , 21.0 , 0.6 , -   , 80 , 80.6 , 1.0 , -   
,STEC,054, -   , 5 , -   , -   , 4 , -   , 2 , 2 , 13 , 15 , 24 , 305 , 113 , 100.2 , 1.1 , -   , 664 , 376.6 , 1.8 , -   
,Salmonellosis,030, 4 , 76 , 13 , 95 , 20 , 3 , 46 , 52 , 309 , 493 , 511 ," 7,599 "," 2,932 "," 4,630.4 ", 0.6 , -   ," 14,752 "," 16,176.0 ", 0.9 , -   
,Shigellosis,031, -   , 2 , 1 , 8 , 4 , -   , 3 , 10 , 28 , 27 , 131 ," 1,228 ", 357 , 441.2 , 0.8 , -   ," 2,810 "," 1,770.0 ", 1.6 , -   
,Typhoid Fever,035, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 6 , 85 , 30 , 41.6 , 0.7 , -   , 166 , 142.2 , 1.2 , -   
