ADT FN24/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,23/11/2020,09/11/2020,23/11/2019,01/01/2020,08/09/2020,,,,07/12/2019,07/12/2014,,
,,,,,,,,,,,06/12/2020,22/11/2020,06/12/2019,06/12/2020,06/12/2020,,,,06/12/2020,06/12/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , 1 , 2 , -   , -   , 1 , -   , 4 , 10 , 6 , 104 , 25 , 33.6 , 0.7 , -   , 115 , 153.4 , 0.7 , -   
,Hepatitis B (unspecified),052, 1 , 83 , -   , 27 , 3 , 1 , 42 , 14 , 171 , 205 , 208 ," 4,691 "," 1,172 "," 1,477.4 ", 0.8 , -   ," 4,979 "," 6,007.6 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 16 , 2 , 1 , -   , 2 , 21 , 17 , 45 , 622 , 150 , 199.4 , 0.8 , -   , 685 , 716.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 4 , 101 , 3 , 75 , -   , 2 , 42 , 53 , 281 , 279 , 318 ," 6,935 "," 1,819 "," 2,406.4 ", 0.8 , -   ," 7,431 "," 9,842.6 ", 0.8 , -   
,Hepatitis D,050, 1 , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 64 , 20 , 18.0 , 1.1 , -   , 68 , 68.4 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 46 , 499 , 18 , 305 , 85 , 76 , 56 , 151 ," 1,236 "," 1,609 "," 1,678 "," 28,688 "," 8,494 "," 7,862.0 ", 1.1 , -   ," 31,185 "," 28,601.2 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 17 , 6 , 12 , -   , 1 , 10 , 1 , 47 , 52 , 135 ," 2,370 ", 301 , 625.8 , 0.5 , -   ," 2,560 "," 3,977.0 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 15 , 3 , 4.4 , 0.7 , -   , 15 , 16.4 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 91 , 4 , 50.4 , 0.1 , -   , 110 , 244.8 , 0.4 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 32 , 1 , 9.0 , 0.1 , -   , 34 , 45.8 , 0.7 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , 2 , 3 , 4 , 1 , 40 , 13 , 16.4 , 0.8 , -   , 40 , 71.8 , 0.6 , -   
