ADT FN09/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,25/04/2020,11/04/2020,25/04/2019,01/01/2019,09/02/2020,,,,09/05/2019,09/05/2014,,
,,,,,,,,,,,08/05/2020,24/04/2020,08/05/2019,08/05/2020,08/05/2020,,,,08/05/2020,08/05/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , 2 , 40 , 31 , 40.8 , 0.8 , -   , 144 , 154.6 , 0.9 , -   
,Hepatitis B (unspecified),052, 2 , 70 , -   , 24 , 1 , 1 , -   , 14 , 112 , 111 , 209 ," 1,695 "," 1,149 "," 1,540.4 ", 0.7 , -   ," 5,321 "," 6,115.4 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 15 , -   , -   , -   , 3 , 19 , 22 , 21 , 227 , 153 , 170.6 , 0.9 , -   , 803 , 701.4 , 1.1 , -   
,Hepatitis C (unspecified),053, 3 , 100 , 2 , 69 , -   , 3 , 9 , 24 , 210 , 219 , 282 ," 2,613 "," 1,811 "," 2,567.2 ", 0.7 , -   ," 8,008 "," 9,994.4 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 15 , 6 , 14.6 , 0.4 , -   , 61 , 66.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.2 , 0.8 , -   
,Campylobacteriosis,005, 14 , 191 , 16 , 189 , 68 , 22 , 150 , 67 , 717 , 631 ," 1,243 "," 11,378 "," 6,918 "," 6,401.0 ", 1.1 , -   ," 34,739 "," 26,751.4 ", 1.3 , -   
,Cryptosporidiosis,061, -   , 17 , 2 , 23 , 7 , -   , 12 , 11 , 72 , 72 , 127 ," 1,711 "," 1,205 "," 1,697.6 ", 0.7 , -   ," 3,105 "," 3,954.2 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 2 , 3.8 , 0.5 , -   , 16 , 16.2 , 1.0 , -   
,Hepatitis A,038, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 10 , 8 , 82 , 56 , 82.2 , 0.7 , -   , 211 , 243.6 , 0.9 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 28 , 23 , 13.0 , 1.8 , 4.0 , 58 , 47.6 , 1.2 , 1.3 
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 15 , 9 , 21.4 , 0.4 , -   , 44 , 74.4 , 0.6 , -   
,Paratyphoid,080, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , 44 , 31 , 28.8 , 1.1 , -   , 89 , 81.0 , 1.1 , -   
,STEC,054, -   , 1 , -   , -   , 6 , -   , 1 , 2 , 10 , 12 , 25 , 275 , 168 , 110.2 , 1.5 , -   , 685 , 365.2 , 1.9 , -   
,Salmonellosis,030, 2 , 99 , 19 , 108 , 29 , 10 , 57 , 91 , 415 , 375 , 691 ," 6,797 "," 4,475 "," 5,295.6 ", 0.8 , -   ," 15,024 "," 16,250.6 ", 0.9 , -   
,Shigellosis,031, -   , 5 , 10 , 5 , 5 , -   , 7 , 5 , 37 , 36 , 160 ," 1,175 ", 685 , 456.4 , 1.5 , -   ," 3,026 "," 1,729.4 ", 1.7 , -   
,Typhoid Fever,035, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 2 , 2 , 83 , 65 , 54.4 , 1.2 , -   , 182 , 140.6 , 1.3 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 1 , 49 , 2 , 17 , 1 , 18 , 144 , 6 , 238 , 403 , -   ," 6,968 "," 6,952 ", -   ,  ," 6,952.0 "," 6,968 ", -   ,  ," 6,968.0 "
