ADT FN22/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,26/10/2020,10/10/2020,26/10/2019,01/01/2020,11/08/2020,,,,09/11/2019,09/11/2014,,
,,,,,,,,,,,08/11/2020,25/10/2020,08/11/2019,08/11/2020,08/11/2020,,,,08/11/2020,08/11/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 8 , 90 , 15 , 35.6 , 0.4 , -   , 109 , 153.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 6 , 75 , 2 , 35 , 3 , 1 , 42 , 21 , 185 , 200 , 176 ," 4,307 "," 1,177 "," 1,507.0 ", 0.8 , -   ," 5,027 "," 6,016.6 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 23 , 1 , -   , -   , -   , 25 , 22 , 46 , 580 , 159 , 190.4 , 0.8 , -   , 730 , 708.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 3 , 110 , 3 , 74 , 3 , 1 , 51 , 34 , 279 , 315 , 332 ," 6,280 "," 1,818 "," 2,379.6 ", 0.8 , -   ," 7,357 "," 9,856.4 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , 1 , -   , 3 , 5 , 2 , 62 , 24 , 19.8 , 1.2 , -   , 69 , 68.2 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 47 , 419 , 19 , 344 , 139 , 42 , 221 , 139 ," 1,370 "," 1,441 "," 1,642 "," 25,690 "," 7,727 "," 7,195.0 ", 1.1 , -   ," 31,481 "," 28,289.8 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 9 , 1 , 5 , 5 , 3 , 20 , 3 , 46 , 48 , 83 ," 2,268 ", 278 , 489.4 , 0.6 , -   ," 2,710 "," 3,951.4 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 14 , 3 , 4.2 , 0.7 , -   , 16 , 16.2 , 1.0 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 91 , 6 , 48.4 , 0.1 , -   , 133 , 243.6 , 0.5 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 32 , 2 , 8.6 , 0.2 , -   , 39 , 45.8 , 0.9 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , 33 , 10 , 16.4 , 0.6 , -   , 37 , 71.2 , 0.5 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 45 , -   , 12.6 , -   , -   , 54 , 82.8 , 0.7 , -   
,STEC,054, -   , 5 , -   , 2 , 14 , -   , 2 , 3 , 26 , 19 , 26 , 485 , 116 , 102.4 , 1.1 , -   , 604 , 414.6 , 1.5 , -   
,Salmonellosis,030, 4 , 80 , 13 , 114 , 26 , 3 , 47 , 50 , 337 , 325 , 537 ," 10,550 "," 1,689 "," 2,778.6 ", 0.6 , -   ," 12,858 "," 16,163.6 ", 0.8 , -   
,Shigellosis,031, -   , 3 , 4 , 6 , 1 , -   , 1 , 5 , 20 , 25 , 107 ," 1,548 ", 163 , 476.4 , 0.3 , -   ," 1,965 "," 1,916.8 ", 1.0 , -   
,Typhoid Fever,035, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 91 , 3 , 27.6 , 0.1 , -   , 113 , 146.8 , 0.8 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 88 , 7 , 10 , 23 , -   , 6 , 17 , 151 , 286 , -   ," 27,741 "," 6,125 ", -   ,  ," 6,125.0 "," 27,741 ", -   ,  ," 27,741.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 49 ," 1,061 ", 60 , 890 , 201 , 17 , 59 , 405 ," 2,742 "," 3,202 "," 3,506 "," 64,147 "," 17,796 "," 23,475.0 ", 0.8 , -   ," 75,741 "," 98,487.0 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 10 , 369 , 31 , 231 , 60 , 2 , 48 , 124 , 875 ," 1,035 "," 1,292 "," 25,911 "," 6,384 "," 6,626.4 ", 1.0 , -   ," 30,591 "," 26,712.2 ", 1.1 , -   
,Syphilis < 2 years,066, 3 , 41 , 12 , 27 , 7 , -   , 34 , 40 , 164 , 185 , 218 ," 4,436 "," 1,165 "," 1,118.4 ", 1.0 , -   ," 5,265 "," 4,197.6 ", 1.3 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 3 , 4 , 6 , -   , -   , 15 , 5 , 33 , 70 , 85 ," 1,782 ", 416 , 535.2 , 0.8 , -   ," 2,111 "," 2,165.2 ", 1.0 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 4 , 2.2 , 1.8 , -   , 16 , 5.8 , 2.8 , 5.2 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 1 , 1.6 , 0.6 , -   , 7 , 7.2 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , -   , 1 , 18 , 6 , 3.4 , 1.8 , 0.8 , 19 , 19.2 , 1.0 , -   
,Influenza (laboratory confirmed),062, -   , 5 , 2 , 9 , -   , 1 , 3 , 1 , 21 , 11 ," 2,131 "," 21,779 ", 216 ," 82,612.6 ", 0.0 , -   ," 28,828 "," 162,122.8 ", 0.2 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 32 , -   , 35.0 , -   , -   , 66 , 124.6 , 0.5 , -   
,Mumps,043, -   , -   , -   , -   , 1 , -   , 1 , 1 , 3 , 2 , 9 , 148 , 16 , 149.4 , 0.1 , -   , 177 , 616.0 , 0.3 , -   
,Pertussis,024, -   , 1 , -   , 1 , 1 , -   , 9 , 2 , 14 , 12 , 506 ," 3,580 ", 131 ," 4,371.0 ", 0.0 , -   ," 5,555 "," 16,119.2 ", 0.3 , -   
,Pneumococcal disease (invasive),065, -   , 12 , 2 , 8 , 6 , -   , 1 , 7 , 36 , 36 , 83 , 953 , 268 , 621.8 , 0.4 , -   ," 1,215 "," 1,863.8 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 5 , 1 , 5 , 7 , 1 , NN , 5 , 41 , 44 , 362 ," 1,615 ", 253 ," 1,865.8 ", 0.1 , -   ," 3,277 "," 4,454.4 ", 0.7 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2.4 , -   , -   , 2 , 15.8 , 0.1 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 0.6 , 1.7 , -   , 4 , 4.0 , 1.0 , -   
,Varicella zoster (chickenpox),073, 11 , NN , 2 , 1 , 33 , -   , 8 , 53 , 108 , 82 , 230 ," 2,246 ", 646 ," 1,061.6 ", 0.6 , -   ," 2,933 "," 3,476.8 ", 0.8 , -   
,Varicella zoster (shingles),074, 16 , NN , 15 , -   , 99 , 15 , 31 , 72 , 248 , 339 , 696 ," 12,722 "," 2,856 "," 2,659.2 ", 1.1 , -   ," 15,153 "," 10,180.0 ", 1.5 , -   
,Varicella zoster (unspecified),075, 6 , NN , 3 , 466 , 61 , 18 , 17 , 113 , 684 , 869 , 423 ," 11,432 "," 4,219 "," 3,478.0 ", 1.2 , -   ," 13,043 "," 14,308.4 ", 0.9 , -   
