ADT FN07/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,28/03/2020,14/03/2020,28/03/2019,01/01/2019,12/01/2020,,,,11/04/2019,11/04/2014,,
,,,,,,,,,,,10/04/2020,27/03/2020,10/04/2019,10/04/2020,10/04/2020,,,,10/04/2020,10/04/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , 1 , -   , -   , 3 , 6 , 7 , 29 , 26 , 39.4 , 0.7 , -   , 140 , 156.2 , 0.9 , -   
,Hepatitis B (unspecified),052, 4 , 43 , -   , 24 , 5 , 2 , -   , 17 , 95 , 137 , 249 ," 1,291 "," 1,154 "," 1,530.0 ", 0.8 , -   ," 5,324 "," 6,130.4 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 11 , -   , -   , -   , 2 , 13 , 18 , 30 , 174 , 162 , 177.8 , 0.9 , -   , 794 , 703.8 , 1.1 , -   
,Hepatitis C (unspecified),053, 6 , 71 , 2 , 69 , -   , 7 , -   , 22 , 177 , 238 , 354 ," 2,031 "," 1,840 "," 2,542.2 ", 0.7 , -   ," 7,996 "," 10,014.4 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 13 , 9 , 14.4 , 0.6 , -   , 63 , 67.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.0 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 14 , 207 , 18 , 191 , 51 , 30 , 2 , 57 , 570 , 948 ," 1,347 "," 9,105 "," 7,840 "," 6,902.2 ", 1.1 , -   ," 34,839 "," 26,533.6 ", 1.3 , -   
,Cryptosporidiosis,061, -   , 21 , 1 , 37 , 1 , 1 , 2 , 39 , 102 , 230 , 143 ," 1,558 "," 1,455 "," 1,670.4 ", 0.9 , -   ," 3,157 "," 3,964.8 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 4 , 3 , 4.8 , 0.6 , -   , 17 , 16.0 , 1.1 , -   
