ADT FN18/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,29/08/2020,15/08/2020,29/08/2019,01/01/2020,14/06/2020,,,,12/09/2019,12/09/2014,,
,,,,,,,,,,,11/09/2020,28/08/2020,11/09/2019,11/09/2020,11/09/2020,,,,11/09/2020,11/09/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 5 , 78 , 22 , 38.8 , 0.6 , -   , 125 , 153.6 , 0.8 , -   
,Hepatitis B (unspecified),052, 4 , 79 , -   , 33 , 1 , 2 , 14 , 18 , 151 , 210 , 205 ," 3,577 "," 1,298 "," 1,532.0 ", 0.8 , -   ," 5,193 "," 6,057.8 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 2 , -   , 16 , -   , -   , -   , 6 , 24 , 23 , 23 , 473 , 154 , 171.6 , 0.9 , -   , 787 , 704.8 , 1.1 , -   
,Hepatitis C (unspecified),053, 10 , 105 , 3 , 73 , 1 , 12 , 25 , 32 , 261 , 269 , 326 ," 5,139 "," 1,803 "," 2,376.6 ", 0.8 , -   ," 7,522 "," 9,912.6 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , 1 , 1 , 3 , 4 , 1 , 46 , 22 , 17.4 , 1.3 , -   , 65 , 68.6 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 27 , 296 , 7 , 251 , 121 , 34 , 201 , 121 ," 1,058 "," 1,166 "," 1,335 "," 20,505 "," 6,721 "," 6,527.8 ", 1.0 , -   ," 32,702 "," 27,661.6 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 5 , -   , 11 , 10 , -   , 19 , 1 , 46 , 37 , 46 ," 2,078 ", 218 , 538.8 , 0.4 , -   ," 2,813 "," 3,937.0 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 12 , 7 , 3.0 , 2.3 , 0.3 , 16 , 16.4 , 1.0 , -   
