ADT FN05/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,29/02/2020,15/02/2020,01/03/2019,01/01/2019,15/12/2019,,,,14/03/2019,14/03/2014,,
,,,,,,,,,,,13/03/2020,28/02/2020,13/03/2019,13/03/2020,13/03/2020,,,,13/03/2020,13/03/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 3 , -   , -   , -   , -   , 4 , 4 , 3 , 19 , 28 , 39.6 , 0.7 , -   , 149 , 157.0 , 0.9 , -   
,Hepatitis B (unspecified),052, 1 , 74 , -   , 41 , 2 , 5 , 1 , 16 , 140 , 244 , 232 ," 1,026 "," 1,198 "," 1,369.8 ", 0.9 , -   ," 5,589 "," 6,132.4 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 9 , -   , -   , -   , -   , 10 , 30 , 23 , 128 , 165 , 166.2 , 1.0 , -   , 809 , 700.4 , 1.2 , -   
,Hepatitis C (unspecified),053, 6 , 118 , 10 , 97 , -   , 4 , 8 , 41 , 284 , 323 , 368 ," 1,576 "," 1,871 "," 2,320.6 ", 0.8 , -   ," 8,275 "," 10,030.2 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , 2 , 13 , 17 , 14.8 , 1.1 , -   , 70 , 66.4 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.0 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 36 , 400 , 22 , 436 , 85 , 46 , 12 , 101 ," 1,138 "," 1,270 "," 1,309 "," 7,339 "," 8,940 "," 7,423.2 ", 1.2 , -   ," 35,741 "," 26,284.4 ", 1.4 , -   
,Cryptosporidiosis,061, 1 , 42 , 2 , 146 , 5 , -   , 19 , 93 , 308 , 278 , 148 ," 1,217 "," 1,333 "," 1,347.8 ", 1.0 , -   ," 3,108 "," 3,963.4 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 2 , 4.2 , 0.5 , -   , 14 , 16.2 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , 2 , -   , -   , -   , 1 , 3 , 9 , 13 , 40 , 54 , 80.4 , 0.7 , -   , 212 , 241.8 , 0.9 , -   
,Hepatitis E,051, -   , 4 , -   , 2 , -   , 1 , -   , 1 , 8 , 1 , 3 , 16 , 18 , 13.6 , 1.3 , -   , 57 , 46.4 , 1.2 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 8 , 8 , 24.4 , 0.3 , -   , 43 , 76.2 , 0.6 , -   
,Paratyphoid,080, -   , 3 , -   , -   , -   , -   , 4 , -   , 7 , 9 , 8 , 32 , 37 , 32.2 , 1.1 , -   , 101 , 79.2 , 1.3 , -   
,STEC,054, -   , 7 , -   , -   , 15 , -   , 1 , 4 , 27 , 49 , 22 , 200 , 237 , 107.2 , 2.2 , -   , 714 , 349.6 , 2.0 , -   
,Salmonellosis,030, 8 , 268 , 25 , 349 , 32 , 14 , 26 , 85 , 807 ," 1,166 ", 657 ," 4,970 "," 5,696 "," 5,407.0 ", 1.1 , -   ," 15,926 "," 16,335.6 ", 1.0 , -   
,Shigellosis,031, 1 , 35 , 41 , 23 , 8 , -   , 27 , 22 , 157 , 194 , 134 , 945 ," 1,076 ", 498.0 , 2.2 , 128.4 ," 3,339 "," 1,647.0 ", 2.0 , 231.9 
,Typhoid Fever,035, -   , 3 , -   , 1 , -   , 1 , 1 , 2 , 8 , 20 , 12 , 55 , 65 , 54.8 , 1.2 , -   , 177 , 138.2 , 1.3 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 1 , 128 , -   , 45 , 16 , 5 , 33 , 9 , 237 , 10 , -   , 262 , 262 , -   ,  , 262.0 , 262 , -   ,  , 262.0 
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 2 , 1.4 , 1.4 , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 75 , 979 , 111 ," 1,016 ", 214 , 16 , -   , 421 ," 2,832 "," 3,705 "," 4,148 "," 16,950 "," 19,670 "," 23,971.8 ", 0.8 , -   ," 96,973 "," 96,144.0 ", 1.0 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.2 , -   , -   
,Gonococcal infection,011, 18 , 318 , 36 , 290 , 48 , 5 , 1 , 166 , 882 ," 1,160 "," 1,383 "," 6,395 "," 7,615 "," 6,504.2 ", 1.2 , -   ," 33,110 "," 24,267.8 ", 1.4 , -   
,Syphilis < 2 years,066, 2 , 8 , 9 , 21 , 6 , -   , 20 , 31 , 97 , 174 , 244 , 936 ," 1,112 ", 947.8 , 1.2 , -   ," 5,597 "," 3,690.4 ", 1.5 , -   
,Syphilis > 2 years or unspecified duration,067, -   , -   , 4 , 2 , -   , 1 , 20 , 6 , 33 , 69 , 87 , 347 , 410 , 496.4 , 0.8 , -   ," 2,368 "," 2,063.2 ", 1.1 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 4 , 0.2 , 20.0 , 2.9 , 10 , 5.6 , 1.8 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 1 , 2 , 2 , 2.0 , 1.0 , -   , 7 , 6.8 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 5 , 5 , 4.2 , 1.2 , -   , 22 , 18.6 , 1.2 , 1.1 
