ADT FN14/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,04/07/2020,20/06/2020,04/07/2019,01/01/2020,19/04/2020,,,,18/07/2019,18/07/2014,,
,,,,,,,,,,,17/07/2020,03/07/2020,17/07/2019,17/07/2020,17/07/2020,,,,17/07/2020,17/07/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 7 , 3 , 66 , 31 , 39.2 , 0.8 , -   , 137 , 153.4 , 0.9 , -   
,Hepatitis B (unspecified),052, 3 , 94 , -   , 25 , 2 , 3 , 45 , 22 , 194 , 221 , 236 ," 2,807 "," 1,270 "," 1,521.8 ", 0.8 , -   ," 5,293 "," 6,089.6 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 10 , 1 , -   , -   , 2 , 13 , 27 , 32 , 370 , 169 , 166.0 , 1.0 , -   , 806 , 697.4 , 1.2 , -   
,Hepatitis C (unspecified),053, 7 , 112 , 3 , 64 , 2 , 8 , 47 , 29 , 272 , 283 , 304 ," 4,066 "," 1,804 "," 2,427.8 ", 0.7 , -   ," 7,774 "," 9,936.6 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 3 , 3 , 29 , 14 , 15.8 , 0.9 , -   , 55 , 67.4 , 0.8 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 26 , 302 , 12 , 214 , 101 , 27 , 214 , 78 , 974 , 961 ," 1,170 "," 16,191 "," 5,861 "," 6,148.2 ", 1.0 , -   ," 33,690 "," 27,169.0 ", 1.2 , -   
,Cryptosporidiosis,061, 1 , 10 , -   , 11 , 4 , 1 , 5 , 3 , 35 , 22 , 54 ," 1,939 ", 337 , 904.6 , 0.4 , -   ," 2,927 "," 3,938.8 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 6 , 2 , 3.0 , 0.7 , -   , 14 , 16.2 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , 7 , 85 , 12 , 47.4 , 0.3 , -   , 184 , 244.8 , 0.8 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 29 , 1 , 10.2 , 0.1 , -   , 51 , 46.2 , 1.1 , -   
