ADT FN12/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,06/06/2020,23/05/2020,06/06/2019,01/01/2020,22/03/2020,,,,20/06/2019,20/06/2014,,
,,,,,,,,,,,19/06/2020,05/06/2020,19/06/2019,19/06/2020,19/06/2020,,,,19/06/2020,19/06/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 3 , 6 , 55 , 29 , 38.8 , 0.7 , -   , 139 , 153.0 , 0.9 , -   
,Hepatitis B (unspecified),052, 6 , 74 , -   , 30 , 2 , 4 , 51 , 26 , 193 , 220 , 203 ," 2,368 "," 1,111 "," 1,526.2 ", 0.7 , -   ," 5,322 "," 6,103.8 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 16 , -   , -   , -   , 9 , 26 , 30 , 21 , 323 , 164 , 165.4 , 1.0 , -   , 820 , 697.2 , 1.2 , -   
,Hepatitis C (unspecified),053, 5 , 114 , 6 , 83 , 1 , 10 , 43 , 29 , 291 , 291 , 346 ," 3,525 "," 1,690 "," 2,433.6 ", 0.7 , -   ," 7,894 "," 9,964.2 ", 0.8 , -   
,Hepatitis D,050, -   , 5 , -   , -   , -   , -   , -   , -   , 5 , 2 , 8 , 25 , 12 , 14.8 , 0.8 , -   , 55 , 69.0 , 0.8 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.2 , 0.8 , -   
,Campylobacteriosis,005, 19 , 256 , 9 , 241 , 105 , 40 , 29 , 68 , 767 , 923 ," 1,111 "," 13,991 "," 5,127 "," 6,055.8 ", 0.8 , -   ," 33,806 "," 27,007.0 ", 1.3 , -   
,Cryptosporidiosis,061, -   , 5 , 2 , 7 , 5 , 1 , 13 , 4 , 37 , 64 , 63 ," 1,882 ", 508 ," 1,243.8 ", 0.4 , -   ," 2,996 "," 3,941.8 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 5 , 2 , 4.2 , 0.5 , -   , 14 , 15.8 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 9 , 84 , 29 , 58.0 , 0.5 , -   , 197 , 244.4 , 0.8 , -   
,Hepatitis E,051, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , -   , 3 , 31 , 11 , 10.8 , 1.0 , -   , 56 , 47.4 , 1.2 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , 16 , 6 , 15.6 , 0.4 , -   , 42 , 73.0 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 45 , 8 , 18.8 , 0.4 , -   , 77 , 81.0 , 1.0 , -   
,STEC,054, -   , 2 , -   , -   , 8 , -   , 2 , 4 , 16 , 13 , 23 , 321 , 96 , 97.8 , 1.0 , -   , 657 , 377.2 , 1.7 , -   
,Salmonellosis,030, 2 , 73 , 23 , 102 , 9 , 3 , 53 , 80 , 345 , 313 , 391 ," 7,948 "," 2,552 "," 4,217.2 ", 0.6 , -   ," 14,710 "," 16,151.4 ", 0.9 , -   
,Shigellosis,031, -   , 7 , 6 , 3 , 1 , -   , 3 , 7 , 27 , 27 , 109 ," 1,254 ", 247 , 440.8 , 0.6 , -   ," 2,727 "," 1,784.8 ", 1.5 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 85 , 17 , 35.6 , 0.5 , -   , 161 , 143.2 , 1.1 , -   
