ADT FN10/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,09/05/2020,25/04/2020,09/05/2019,01/01/2020,23/02/2020,,,,23/05/2019,23/05/2014,,
,,,,,,,,,,,22/05/2020,08/05/2020,22/05/2019,22/05/2020,22/05/2020,,,,22/05/2020,22/05/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 3 , -   , -   , -   , 1 , 5 , 5 , 4 , 46 , 34 , 38.6 , 0.9 , -   , 144 , 153.4 , 0.9 , -   
,Hepatitis B (unspecified),052, 3 , 59 , 1 , 34 , 1 , -   , 21 , 17 , 136 , 149 , 233 ," 1,902 "," 1,095 "," 1,538.8 ", 0.7 , -   ," 5,297 "," 6,121.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 14 , -   , -   , -   , 7 , 21 , 23 , 27 , 256 , 153 , 165.4 , 0.9 , -   , 805 , 698.4 , 1.2 , -   
,Hepatitis C (unspecified),053, 6 , 115 , 2 , 104 , 1 , 9 , 39 , 37 , 313 , 245 , 341 ," 2,956 "," 1,825 "," 2,545.8 ", 0.7 , -   ," 8,008 "," 9,979.2 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , 1 , -   , -   , 1 , -   , 3 , -   , 4 , 18 , 6 , 14.4 , 0.4 , -   , 60 , 67.6 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.2 , 0.8 , -   
,Campylobacteriosis,005, 16 , 227 , 15 , 250 , 90 , 35 , 180 , 83 , 896 , 725 ," 1,264 "," 12,282 "," 6,250 "," 6,218.8 ", 1.0 , -   ," 34,379 "," 26,850.6 ", 1.3 , -   
,Cryptosporidiosis,061, -   , 19 , 2 , 20 , 7 , -   , 9 , 8 , 65 , 72 , 126 ," 1,775 ", 983 ," 1,570.6 ", 0.6 , -   ," 3,043 "," 3,954.8 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , 2 , 4.6 , 0.4 , -   , 14 , 16.2 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 4 , 4 , 84 , 54 , 70.6 , 0.8 , -   , 209 , 242.8 , 0.9 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 1 , 29 , 21 , 12.2 , 1.7 , 2.0 , 58 , 47.2 , 1.2 , 0.9 
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 7 , 17.4 , 0.4 , -   , 44 , 73.2 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 44 , 24 , 23.8 , 1.0 , -   , 84 , 81.6 , 1.0 , -   
,STEC,054, -   , 1 , -   , -   , 8 , -   , 3 , 1 , 13 , 12 , 27 , 290 , 133 , 103.4 , 1.3 , -   , 673 , 370.0 , 1.8 , -   
,Salmonellosis,030, 7 , 117 , 14 , 135 , 25 , 4 , 93 , 86 , 481 , 415 , 562 ," 7,279 "," 3,651 "," 4,947.0 ", 0.7 , -   ," 14,944 "," 16,217.8 ", 0.9 , -   
,Shigellosis,031, 1 , 5 , 4 , 4 , 5 , -   , 3 , 5 , 27 , 36 , 138 ," 1,199 ", 503 , 445.6 , 1.1 , -   ," 2,912 "," 1,755.0 ", 1.7 , -   
,Typhoid Fever,035, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 12 , 85 , 46 , 46.4 , 1.0 , -   , 172 , 141.8 , 1.2 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 30 , -   , 11 , -   , 1 , 88 , 6 , 136 , 259 , -   ," 7,125 "," 7,103 ", -   ,  ," 7,103.0 "," 7,125 ", -   ,  ," 7,125.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.6 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
