ADT FN09/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,26-04-2021,12-04-2021,26-04-2020,01-01-2021,09-02-2021,,,,10-05-2020,10-05-2015,,
,,,,,,,,,,,09-05-2021,25-04-2021,09-05-2020,09-05-2021,09-05-2021,,,,09-05-2021,09-05-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 3 , 6 , 26 , 14 , 40.6 , 0.3 , -   , 101 , 151.4 , 0.7 , -   
,Hepatitis B (unspecified),052, -   , 62 , -   , 25 , -   , 5 , 57 , 15 , 164 , 182 , 158 ," 1,630 "," 1,192 "," 1,476.2 ", 0.8 , -   ," 4,861 "," 5,911.4 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 23 , -   , -   , -   , -   , 23 , 33 , 23 , 251 , 182 , 161.8 , 1.1 , -   , 684 , 711.6 , 1.0 , -   
,Hepatitis C (unspecified),053, 2 , 105 , 4 , 58 , 2 , 8 , 59 , 35 , 273 , 267 , 237 ," 2,557 "," 1,819 "," 2,538.2 ", 0.7 , -   ," 7,330 "," 9,685.6 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 3 , -   , 27 , 19 , 13.8 , 1.4 , -   , 82 , 67.0 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   ,  , 1.0 , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 25 , 427 , 6 , 323 , 76 , 35 , 48 , 101 ," 1,041 "," 1,423 ", 744 ," 13,350 "," 8,907 "," 6,833.4 ", 1.3 , -   ," 33,500 "," 29,522.0 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 14 , 15 , 19 , 7 , -   , 18 , 12 , 85 , 85 , 73 , 725 , 491 ," 1,615.8 ", 0.3 , -   ," 1,468 "," 3,922.0 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 4 , 3 , 3.6 , 0.8 , -   , 14 , 15.6 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 5 , 3 , 78.2 , 0.0 , -   , 12 , 241.0 , 0.0 , -   
,Hepatitis E,051, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , 2 , 2 , 17.0 , 0.1 , -   , 6 , 49.2 , 0.1 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 15 , 8 , 20.0 , 0.4 , -   , 44 , 68.2 , 0.6 , -   
