ADT FN18/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,30-08-2021,16-08-2021,30-08-2020,01-01-2021,15-06-2021,,,,13-09-2020,13-09-2015,,
,,,,,,,,,,,12-09-2021,29-08-2021,12-09-2020,12-09-2021,12-09-2021,,,,12-09-2021,12-09-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   ,1, -   , -   , -   , -   ,1,3,2,66,23,36,0.6, -   ,99,148.6,0.7, -   
,Hepatitis B (unspecified),52,4,40, -   ,33,2,1,48,25,153,173,176,"3,239","1,039","1,456.00",0.7, -   ,"4,659","5,809.20",0.8, -   
,Hepatitis C (newly acquired),40, -   , -   , -   ,18, -   , -   , -   ,4,22,36,32,529,184,169,1.1, -   ,714,709.2,1, -   
,Hepatitis C (unspecified),53,6,63,5,46, -   ,4,64,30,218,249,295,"4,901","1,593","2,258.20",0.7, -   ,"7,110","9,563.60",0.7, -   
,Hepatitis D,50, -   ,2, -   , -   , -   , -   , -   ,1,3,2,4,57,18,19.2,0.9, -   ,80,68.2,1.2, -   
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1,0.2,5, -   ,3,1,3, -   
,Campylobacteriosis,5,18,236,11,272,117,34,276,99,"1,063","1,176","1,104","25,048","8,072","6,940.80",1.2, -   ,"36,129","30,222.20",1.2, -   
,Cryptosporidiosis,61, -   ,3,1,14,2,1,27,3,51,63,47,"1,371",415,486.2,0.9, -   ,"1,744","3,821.40",0.5, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4, -   ,3.4, -   , -   ,6,16.2,0.4, -   
,Hepatitis A,38, -   ,2, -   , -   , -   , -   ,1, -   ,3,2,1,26,19,42.8,0.4, -   ,30,233.2,0.1, -   
,Hepatitis E,51, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,11,4,9.2,0.4, -   ,12,47.2,0.3, -   
,Listeriosis,18, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1,30,11,13.6,0.8, -   ,47,67.4,0.7, -   
,Paratyphoid,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,3,9,0.3, -   ,3,81.8,0, -   
,Salmonellosis,30,3,52,18,52,19,4,39,15,202,216,234,"7,802","1,510","2,501.00",0.6, -   ,"10,422","15,417.40",0.7, -   
,Shigellosis,31, -   ,1,4, -   ,4, -   ,1,3,13,17,27,322,93,468,0.2, -   ,534,"2,099.80",0.3, -   
,STEC,54, -   ,4, -   , -   ,9, -   ,1,2,16,16,16,398,104,98.2,1.1, -   ,561,500.8,1.1, -   
,Typhoid Fever,35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,8,3,20,0.2, -   ,15,147.8,0.1, -   
Quarantinable diseases,Avian influenza in humans (AIH),76, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   ,1.2, -   , -   
,COVID-19,81,251,"18,734", -   ,23,23, -   ,"3,743",2,"22776","13,295","1,026","47,370","45,359","3,836.80",11.8,"24,363.50","49,198","5,352.00",9.2,"19,911.10"
,Middle East respiratory syndrome coronavirus (MERS-CoV),79, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),71, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,69, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
