ADT FN26/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,20-12-2021,06-12-2021,20-12-2020,01-01-2022,05-10-2021,,,,03-01-2021,03-01-2016,,
,,,,,,,,,,,02-01-2022,19-12-2021,02-01-2021,02-01-2022,02-01-2022,,,,02-01-2022,02-01-2021,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,3, -   ,8,36,0.2, -   ,80,149.8,0.5, -   
,Hepatitis B (unspecified),52, -   ,51, -   ,31,1, -   ,30,12,125,217,100,4,"1,292","1,285.00",1, -   ,"4,898","5,707.20",0.9, -   
,Hepatitis C (newly acquired),40, -   , -   , -   , -   , -   , -   , -   , -   , -   ,37,17, -   ,153,180.4,0.8, -   ,722,696.6,1, -   
,Hepatitis C (unspecified),53,1,35,2,44,1,8,26,32,149,278,155,2,"1,581","2,180.40",0.7, -   ,"6,891","9,376.00",0.7, -   
,Hepatitis D,50, -   ,2, -   , -   , -   , -   , -   , -   ,2,2,1, -   ,20,20,1, -   ,88,71.8,1.2, - 
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,1,0.2,5, -   ,3,1.2,2.5,0.1
,Campylobacteriosis,5,25,309,6,288,81,25,175,118,"1,027","1,788","1,124",74,"10,457","8,858.60",1.2, -   ,"37,404","30,937.80",1.2, -   
,Cryptosporidiosis,61,2,9,5,18,8, -   ,11,6,59,92,41,4,426,594.6,0.7, -   ,"1,855","3,669.40",0.5, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,3.8,0.5, -   ,8,15.4,0.5, -   
,Hepatitis A,38, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,7,50.6,0.1, -   ,22,227.6,0.1, -   
,Hepatitis E,51, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8, -   , -   ,10,45.2,0.2, -   
,Listeriosis,18, -   ,1, -   ,1, -   , -   , -   , -   ,2, -   ,6,1,11,14.8,0.7, -   ,44,65.6,0.7, -   
,Paratyphoid,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,15.6,0.1, -   ,4,78.4,0.1, -   
,Salmonellosis,30,4,108,13,119,18,4,41,21,328,426,492,25,"2,705","3,273.40",0.8, -   ,"10,848","15,148.40",0.7, -   
,Shigellosis,31, -   ,2,3,1,6, -   , -   ,3,15,19,13,2,112,499,0.2, -   ,467,"2,100.20",0.2, -   
