ADT FN03/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,01-02-2021,18-01-2021,01-02-2020,01-01-2021,17-11-2020,,,,15-02-2020,15-02-2015,,
,,,,,,,,,,,14-02-2021,31-01-2021,14-02-2020,14-02-2021,14-02-2021,,,,14-02-2021,14-02-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 6 , 8 , 28 , 36.0 , 0.8 , -   , 117 , 151.4 , 0.8 , -   
,Hepatitis B (unspecified),052, 6 , 77 , -   , 24 , -   , 1 , 45 , 16 , 169 , 154 , 240 , 478 ," 1,015 "," 1,319.6 ", 0.8 , -   ," 4,832 "," 5,980.6 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 23 , -   , -   , 1 , 1 , 25 , 28 , 32 , 73 , 138 , 180.4 , 0.8 , -   , 652 , 724.2 , 0.9 , -   
,Hepatitis C (unspecified),053, 4 , 123 , 2 , 68 , 2 , 5 , 58 , 47 , 309 , 295 , 348 , 861 ," 1,749 "," 2,242.6 ", 0.8 , -   ," 7,319 "," 9,792.4 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , 1 , -   , -   , -   , -   , 3 , 2 , 1 , 7 , 15 , 16.0 , 0.9 , -   , 68 , 67.2 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 2 , 0.8 , 2.5 , -   , 2 , 1.4 , 1.4 , -   
,Campylobacteriosis,005, 37 , 493 , 30 , 486 , 89 , 45 , 209 , 121 ," 1,510 "," 1,540 "," 1,663 "," 4,942 "," 9,663 "," 8,666.8 ", 1.1 , -   ," 31,343 "," 29,255.4 ", 1.1 , -   
,Cryptosporidiosis,061, 2 , 22 , 12 , 27 , 3 , 3 , 8 , 4 , 81 , 83 , 263 , 258 , 414 ," 1,125.0 ", 0.4 , -   ," 2,085 "," 4,027.6 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 4.8 , 0.2 , -   , 13 , 16.2 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 8 , 2 , 2 , 70.0 , 0.0 , -   , 64 , 245.4 , 0.3 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , 12.4 , -   , -   , 28 , 45.6 , 0.6 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , 2 , 7 , 14 , 20.6 , 0.7 , -   , 44 , 71.2 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 28.0 , -   , -   , 29 , 85.6 , 0.3 , -   
,STEC,054, -   , 2 , 1 , -   , 3 , -   , 9 , 7 , 22 , 32 , 49 , 81 , 152 , 151.6 , 1.0 , -   , 529 , 457.8 , 1.2 , -   
,Salmonellosis,030, 7 , 176 , 19 , 231 , 18 , 15 , 74 , 49 , 589 , 620 ," 1,321 "," 2,186 "," 3,451 "," 4,730.8 ", 0.7 , -   ," 11,201 "," 16,085.4 ", 0.7 , -   
,Shigellosis,031, -   , 3 , 5 , 8 , -   , -   , 1 , 4 , 21 , 21 , 207 , 69 , 145 , 610.0 , 0.2 , -   ," 1,141 "," 2,053.2 ", 0.6 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 14 , 1 , 6 , 42.4 , 0.1 , -   , 71 , 150.2 , 0.5 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 40 , 5 , 11 , 10 , -   , 25 , 9 , 100 , 107 , 3 , 520 ," 1,213 ", 3.0 , 404.3 ," 1,196.6 "," 29,040 ", 3.0 ," 9,680.0 "," 29,023.6 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
