ADT FN15/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,19-07-2021,05-07-2021,19-07-2020,01-01-2020,04-05-2021,,,,02-08-2020,02-08-2015,,
,,,,,,,,,,,01-08-2021,18-07-2021,01-08-2020,01-08-2021,01-08-2021,,,,01-08-2021,01-08-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   ,1, -   , -   , -   , -   ,1,6,4,58,30,36.2,0.8, -   ,99,150.6,0.7, -   
,Hepatitis B (unspecified),52,5,49, -   ,28,2,2,54,16,156,129,193,"2,705","1,128","1,469.00",0.8, -   ,"4,717","5,857.60",0.8, -   
,Hepatitis C (newly acquired),40, -   , -   , -   , -   , -   , -   , -   ,1,1,6,23,308,59,168,0.4, -   ,571,712.8,0.8, -   
,Hepatitis C (unspecified),53,7,99,2,82,2,6,69,45,312,252,311,"4,357","1,936","2,285.40",0.8, -   ,"7,393","9,621.00",0.8, -   
,Hepatitis D,50,1,1, -   ,2, -   , -   , -   ,1,5,2,5,49,22,16.6,1.3, -   ,85,68,1.3, -   
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,2,1,0.2,5, -   ,3,1,3, -   
,Campylobacteriosis,5,30,361,8,354,89,35,291,123,"1,291","1,352",988,"21,510","8,374","6,613.80",1.3, -   ,"35,986","30,041.00",1.2, -   
,Cryptosporidiosis,61, -   ,9,3,35,12,1,19,3,82,70,34,"1,192",512,698,0.7, -   ,"1,673","3,841.60",0.4, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,4, -   ,4, -   , -   ,8,16.6,0.5, -   
,Hepatitis A,38, -   , -   , -   ,4, -   , -   , -   , -   ,4,2,1,15,10,41,0.2, -   ,21,237.4,0.1, -   
,Hepatitis E,51, -   , -   , -   ,2, -   , -   , -   , -   ,2,1, -   ,10,9,8.4,1.1, -   ,13,47.8,0.3, -   
,Listeriosis,18, -   ,1, -   ,1, -   , -   ,1, -   ,3,3,3,27,12,11.6,1, -   ,49,67.2,0.7, -   
,Paratyphoid,80, -   , -   , -   , -   , -   , -   ,1, -   ,1,3, -   ,4,4,12.4,0.3, -   ,4,83.4,0, -   
,STEC,54, -   ,4, -   , -   ,4, -   ,5,2,15,20,10,346,112,96.6,1.2, -   ,559,493,1.1, -   
,Salmonellosis,30,9,61,12,70,15,3,38,18,226,256,223,"7,188","1,963","3,034.00",0.6, -   ,"10,472","15,526.40",0.7, -   
,Shigellosis,31, -   ,1,5,1, -   , -   ,2,7,16,14,44,273,103,454.8,0.2, -   ,573,"2,110.60",0.3, -   
,Typhoid Fever,35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,1,21.6,0, -   ,15,149,0.1, -   
