ADT FN12/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,07-06-2021,24-05-2021,07-06-2020,01-01-2021,23-03-2021,,,,21-06-2020,21-06-2015,,
,,,,,,,,,,,20-06-2021,06-06-2021,20-06-2020,20-06-2021,20-06-2021,,,,20-06-2021,20-06-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 37 , 14 , 35.0 , 0.4 , -   , 86 , 134.4 , 0.6 , -   
,Hepatitis B (unspecified),052, 3 , 56 , -   , 97 , 4 , 3 , 48 , 15 , 226 , 233 , 200 ," 2,312 "," 1,232 "," 1,446.8 ", 0.9 , -   ," 4,956 "," 5,889.0 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 3 , -   , -   , -   , 2 , 6 , 10 , 32 , 295 , 130 , 160.0 , 0.8 , -   , 633 , 714.6 , 0.9 , -   
,Hepatitis C (unspecified),053, 2 , 102 , 4 , 154 , -   , 11 , 25 , 23 , 321 , 369 , 286 ," 3,527 "," 1,873 "," 2,378.6 ", 0.8 , -   ," 7,433 "," 9,674.2 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 6 , 4 , 39 , 18 , 15.0 , 1.2 , -   , 84 , 66.8 , 1.3 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,  , -   , 2 , 1.0 , 2.0 , -   
,Campylobacteriosis,005, 24 , 406 , 7 , 354 , 96 , 21 , 88 , 92 ," 1,088 "," 1,085 ", 961 ," 17,086 "," 8,099 "," 6,182.8 ", 1.3 , -   ," 34,531 "," 29,917.4 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 16 , 6 , 25 , 3 , -   , 22 , 3 , 75 , 98 , 36 , 978 , 492 ," 1,082.8 ", 0.5 , -   ," 1,553 "," 3,871.0 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 3.6 , 0.3 , -   , 13 , 15.4 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 7 , 3 , 56.8 , 0.1 , -   , 14 , 239.2 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 5 , 5 , 11.6 , 0.4 , -   , 9 , 48.2 , 0.2 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 1 , 19 , 8 , 13.0 , 0.6 , -   , 47 , 66.8 , 0.7 , -   
