ADT FN24/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,22-11-2021,08-11-2021,22-11-2020,01-01-2021,07-09-2021,,,,06-12-2020,06-12-2015,,
,,,,,,,,,,,05-12-2021,21-11-2021,05-12-2020,05-12-2021,05-12-2021,,,,05-12-2021,05-12-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   , -   , -   , -   ,1, -   ,1,1,3,76,8,34.6,0.2, -   ,86,149.2,0.6, -   
,Hepatitis B (unspecified),52,2,84, -   ,47,2,1,50,15,201,249,179,"4,563","1,306","1,384.00",0.9, -   ,"4,853","5,729.60",0.8, -   
,Hepatitis C (newly acquired),40, -   ,2, -   ,12, -   , -   ,1,2,17,17,25,676,155,188.4,0.8, -   ,714,699.6,1, -   
,Hepatitis C (unspecified),53,6,113,3,64, -   ,11,50,29,276,280,350,"6,517","1,681","2,256.80",0.7, -   ,"6,966","9,414.60",0.7, -   
,Hepatitis D,50, -   , -   , -   ,1, -   , -   ,2, -   ,3,5,2,83,19,20.8,0.9, -   ,89,70,1.3, - 
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,  , -   ,3,1,3, -   
,Campylobacteriosis,5,21,542,14,381,151,80,368,188,"1,745","1,966","1,618","34,485","9,725","8,505.60",1.1, -   ,"37,048","30,746.40",1.2, -   
,Cryptosporidiosis,61, -   ,13,3,25,7,2,19,3,72,78,49,"1,705",343,519.8,0.7, -   ,"1,792","3,727.60",0.5, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,8,4,3.4,1.2, -   ,8,15.2,0.5, -   
