ADT FN23/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,08-11-2021,25-10-2021,08-11-2020,01-01-2021,24-08-2021,,,,22-11-2020,22-11-2015,,
,,,,,,,,,,,21-11-2021,07-11-2021,21-11-2020,21-11-2021,21-11-2021,,,,21-11-2021,21-11-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   , -   ,1, -   , -   , -   ,1,2,11,75,9,33.4,0.3, -   ,87,149.2,0.6, -   
,Hepatitis B (unspecified),52,2,96, -   ,48, -   ,3,60,15,224,227,205,"4,338","1,268","1,386.60",0.9, -   ,"4,808","5,739.20",0.8, -   
,Hepatitis C (newly acquired),40, -   , -   , -   ,10, -   , -   , -   , -   ,10,21,19,648,157,179.6,0.9, -   ,711,701.2,1, -   
,Hepatitis C (unspecified),53,5,98,1,68, -   ,4,52,38,266,297,272,"6,230","1,626","2,215.60",0.7, -   ,"7,029","9,452.20",0.7, -   
,Hepatitis D,50, -   ,1, -   , -   ,1, -   ,2,1,5,3, -   ,80,21,18.8,1.1, -   ,88,70.4,1.3,
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,  , -   ,3,1,3, -   
,Campylobacteriosis,5,38,482,7,418,166,46,508,150,"1,815","1,647","1,645","32,550","9,003","8,063.40",1.1, -   ,"36,731","30,654.00",1.2, -   
,Cryptosporidiosis,61, -   ,13, -   ,27,1,2,23,4,70,57,50,"1,625",329,473,0.7, -   ,"1,761","3,772.00",0.5, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   ,1,1,1, -   ,8,4,2.8,1.4,0.3,8,15.4,0.5, -   
,Hepatitis A,38, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,19,10,42.6,0.2, -   ,19,231.2,0.1, -   
,Hepatitis E,51, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,1,8,0.1, -   ,10,46,0.2, -   
,Listeriosis,18, -   ,2, -   ,1, -   , -   , -   ,1,4,1,4,43,14,15.4,0.9, -   ,50,65.6,0.8, -   
,Paratyphoid,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   ,12.4, -   , -   ,3,79.8,0, -   
,Salmonellosis,30,2,148,25,192,40,6,98,27,538,396,309,"9,639","2,144","2,689.40",0.8, -   ,"10,803","15,228.80",0.7, -   
,Shigellosis,31, -   ,3,9,3,3, -   ,1, -   ,19,13,40,410,105,476.8,0.2, -   ,476,"2,103.20",0.2, -   
,STEC,54, -   ,8,2,1,11,1,3,3,29,34,21,527,155,128.8,1.2, -   ,592,515,1.1, -   
,Typhoid Fever,35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,12,4,25.2,0.2, -   ,17,144.6,0.1, -   
Quarantinable diseases,Avian influenza in humans (AIH),76, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,0.4,2.5, -   ,1,1.2,0.8, -   
,COVID-19,81,147,"2,996",36,14,4, -   ,"14,856",7,"18060","21,417",160,"1,71,386","1,53,695",599.8,256.2,"1,50,412.80","1,72,017","5,588.20",30.8,"1,41,437.60"
,Middle East respiratory syndrome coronavirus (MERS-CoV),79, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),71, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,69, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),36, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,41, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,7,57,774,52,920,252,58,452,458,"3,022","3,073","3,356","77,318","19,021","24,056.60",0.8, -   ,"86,322","1,00,474.00",0.9, -   
,Donovanosis,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,11,17,220,22,264,46,4,76,131,780,935,"1,015","23,543","5,554","7,085.80",0.8, -   ,"26,241","29,554.20",0.9, -   
,Syphilis < 2 years,66,2,28,8,14,8, -   ,49,27,136,186,195,"4,939","1,217","1,244.80",1, -   ,"5,458","4,824.40",1.1, -   
,Syphilis > 2 years or unspecified duration,67, -   ,2,3,3, -   ,1,55,4,68,48,75,"1,595",353,527.4,0.7, -   ,"1,812","2,147.80",0.8, -   
