ADT FN21/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,11-10-2021,27-09-2021,11-10-2020,01-01-2021,27-07-2021,,,,25-10-2020,25-10-2015,,
,,,,,,,,,,,24-10-2021,10-10-2021,24-10-2020,24-10-2021,24-10-2021,,,,24-10-2021,24-10-2020,,
Bloodborne diseases,Hepatitis B (newly acquired),39, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,72,14,34.4,0.4, -   ,95,149,0.6, -   
,Hepatitis B (unspecified),52,1,65, -   ,48,3,1,37,21,174,153,203,"3,878","1,156","1,426.40",0.8, -   ,"4,748","5,773.80",0.8, -   
,Hepatitis C (newly acquired),40, -   , -   , -   ,27, -   , -   , -   ,1,28,20,23,604,169,170.2,1, -   ,714,705.4,1, -   
,Hepatitis C (unspecified),53,5,88, -   ,61, -   ,3,33,54,236,220,305,"5,642","1,558","2,230.40",0.7, -   ,"6,993","9,496.60",0.7, -   
,Hepatitis D,50, -   ,1, -   , -   , -   , -   , -   ,1,2,2,5,69,16,21.6,0.7, -   ,80,70,1.1, -   
Gastrointestinal diseases,Botulism,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,  , -   ,3,1,3, -   
,Campylobacteriosis,5,37,413,16,364,124,29,279,140,"1,388","1,232","1,402","28,952","7,899","7,418.40",1.1, -   ,"36,276","30,416.60",1.2, -   
,Cryptosporidiosis,61, -   ,7,1,16, -   ,2,10,4,40,47,46,"1,497",336,445.6,0.8, -   ,"1,731","3,800.80",0.5, -   
,Haemolytic uraemic syndrome (HUS),55, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,6,2,3.6,0.6, -   ,7,15.6,0.4, -   
,Hepatitis A,38, -   , -   , -   ,2, -   , -   , -   , -   ,2,3,1,18,10,44.2,0.2, -   ,18,232.6,0.1, -   
,Hepatitis E,51, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,10,1,8,0.1, -   ,10,46.8,0.2, -   
,Listeriosis,18, -   ,2, -   , -   , -   , -   ,1, -   ,3,2,2,38,12,13.6,0.9, -   ,50,65.4,0.8, -   
,Paratyphoid,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   ,9.2, -   , -   ,3,81,0, -   
,Salmonellosis,30,3,99,21,165,7,6,45,24,365,265,302,"8,686","1,590","2,475.60",0.6, -   ,"10,489","15,329.20",0.7, -   
