ADT FN16/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas#,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,01/08/2020,18/07/2020,01/08/2019,01/01/2020,17/05/2020,,,,15/08/2019,15/08/2014,,
,,,,,,,,,,,14/08/2020,31/07/2020,14/08/2019,14/08/2020,14/08/2020,,,,14/08/2020,14/08/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , 1 , -   , -   , 1 , 2 , 3 , 8 , 73 , 22 , 40.2 , 0.5 , -   , 129 , 154.6 , 0.8 , -   
,Hepatitis B (unspecified),052, 2 , 88 , -   , 27 , 1 , 1 , 37 , 17 , 173 , 191 , 220 ," 3,175 "," 1,304 "," 1,504.4 ", 0.9 , -   ," 5,235 "," 6,073.4 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 17 , -   , -   , -   , 2 , 19 , 20 , 37 , 424 , 168 , 168.8 , 1.0 , -   , 793 , 701.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 3 , 103 , 3 , 62 , 1 , 1 , 49 , 43 , 265 , 281 , 293 ," 4,586 "," 1,810 "," 2,361.8 ", 0.8 , -   ," 7,680 "," 9,915.4 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , 2 , -   , -   , -   , 1 , 5 , 5 , 3 , 39 , 24 , 16.2 , 1.5 , 2.3 , 62 , 68.0 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 22 , 284 , 10 , 264 , 77 , 24 , 241 , 97 ," 1,019 ", 973 ," 1,294 "," 18,207 "," 6,313 "," 6,366.0 ", 1.0 , -   ," 33,071 "," 27,406.4 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 3 , -   , 5 , 4 , -   , 4 , 2 , 18 , 33 , 60 ," 1,992 ", 237 , 672.2 , 0.4 , -   ," 2,842 "," 3,935.4 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , -   , 11 , 7 , 3.0 , 2.3 , -   , 17 , 16.0 , 1.1 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 9 , 84 , 1 , 44.2 , 0.0 , -   , 168 , 246.0 , 0.7 , -   
