ADT FN21/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,10/10/2020,26/09/2020,10/10/2019,01/01/2020,28/07/2020,,,,26/10/2019,26/10/2014,,
,,,,,,,,,,,25/10/2020,11/10/2020,25/10/2019,25/10/2020,25/10/2020,,,,25/10/2020,25/10/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , 9 , 85 , 15 , 35.8 , 0.4 , -   , 112 , 152.8 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 78 , -   , 33 , 3 , -   , 27 , 30 , 174 , 164 , 288 ," 4,100 "," 1,174 "," 1,516.6 ", 0.8 , -   ," 4,996 "," 6,042.8 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 18 , -   , -   , -   , -   , 19 , 25 , 50 , 549 , 149 , 181.0 , 0.8 , -   , 745 , 706.2 , 1.1 , -   
,Hepatitis C (unspecified),053, 9 , 104 , 4 , 72 , 5 , 8 , 47 , 39 , 288 , 268 , 366 ," 5,970 "," 1,798 "," 2,343.8 ", 0.8 , -   ," 7,374 "," 9,876.6 ", 0.7 , -   
,Hepatitis D,050, -   , 3 , -   , 1 , -   , -   , 1 , -   , 5 , 3 , 7 , 59 , 27 , 19.8 , 1.4 , -   , 68 , 68.0 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 44 , 468 , 10 , 326 , 184 , 24 , 195 , 128 ," 1,379 "," 1,224 "," 2,014 "," 24,253 "," 7,346 "," 6,957.4 ", 1.1 , -   ," 31,684 "," 28,145.2 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 6 , 1 , 10 , 10 , 4 , 11 , 6 , 48 , 54 , 97 ," 2,220 ", 254 , 488.4 , 0.5 , -   ," 2,745 "," 3,943.0 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 13 , 5 , 4.0 , 1.3 , -   , 15 , 16.0 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 13 , 90 , 7 , 48.8 , 0.1 , -   , 136 , 243.8 , 0.6 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 3 , 31 , 2 , 9.0 , 0.2 , -   , 39 , 45.6 , 0.9 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , 1 , 2 , 1 , 1 , 32 , 10 , 15.0 , 0.7 , -   , 39 , 72.0 , 0.5 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 45 , -   , 11.8 , -   , -   , 61 , 81.8 , 0.7 , -   
,STEC,054, -   , 4 , -   , 2 , 7 , -   , 2 , 3 , 18 , 19 , 48 , 458 , 100 , 97.6 , 1.0 , -   , 603 , 408.4 , 1.5 , -   
,Salmonellosis,030, 1 , 69 , 19 , 75 , 36 , 5 , 51 , 60 , 316 , 261 , 678 ," 10,203 "," 1,552 "," 2,704.6 ", 0.6 , -   ," 13,048 "," 16,154.4 ", 0.8 , -   
,Shigellosis,031, -   , 9 , 3 , 8 , 1 , -   , -   , 3 , 24 , 30 , 139 ," 1,525 ", 181 , 478.0 , 0.4 , -   ," 2,049 "," 1,903.2 ", 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 90 , 2 , 27.8 , 0.1 , -   , 115 , 146.0 , 0.8 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 1 , 117 , -   , 7 , 15 , -   , 78 , 65 , 283 , 269 , -   ," 27,589 "," 12,396 ", -   ,  ," 12,396.0 "," 27,589 ", -   ,  ," 27,589.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 61 ," 1,205 ", 75 , 989 , 244 , 54 , 31 , 490 ," 3,149 "," 2,741 "," 4,409 "," 61,337 "," 17,815 "," 23,613.8 ", 0.8 , -   ," 76,435 "," 98,435.0 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 6 , 417 , 52 , 240 , 72 , 3 , 76 , 151 ," 1,017 "," 1,023 "," 1,609 "," 25,008 "," 6,526 "," 6,613.6 ", 1.0 , -   ," 30,978 "," 26,579.8 ", 1.2 , -   
,Syphilis < 2 years,066, -   , 29 , 6 , 30 , 3 , 1 , 27 , 32 , 128 , 160 , 288 ," 4,159 "," 1,084 "," 1,111.6 ", 1.0 , -   ," 5,206 "," 4,169.6 ", 1.2 , -   
,Syphilis > 2 years or unspecified duration,067, 1 , 6 , 2 , 8 , 1 , -   , 26 , 6 , 50 , 57 , 111 ," 1,715 ", 433 , 541.6 , 0.8 , -   ," 2,129 "," 2,159.8 ", 1.0 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 13 , 4 , 2.6 , 1.5 , -   , 16 , 5.8 , 2.8 , 6.4 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 1 , 2.0 , 0.5 , -   , 7 , 7.2 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 16 , 5 , 4.2 , 1.2 , -   , 18 , 19.0 , 0.9 , -   
,Influenza (laboratory confirmed),062, 1 , 3 , 1 , 2 , 1 , -   , 1 , 2 , 11 , 23 ," 4,190 "," 21,760 ", 273 ," 96,161.8 ", 0.0 , -   ," 30,940 "," 162,009.4 ", 0.2 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32 , 32 , -   , 35.6 , -   , -   , 76 , 123.8 , 0.6 , -   
,Mumps,043, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 2 , 5 , 140 , 15 , 148.6 , 0.1 , -   , 178 , 612.6 , 0.3 , -   
,Pertussis,024, -   , 2 , -   , 1 , 2 , 1 , 4 , 1 , 11 , 17 , 520 ," 3,567 ", 159 ," 4,150.4 ", 0.0 , -   ," 6,048 "," 16,150.4 ", 0.4 , -   
,Pneumococcal disease (invasive),065, -   , 9 , -   , 9 , 5 , -   , 1 , 10 , 34 , 43 , 113 , 916 , 283 , 665.2 , 0.4 , -   ," 1,261 "," 1,859.4 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 9 , 2 , 9 , 8 , 3 , NN , 5 , 42 , 48 , 537 ," 1,572 ", 252 ," 1,773.4 ", 0.1 , -   ," 3,596 "," 4,412.4 ", 0.8 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 2.8 , -   , -   , 2 , 15.8 , 0.1 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 1 , 0.8 , 1.3 , -   , 3 , 4.0 , 0.8 , -   
,Varicella zoster (chickenpox),073, 8 , NN , 3 , 1 , 18 , 1 , 10 , 27 , 68 , 72 , 227 ," 2,106 ", 597 ," 1,060.6 ", 0.6 , -   ," 3,023 "," 3,449.4 ", 0.9 , -   
,Varicella zoster (shingles),074, 25 , NN , 12 , 1 , 108 , 14 , 42 , 58 , 260 , 356 , 853 ," 12,296 "," 3,035 "," 2,633.8 ", 1.2 , -   ," 15,423 "," 10,082.2 ", 1.5 , -   
,Varicella zoster (unspecified),075, 4 , NN , 4 , 476 , 42 , 23 , 1 , 158 , 708 , 834 , 558 ," 10,687 "," 4,042 "," 3,420.2 ", 1.2 , -   ," 12,721 "," 14,334.2 ", 0.9 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 6 , -   , 14 , 1 , -   , -   , 1 , 22 , 20 , 8 , 637 , 137 , 65.2 , 2.1 , 32.3 , 672 , 408.2 , 1.6 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 38 , 2 , 22.8 , 0.1 , -   , 60 , 95.2 , 0.6 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 52 , 225 , 1 , 260.6 , 0.0 , -   , 430 ," 1,498.2 ", 0.3 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 9 , 2 , 7.8 , 0.3 , -   , 10 , 32.6 , 0.3 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 0.4 , -   , -   , 2 , 1.2 , 1.7 , -   
,Malaria,020, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 15 , 155 , 13 , 89.4 , 0.1 , -   , 228 , 335.0 , 0.7 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.6 , -   , -   
,Ross River virus infection,002, -   , 17 , 2 , 39 , 2 , -   , 1 , 21 , 82 , 61 , 107 ," 5,600 ", 420 , 558.6 , 0.8 , -   ," 5,888 "," 5,466.8 ", 1.1 , -   
