ADT FN08/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,11/04/2020,28/03/2020,11/04/2019,01/01/2019,26/01/2020,,,,25/04/2019,25/04/2014,,
,,,,,,,,,,,24/04/2020,10/04/2020,24/04/2019,24/04/2020,24/04/2020,,,,24/04/2020,24/04/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 2 , -   , 2 , -   , -   , -   , 1 , 5 , 5 , 9 , 38 , 33 , 38.0 , 0.9 , -   , 144 , 156.8 , 0.9 , -   
,Hepatitis B (unspecified),052, 4 , 54 , -   , 22 , 2 , 3 , 1 , 13 , 99 , 106 , 196 ," 1,471 "," 1,142 "," 1,526.6 ", 0.7 , -   ," 5,306 "," 6,111.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , 1 , -   , 18 , 1 , -   , -   , -   , 21 , 22 , 22 , 204 , 163 , 171.2 , 1.0 , -   , 801 , 701.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 3 , 91 , 4 , 51 , 1 , 5 , 1 , 21 , 177 , 208 , 284 ," 2,357 "," 1,871 "," 2,552.6 ", 0.7 , -   ," 8,037 "," 9,986.6 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , -   , 1 , -   , -   , -   , 2 , -   , 2 , 15 , 8 , 15.6 , 0.5 , -   , 63 , 66.8 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 17 , 171 , 9 , 175 , 51 , 19 , 15 , 54 , 511 , 667 ," 1,143 "," 10,527 "," 7,631 "," 6,578.4 ", 1.2 , -   ," 35,119 "," 26,607.2 ", 1.3 , -   
,Cryptosporidiosis,061, 1 , 18 , 1 , 14 , 4 , 1 , 12 , 20 , 71 , 110 , 78 ," 1,638 "," 1,355 "," 1,721.8 ", 0.8 , -   ," 3,159 "," 3,943.4 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 4 , 3 , 3.8 , 0.8 , -   , 17 , 15.8 , 1.1 , -   
,Hepatitis A,038, -   , -   , -   , 4 , -   , -   , 5 , 1 , 10 , 9 , 7 , 79 , 64 , 86.2 , 0.7 , -   , 216 , 243.4 , 0.9 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 6 , 28 , 25 , 14.4 , 1.7 , 4.2 , 58 , 47.6 , 1.2 , -   
,Listeriosis,018, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 3 , -   , 15 , 10 , 22.6 , 0.4 , -   , 46 , 74.0 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , 1 , -   , -   , 1 , -   , 2 , 2 , 5 , 43 , 33 , 31.8 , 1.0 , -   , 91 , 80.4 , 1.1 , -   
,STEC,054, -   , 5 , -   , 1 , 3 , -   , 1 , 2 , 12 , 16 , 26 , 265 , 205 , 106.4 , 1.9 , -   , 700 , 361.0 , 1.9 , -   
,Salmonellosis,030, 4 , 80 , 14 , 134 , 21 , 6 , 44 , 71 , 374 , 370 , 565 ," 6,387 "," 5,101 "," 5,552.2 ", 0.9 , -   ," 15,305 "," 16,239.8 ", 0.9 , -   
,Shigellosis,031, -   , 5 , 11 , 1 , 12 , -   , 4 , 3 , 36 , 49 , 126 ," 1,140 ", 818 , 466.6 , 1.8 , -   ," 3,151 "," 1,698.0 ", 1.9 , -   
,Typhoid Fever,035, -   , 1 , -   , -   , -   , -   , -   , 1 , 2 , 6 , 3 , 80 , 72 , 59.2 , 1.2 , -   , 181 , 140.4 , 1.3 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 4 , 152 , -   , 46 , 9 , 90 , 45 , 40 , 386 ," 2,325 ", -   ," 6,698 "," 6,692 ", -   ,  ," 6,692.0 "," 6,698 ", -   ,  ," 6,698.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 0.4 , -   , -   , -   , 1.6 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
