ADT FN04/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,15/02/2020,01/02/2020,15/02/2019,01/01/2019,01/12/2019,,,,01/03/2019,28/02/2014,,
,,,,,,,,,,,28/02/2020,14/02/2020,28/02/2019,28/02/2020,28/02/2020,,,,28/02/2020,28/02/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , 2 , -   , 4 , 6 , 5 , 15 , 30 , 38.8 , 0.8 , -   , 148 , 158.0 , 0.9 , -   
,Hepatitis B (unspecified),052, 1 , 111 , -   , 37 , 4 , -   , 59 , 19 , 231 , 227 , 252 , 869 ," 1,249 "," 1,373.0 ", 0.9 , -   ," 5,666 "," 6,136.6 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 2 , -   , -   , 10 , 1 , -   , -   , -   , 13 , 33 , 11 , 102 , 186 , 167.2 , 1.1 , -   , 805 , 701.0 , 1.1 , -   
,Hepatitis C (unspecified),053, 4 , 115 , 4 , 94 , 2 , 7 , 66 , 46 , 338 , 343 , 357 ," 1,304 "," 1,950 "," 2,333.4 ", 0.8 , -   ," 8,370 "," 10,037.4 ", 0.8 , -   
,Hepatitis D,050, 1 , 1 , -   , 1 , -   , -   , -   , -   , 3 , 1 , 2 , 12 , 16 , 15.4 , 1.0 , -   , 71 , 66.0 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.8 , -   , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 21 , 471 , 15 , 429 , 88 , 53 , 17 , 159 ," 1,253 "," 1,424 "," 1,485 "," 6,180 "," 9,410 "," 7,690.4 ", 1.2 , -   ," 35,891 "," 26,166.6 ", 1.4 , -   
,Cryptosporidiosis,061, 1 , 71 , 8 , 71 , 10 , -   , 29 , 72 , 262 , 262 , 190 , 892 ," 1,145 "," 1,223.0 ", 0.9 , -   ," 2,931 "," 3,955.4 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , 4.2 , 0.7 , -   , 16 , 15.8 , 1.0 , -   
,Hepatitis A,038, -   , 2 , -   , 3 , -   , -   , 1 , 2 , 8 , 7 , 17 , 36 , 60 , 77.4 , 0.8 , -   , 221 , 244.0 , 0.9 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 1 , 6 , 8 , 14.2 , 0.6 , -   , 50 , 46.6 , 1.1 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , 6 , 8 , 8 , 25.2 , 0.3 , -   , 43 , 76.4 , 0.6 , -   
,Paratyphoid,080, -   , 2 , -   , -   , -   , -   , 5 , -   , 7 , 5 , 17 , 23 , 30 , 31.0 , 1.0 , -   , 100 , 77.8 , 1.3 , -   
,STEC,054, -   , 6 , -   , 3 , 19 , -   , 3 , 14 , 45 , 49 , 32 , 169 , 233 , 112.0 , 2.1 , -   , 705 , 345.6 , 2.0 , -   
