ADT FN15/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,18/07/2020,04/07/2020,18/07/2019,01/01/2020,03/05/2020,,,,01/08/2019,01/08/2014,,
,,,,,,,,,,,31/07/2020,17/07/2020,31/07/2019,31/07/2020,31/07/2020,,,,31/07/2020,31/07/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 4 , 8 , 71 , 28 , 37.8 , 0.7 , -   , 135 , 154.2 , 0.9 , -   
,Hepatitis B (unspecified),052, 2 , 76 , -   , 35 , 3 , 3 , 30 , 28 , 177 , 206 , 205 ," 2,999 "," 1,300 "," 1,529.0 ", 0.9 , -   ," 5,279 "," 6,081.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 10 , -   , -   , 2 , -   , 12 , 25 , 31 , 397 , 172 , 168.4 , 1.0 , -   , 803 , 698.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 3 , 117 , 1 , 76 , -   , 7 , 38 , 30 , 272 , 273 , 317 ," 4,345 "," 1,828 "," 2,413.6 ", 0.8 , -   ," 7,734 "," 9,925.0 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , 1 , 1 , -   , -   , 1 , 5 , 1 , -   , 34 , 19 , 15.4 , 1.2 , -   , 60 , 67.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 19 , 320 , 7 , 208 , 108 , 38 , 144 , 92 , 936 , 985 ," 1,342 "," 17,140 "," 6,090 "," 6,311.0 ", 1.0 , -   ," 33,297 "," 27,315.8 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 7 , -   , 5 , 4 , 1 , 14 , 1 , 32 , 36 , 78 ," 1,972 ", 284 , 789.4 , 0.4 , -   ," 2,882 "," 3,939.6 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , 1 , -   , -   , -   , 1 , 3 , -   , 2 , 10 , 6 , 3.4 , 1.8 , -   , 16 , 16.2 , 1.0 , -   
