ADT FN20/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,26/09/2020,12/09/2020,26/09/2019,01/01/2020,12/07/2020,,,,10/10/2019,10/10/2014,,
,,,,,,,,,,,09/10/2020,25/09/2020,09/10/2019,09/10/2020,09/10/2020,,,,09/10/2020,09/10/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , 1 , -   , -   , 2 , 4 , 5 , 84 , 19 , 35.2 , 0.5 , -   , 120 , 152.8 , 0.8 , -   
,Hepatitis B (unspecified),052, -   , 53 , 4 , 21 , 4 , 2 , 31 , 21 , 136 , 166 , 204 ," 3,893 "," 1,181 "," 1,505.2 ", 0.8 , -   ," 5,077 "," 6,040.6 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 12 , -   , -   , 1 , -   , 14 , 23 , 42 , 514 , 143 , 174.0 , 0.8 , -   , 760 , 705.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 5 , 81 , 5 , 67 , -   , 7 , 45 , 36 , 246 , 282 , 265 ," 5,662 "," 1,781 "," 2,312.6 ", 0.8 , -   ," 7,433 "," 9,893.2 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 3 , 2 , 52 , 23 , 16.4 , 1.4 , -   , 68 , 66.8 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 32 , 331 , 9 , 241 , 91 , 42 , 297 , 102 ," 1,145 "," 1,168 "," 1,347 "," 22,863 "," 7,074 "," 6,660.2 ", 1.1 , -   ," 32,308 "," 27,939.4 ", 1.2 , -   
,Cryptosporidiosis,061, 1 , 8 , -   , 10 , 6 , 3 , 21 , 4 , 53 , 39 , 54 ," 2,171 ", 253 , 489.8 , 0.5 , -   ," 2,792 "," 3,936.4 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 13 , 6 , 3.6 , 1.7 , -   , 17 , 16.2 , 1.0 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 , 6 , 89 , 6 , 47.2 , 0.1 , -   , 148 , 243.6 , 0.6 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , 1 , 8.2 , 0.1 , -   , 41 , 45.2 , 0.9 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 2 , 30 , 11 , 13.6 , 0.8 , -   , 38 , 72.2 , 0.5 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 45 , -   , 11.8 , -   , -   , 63 , 81.6 , 0.8 , -   
,STEC,054, -   , 2 , -   , -   , 13 , 1 , 2 , 2 , 20 , 12 , 19 , 441 , 93 , 86.0 , 1.1 , -   , 634 , 400.0 , 1.6 , -   
,Salmonellosis,030, 2 , 58 , 10 , 63 , 19 , 2 , 34 , 53 , 241 , 264 , 482 ," 9,886 "," 1,512 "," 2,645.2 ", 0.6 , -   ," 13,409 "," 16,117.6 ", 0.8 , -   
,Shigellosis,031, 1 , 13 , 5 , 5 , 1 , -   , 2 , 4 , 31 , 25 , 100 ," 1,502 ", 208 , 473.6 , 0.4 , -   ," 2,165 "," 1,889.4 ", 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 90 , 4 , 25.6 , 0.2 , -   , 117 , 147.6 , 0.8 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 57 , -   , 4 , 4 , -   , 138 , 25 , 228 , 420 , -   ," 27,305 "," 17,516 ", -   ,  ," 17,516.0 "," 27,305 ", -   ,  ," 27,305.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.6 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 45 , 835 , 20 , 834 , 184 , 38 , 88 , 315 ," 2,359 "," 2,729 "," 3,257 "," 57,958 "," 17,458 "," 23,509.8 ", 0.7 , -   ," 77,465 "," 98,323.6 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 6 , 364 , 15 , 226 , 59 , 4 , 112 , 91 , 877 ," 1,021 "," 1,137 "," 23,789 "," 6,529 "," 6,588.0 ", 1.0 , -   ," 31,368 "," 26,394.8 ", 1.2 , -   
,Syphilis < 2 years,066, -   , 24 , 10 , 21 , 2 , -   , 36 , 22 , 115 , 184 , 206 ," 3,970 "," 1,068 "," 1,083.6 ", 1.0 , -   ," 5,301 "," 4,131.6 ", 1.3 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 5 , 2 , 5 , -   , -   , 39 , 6 , 57 , 49 , 117 ," 1,654 ", 449 , 543.2 , 0.8 , -   ," 2,183 "," 2,153.6 ", 1.0 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 1 , 12 , 3 , 2.8 , 1.1 , -   , 15 , 5.8 , 2.6 , 5.4 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 5 , 2 , 1.6 , 1.3 , -   , 8 , 7.0 , 1.1 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , 1 , 16 , 8 , 5.4 , 1.5 , -   , 18 , 19.2 , 0.9 , -   
,Influenza (laboratory confirmed),062, -   , 2 , 1 , 12 , 1 , 1 , 5 , -   , 22 , 38 ," 7,347 "," 21,749 ", 372 ," 103,752.6 ", 0.0 , -   ," 35,104 "," 161,911.2 ", 0.2 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , 32 , -   , 30.0 , -   , -   , 108 , 119.6 , 0.9 , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 , 6 , 137 , 13 , 144.0 , 0.1 , -   , 180 , 614.0 , 0.3 , -   
,Pertussis,024, -   , 2 , -   , -   , 3 , -   , 9 , -   , 14 , 24 , 393 ," 3,552 ", 214 ," 3,880.4 ", 0.1 , -   ," 6,553 "," 16,191.6 ", 0.4 , -   
,Pneumococcal disease (invasive),065, -   , 11 , 3 , 9 , 5 , -   , 1 , 10 , 39 , 35 , 90 , 880 , 317 , 712.2 , 0.4 , -   ," 1,338 "," 1,851.2 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 10 , 1 , 5 , 14 , 2 , NN , 6 , 44 , 40 , 431 ," 1,527 ", 264 ," 1,592.6 ", 0.2 , -   ," 4,085 "," 4,354.4 ", 0.9 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 3.0 , -   , -   , 3 , 15.8 , 0.2 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 3 , 1 , 1.0 , 1.0 , -   , 3 , 4.0 , 0.8 , -   
,Varicella zoster (chickenpox),073, 5 , NN , 1 , -   , 20 , 2 , 8 , 17 , 53 , 91 , 174 ," 1,952 ", 561 ," 1,032.2 ", 0.5 , -   ," 3,085 "," 3,424.4 ", 0.9 , -   
,Varicella zoster (shingles),074, 30 , NN , 14 , -   , 68 , 11 , 60 , 67 , 250 , 323 , 660 ," 11,448 "," 2,891 "," 2,566.4 ", 1.1 , -   ," 15,391 "," 9,962.2 ", 1.5 , -   
,Varicella zoster (unspecified),075, 3 , NN , 4 , 364 , 58 , 11 , 177 , 102 , 719 , 885 , 389 ," 10,481 "," 4,375 "," 3,591.2 ", 1.2 , -   ," 13,120 "," 14,336.2 ", 0.9 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 6 , -   , 12 , -   , -   , -   , -   , 18 , 17 , 11 , 612 , 155 , 68.2 , 2.3 , 52.6 , 655 , 411.4 , 1.6 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 37 , 2 , 20.6 , 0.1 , -   , 64 , 93.6 , 0.7 , -   
