ADT FN25/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,07/12/2020,23/11/2020,07/12/2019,01/01/2020,22/09/2020,,,,21/12/2019,21/12/2014,,
,,,,,,,,,,,20/12/2020,06/12/2020,20/12/2019,20/12/2020,20/12/2020,,,,20/12/2020,20/12/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 5 , 6 , 109 , 25 , 34.4 , 0.7 , -   , 114 , 152.8 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 67 , 1 , 23 , 4 , -   , 57 , 25 , 180 , 175 , 207 ," 4,882 "," 1,171 "," 1,445.6 ", 0.8 , -   ," 4,963 "," 5,994.4 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 17 , 2 , -   , -   , 1 , 20 , 24 , 50 , 650 , 146 , 202.2 , 0.7 , -   , 663 , 722.2 , 0.9 , -   
,Hepatitis C (unspecified),053, 3 , 124 , 5 , 66 , 2 , 7 , 36 , 37 , 280 , 277 , 364 ," 7,198 "," 1,799 "," 2,448.8 ", 0.7 , -   ," 7,331 "," 9,827.0 ", 0.7 , -   
,Hepatitis D,050, -   , 5 , -   , -   , -   , -   , -   , -   , 5 , 2 , 1 , 69 , 20 , 18.6 , 1.1 , -   , 72 , 67.6 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 39 , 432 , 19 , 291 , 156 , 48 , 140 , 128 ," 1,253 "," 1,597 "," 1,671 "," 30,321 "," 8,982 "," 8,175.6 ", 1.1 , -   ," 31,147 "," 28,742.0 ", 1.1 , -   
,Cryptosporidiosis,061, 1 , 21 , 5 , 3 , 2 , 1 , 17 , 3 , 53 , 47 , 124 ," 2,423 ", 315 , 712.0 , 0.4 , -   ," 2,489 "," 3,979.4 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 16 , 4 , 4.2 , 1.0 , -   , 16 , 16.4 , 1.0 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 91 , 3 , 54.2 , 0.1 , -   , 97 , 244.8 , 0.4 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 33 , 1 , 9.2 , 0.1 , -   , 34 , 45.8 , 0.7 , -   
,Listeriosis,018, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , 41 , 12 , 17.2 , 0.7 , -   , 41 , 71.0 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 45 , -   , 18.6 , -   , -   , 48 , 82.6 , 0.6 , -   
,STEC,054, -   , 12 , -   , 5 , 7 , -   , 4 , 1 , 29 , 21 , 29 , 558 , 140 , 133.0 , 1.1 , -   , 584 , 430.6 , 1.4 , -   
,Salmonellosis,030, 6 , 109 , 17 , 139 , 17 , 10 , 38 , 45 , 381 , 343 , 667 ," 11,576 "," 2,020 "," 3,393.2 ", 0.6 , -   ," 11,991 "," 16,126.2 ", 0.7 , -   
,Shigellosis,031, -   , 6 , 3 , 7 , -   , -   , -   , 1 , 17 , 34 , 118 ," 1,641 ", 177 , 514.0 , 0.3 , -   ," 1,701 "," 1,964.0 ", 0.9 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 4 , 8 , 97 , 7 , 27.4 , 0.3 , -   , 101 , 148.2 , 0.7 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 1 , 167 , 15 , 16 , 4 , 4 , 13 , 13 , 233 , 147 , -   ," 28,283 "," 1,279 ", -   ,  ," 1,279.0 "," 28,283 ", -   ,  ," 28,283.0 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 61 ," 1,075 ", 64 , 834 , 234 , 51 , 23 , 403 ," 2,745 "," 2,781 "," 3,644 "," 74,492 "," 18,212 "," 23,792.6 ", 0.8 , -   ," 75,959 "," 98,933.2 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 9 , 331 , 49 , 177 , 68 , 6 , 49 , 108 , 797 , 974 ," 1,346 "," 28,975 "," 6,204 "," 6,707.2 ", 0.9 , -   ," 29,610 "," 27,169.6 ", 1.1 , -   
,Syphilis < 2 years,066, 4 , 28 , 14 , 31 , 2 , -   , 29 , 32 , 140 , 172 , 252 ," 5,022 "," 1,155 "," 1,139.8 ", 1.0 , -   ," 5,097 "," 4,297.6 ", 1.2 , -   
,Syphilis > 2 years or unspecified duration,067, 1 , 2 , 2 , 2 , -   , -   , 28 , 6 , 41 , 64 , 86 ," 1,964 ", 392 , 547.4 , 0.7 , -   ," 1,995 "," 2,181.0 ", 0.9 , -   
