ADT FN23/2020,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,09/11/2020,26/10/2020,09/11/2019,01/01/2020,25/08/2020,,,,23/11/2019,23/11/2014,,
,,,,,,,,,,,22/11/2020,08/11/2020,22/11/2019,22/11/2020,22/11/2020,,,,22/11/2020,22/11/2019,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 3 , -   , -   , 2 , 4 , 9 , -   , 2 , 98 , 22 , 34.6 , 0.6 , -   , 115 , 153.4 , 0.7 , -   
,Hepatitis B (unspecified),052, 4 , 96 , -   , 27 , 3 , 2 , 46 , 17 , 195 , 187 , 224 ," 4,512 "," 1,168 "," 1,482.2 ", 0.8 , -   ," 5,008 "," 6,012.2 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 15 , -   , -   , -   , 1 , 16 , 25 , 42 , 598 , 152 , 194.2 , 0.8 , -   , 706 , 712.2 , 1.0 , -   
,Hepatitis C (unspecified),053, 5 , 99 , 3 , 66 , 2 , 8 , 36 , 44 , 263 , 282 , 294 ," 6,643 "," 1,818 "," 2,383.2 ", 0.8 , -   ," 7,456 "," 9,850.4 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 62 , 22 , 17.4 , 1.3 , -   , 68 , 67.6 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
,Campylobacteriosis,005, 39 , 512 , 12 , 338 , 111 , 41 , 293 , 152 ," 1,498 "," 1,491 "," 1,616 "," 27,309 "," 8,212 "," 7,458.8 ", 1.1 , -   ," 31,484 "," 28,457.4 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 20 , 7 , 5 , 4 , 3 , 10 , 3 , 52 , 47 , 117 ," 2,322 ", 298 , 543.0 , 0.5 , -   ," 2,647 "," 3,962.4 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 15 , 3 , 3.8 , 0.8 , -   , 17 , 16.2 , 1.0 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 91 , 5 , 47.6 , 0.1 , -   , 123 , 243.4 , 0.5 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 32 , 2 , 8.6 , 0.2 , -   , 36 , 46.2 , 0.8 , -   
,Listeriosis,018, -   , 2 , -   , -   , -   , -   , 2 , -   , 4 , 1 , 3 , 37 , 12 , 16.6 , 0.7 , -   , 38 , 71.8 , 0.5 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 45 , -   , 15.0 , -   , -   , 52 , 82.4 , 0.6 , -   
,STEC,054, -   , 12 , -   , 3 , 2 , -   , 4 , -   , 21 , 27 , 32 , 507 , 119 , 112.8 , 1.1 , -   , 594 , 418.2 , 1.4 , -   
