ADT FN10/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,10/05/2021,26/04/2021,10/05/2020,01/01/2021,23/02/2021,,,,24/05/2020,24/05/2015,,
,,,,,,,,,,,23/05/2021,09/05/2021,23/05/2020,23/05/2021,23/05/2021,,,,23/05/2021,23/05/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 8 , 29 , 14 , 39.4 , 0.4 , -   , 95 , 151.0 , 0.6 , -   
,Hepatitis B (unspecified),052, 3 , 65 , 2 , 20 , 2 , 2 , 71 , 22 , 187 , 170 , 179 ," 1,836 "," 1,241 "," 1,465.2 ", 0.8 , -   ," 4,889 "," 5,896.8 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 17 , -   , -   , -   , 1 , 18 , 24 , 36 , 272 , 173 , 159.2 , 1.1 , -   , 669 , 714.2 , 0.9 , -   
,Hepatitis C (unspecified),053, -   , 118 , 3 , 52 , 1 , 4 , 68 , 37 , 283 , 273 , 308 ," 2,833 "," 1,810 "," 2,512.6 ", 0.7 , -   ," 7,298 "," 9,662.2 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , 1 , 3 , 2 , 3 , 31 , 21 , 14.8 , 1.4 , -   , 83 , 67.2 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,  , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 18 , 460 , 9 , 376 , 73 , 39 , 140 , 91 ," 1,206 "," 1,240 ", 930 ," 14,820 "," 8,788 "," 6,545.6 ", 1.3 , -   ," 34,040 "," 29,641.6 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 6 , 17 , 30 , 5 , 1 , 15 , 4 , 78 , 85 , 69 , 803 , 484 ," 1,466.0 ", 0.3 , -   ," 1,477 "," 3,903.6 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 3 , 4.2 , 0.7 , -   , 14 , 15.6 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 6 , 4 , 69.8 , 0.1 , -   , 13 , 241.0 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 3 , 3 , 15.6 , 0.2 , -   , 8 , 48.6 , 0.2 , -   
,Listeriosis,018, -   , 3 , -   , -   , -   , -   , -   , -   , 3 , -   , -   , 18 , 10 , 14.8 , 0.7 , -   , 47 , 67.2 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25.8 , -   , -   , 1 , 86.0 , 0.0 , -   
,STEC,054, -   , 4 , -   , -   , 3 , 2 , 6 , 3 , 18 , 24 , 16 , 260 , 158 , 126.2 , 1.3 , -   , 540 , 483.8 , 1.1 , -   
,Salmonellosis,030, 2 , 103 , 22 , 148 , 13 , 11 , 42 , 33 , 374 , 395 , 467 ," 5,763 "," 3,260 "," 4,641.0 ", 0.7 , -   ," 10,470 "," 15,713.8 ", 0.7 , -   
,Shigellosis,031, -   , 3 , 2 , 1 , 5 , -   , -   , 3 , 14 , 11 , 31 , 191 , 110 , 505.6 , 0.2 , -   , 648 ," 2,117.2 ", 0.3 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 3 , 47.6 , 0.1 , -   , 18 , 152.0 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 39 , 4 , 25 , 9 , -   , 14 , 6 , 97 , 252 , 161 ," 1,743 "," 1,186 "," 1,455.2 ", 0.8 , -   ," 22,986 "," 1,459.6 ", 15.7 ," 14,998.9 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
