ADT FN19/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,13/09/2021,30/08/2021,13/09/2020,01/01/2021,29/06/2021,,,,27/09/2020,27/09/2015,,
,,,,,,,,,,,26/09/2021,12/09/2021,26/09/2020,26/09/2021,26/09/2021,,,,26/09/2021,26/09/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 3 , -   , -   , 1 , -   , 4 , 1 , 4 , 70 , 20 , 34.2 , 0.6 , -   , 100 , 149.0 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 50 , -   , 66 , 5 , 4 , 49 , 14 , 191 , 166 , 176 ," 3,445 "," 1,049 "," 1,437.4 ", 0.7 , -   ," 4,686 "," 5,794.8 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 23 , -   , -   , 1 , -   , 24 , 24 , 25 , 551 , 184 , 165.2 , 1.1 , -   , 712 , 710.0 , 1.0 , -   
,Hepatitis C (unspecified),053, 3 , 50 , 5 , 70 , 2 , 8 , 52 , 45 , 235 , 236 , 284 ," 5,161 "," 1,574 "," 2,238.0 ", 0.7 , -   ," 7,084 "," 9,552.8 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 4 , 65 , 21 , 19.8 , 1.1 , -   , 84 , 68.4 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.2 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 20 , 262 , 12 , 309 , 112 , 40 , 249 , 121 ," 1,125 "," 1,073 "," 1,182 "," 26,186 "," 7,819 "," 7,039.4 ", 1.1 , -   ," 36,084 "," 30,304.0 ", 1.2 , -   
