ADT FN17/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,16/08/2021,02/08/2021,16/08/2020,01/01/2021,01/06/2021,,,,30/08/2020,30/08/2015,,
,,,,,,,,,,,29/08/2021,15/08/2021,29/08/2020,29/08/2021,29/08/2021,,,,29/08/2021,29/08/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 3 , 3 , 64 , 26 , 35.4 , 0.7 , -   , 99 , 149.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 46 , -   , 44 , -   , 4 , 57 , 18 , 172 , 170 , 216 ," 3,073 "," 1,069 "," 1,447.8 ", 0.7 , -   ," 4,667 "," 5,835.4 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 28 , -   , -   , 1 , 1 , 30 , 28 , 25 , 500 , 187 , 165.2 , 1.1 , -   , 717 , 709.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 2 , 80 , 4 , 63 , 1 , 9 , 47 , 48 , 254 , 229 , 257 ," 4,691 "," 1,676 "," 2,240.2 ", 0.7 , -   ," 7,188 "," 9,582.2 ", 0.8 , -   
,Hepatitis D,050, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 2 , 4 , 54 , 18 , 18.8 , 1.0 , -   , 81 , 68.2 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.2 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 15 , 303 , 11 , 326 , 125 , 31 , 243 , 114 ," 1,168 "," 1,265 "," 1,185 "," 23,977 "," 8,194 "," 6,799.0 ", 1.2 , -   ," 36,162 "," 30,151.4 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 9 , 8 , 15 , 5 , 1 , 21 , 4 , 63 , 66 , 40 ," 1,321 ", 459 , 531.0 , 0.9 , -   ," 1,741 "," 3,827.8 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 3.6 , -   , -   , 6 , 16.0 , 0.4 , -   
,Hepatitis A,038, -   , 1 , -   , 6 , -   , -   , -   , -   , 7 , 6 , 1 , 28 , 22 , 40.8 , 0.5 , -   , 33 , 234.2 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 10 , 6 , 9.2 , 0.7 , -   , 12 , 47.2 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , 1 , 3 , 30 , 12 , 12.8 , 0.9 , -   , 48 , 67.4 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 , 9.4 , 0.3 , -   , 3 , 81.8 , 0.0 , -   
,Salmonellosis,030, 8 , 57 , 9 , 59 , 9 , 8 , 32 , 31 , 213 , 197 , 232 ," 7,598 "," 1,581 "," 2,626.4 ", 0.6 , -   ," 10,452 "," 15,452.6 ", 0.7 , -   
,Shigellosis,031, -   , 1 , 5 , 3 , 1 , -   , 1 , 5 , 16 , 19 , 27 , 308 , 95 , 463.0 , 0.2 , -   , 547 ," 2,102.2 ", 0.3 , -   
,STEC,054, -   , 2 , -   , -   , 5 , -   , 4 , 4 , 15 , 17 , 17 , 378 , 97 , 97.6 , 1.0 , -   , 557 , 497.8 , 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 8 , 3 , 19.2 , 0.2 , -   , 17 , 149.0 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.2 , -   , -   
,COVID-19,081, 238 ," 12,152 ", 2 , 22 , 1 , -   , 862 , 25 ," 13,302 "," 4,937 "," 2,420 "," 24,613 "," 22,764 "," 3,659.6 ", 6.2 ," 2,738.2 "," 27,468 "," 5,155.4 ", 5.3 , -   
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 41 , 715 , 70 , 904 , 215 , 70 , 366 , 400 ," 2,781 "," 2,831 "," 3,364 "," 54,852 "," 19,052 "," 24,253.0 ", 0.8 , -   ," 83,691 "," 100,381.6 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 6 , 201 , 72 , 198 , 49 , 8 , 133 , 90 , 757 , 958 ," 1,104 "," 18,117 "," 6,243 "," 7,100.0 ", 0.9 , -   ," 26,946 "," 28,846.8 ", 0.9 , -   
,Syphilis < 2 years,066, 1 , 22 , 5 , 32 , 10 , -   , 57 , 26 , 153 , 186 , 197 ," 3,666 "," 1,280 "," 1,184.8 ", 1.1 , -   ," 5,400 "," 4,715.0 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , -   , 2 , 5 , -   , -   , 47 , 7 , 61 , 48 , 61 ," 1,183 ", 368 , 525.4 , 0.7 , -   ," 1,857 "," 2,136.6 ", 0.9 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 , 1 , 13 , 5 , 2.0 , 2.5 , 1.0 , 20 , 8.0 , 2.5 , 4.9 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 2 , 1.8 , 1.1 , -   , 8 , 8.2 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 13 , 4 , 6.0 , 0.7 , -   , 20 , 18.8 , 1.1 , -   
,Influenza (laboratory confirmed),062, -   , 4 , 3 , 12 , 1 , -   , 2 , -   , 22 , 28 , 58 , 502 , 184 ," 70,754.6 ", 0.0 , -   , 750 ," 156,953.2 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13.8 , -   , -   , -   , 123.2 , -   , -   
