ADT FN15/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,19/07/2021,05/07/2021,19/07/2020,01/01/2020,04/05/2021,,,,02/08/2020,02/08/2015,,
,,,,,,,,,,,01/08/2021,18/07/2021,01/08/2020,01/08/2021,01/08/2021,,,,01/08/2021,01/08/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 6 , 4 , 58 , 30 , 36.2 , 0.8 , -   , 99 , 150.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 5 , 49 , -   , 28 , 2 , 2 , 54 , 16 , 156 , 129 , 193 ," 2,705 "," 1,128 "," 1,469.0 ", 0.8 , -   ," 4,717 "," 5,857.6 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 6 , 23 , 308 , 59 , 168.0 , 0.4 , -   , 571 , 712.8 , 0.8 , -   
,Hepatitis C (unspecified),053, 7 , 99 , 2 , 82 , 2 , 6 , 69 , 45 , 312 , 252 , 311 ," 4,357 "," 1,936 "," 2,285.4 ", 0.8 , -   ," 7,393 "," 9,621.0 ", 0.8 , -   
,Hepatitis D,050, 1 , 1 , -   , 2 , -   , -   , -   , 1 , 5 , 2 , 5 , 49 , 22 , 16.6 , 1.3 , -   , 85 , 68.0 , 1.3 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , 1 , 0.2 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 30 , 361 , 8 , 354 , 89 , 35 , 291 , 123 ," 1,291 "," 1,352 ", 988 ," 21,510 "," 8,374 "," 6,613.8 ", 1.3 , -   ," 35,986 "," 30,041.0 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 9 , 3 , 35 , 12 , 1 , 19 , 3 , 82 , 70 , 34 ," 1,192 ", 512 , 698.0 , 0.7 , -   ," 1,673 "," 3,841.6 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , -   , 4.0 , -   , -   , 8 , 16.6 , 0.5 , -   
,Hepatitis A,038, -   , -   , -   , 4 , -   , -   , -   , -   , 4 , 2 , 1 , 15 , 10 , 41.0 , 0.2 , -   , 21 , 237.4 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 1 , -   , 10 , 9 , 8.4 , 1.1 , -   , 13 , 47.8 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , 1 , -   , -   , 1 , -   , 3 , 3 , 3 , 27 , 12 , 11.6 , 1.0 , -   , 49 , 67.2 , 0.7 , -   
