ADT FN05/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,01/03/2021,15/02/2021,01/03/2020,01/01/2021,15/12/2020,,,,15/03/2020,15/03/2015,,
,,,,,,,,,,,14/03/2021,28/02/2021,14/03/2020,14/03/2021,14/03/2021,,,,14/03/2021,14/03/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 3 , -   , -   , -   , -   , 4 , 3 , 7 , 16 , 20 , 37.8 , 0.5 , -   , 111 , 151.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 1 , 78 , -   , 31 , 1 , -   , 43 , 146 , 300 , 160 , 223 , 954 ," 1,129 "," 1,357.8 ", 0.8 , -   ," 4,836 "," 5,976.2 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , 1 , -   , 31 , -   , -   , -   , -   , 33 , 28 , 25 , 146 , 169 , 170.4 , 1.0 , -   , 668 , 720.6 , 0.9 , -   
,Hepatitis C (unspecified),053, 3 , 128 , 2 , 64 , -   , 7 , 60 , 46 , 310 , 253 , 330 ," 1,439 "," 1,705 "," 2,274.6 ", 0.7 , -   ," 7,209 "," 9,774.6 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , 1 , 3 , 7 , 1 , 17 , 19 , 15.0 , 1.3 , 0.5 , 74 , 67.4 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 0.8 , 2.5 , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 37 , 488 , 16 , 487 , 89 , 39 , 114 , 99 ," 1,369 "," 1,614 "," 1,433 "," 8,079 "," 9,657 "," 8,353.8 ", 1.2 , -   ," 31,447 "," 29,510.2 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 25 , 6 , 21 , 1 , -   , 8 , 5 , 66 , 131 , 330 , 458 , 509 ," 1,420.8 ", 0.4 , -   ," 1,669 "," 4,041.2 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 3 , 3 , 4.0 , 0.8 , -   , 15 , 16.2 , 0.9 , -   
,Hepatitis A,038, -   , -   , -   , 2 , -   , -   , 1 , -   , 3 , -   , 9 , 5 , 5 , 77.0 , 0.1 , -   , 49 , 240.6 , 0.2 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 15.4 , -   , -   , 16 , 47.8 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 1 , -   , 10 , 15 , 22.8 , 0.7 , -   , 46 , 69.6 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   , 37.4 , -   , -   , 11 , 87.4 , 0.1 , -   
,STEC,054, 1 , 7 , -   , 5 , 16 , -   , 7 , 8 , 45 , 27 , 36 , 153 , 183 , 153.4 , 1.2 , -   , 514 , 473.2 , 1.1 , -   
,Salmonellosis,030, 11 , 191 , 15 , 268 , 24 , 12 , 42 , 51 , 614 , 557 , 831 ," 3,356 "," 3,960 "," 5,384.4 ", 0.7 , -   ," 10,317 "," 16,063.6 ", 0.6 , -   
,Shigellosis,031, -   , 3 , 8 , 4 , 1 , -   , -   , 2 , 18 , 21 , 163 , 109 , 135 , 654.6 , 0.2 , -   , 819 ," 2,107.6 ", 0.4 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 14 , 2 , 2 , 62.0 , 0.0 , -   , 38 , 153.2 , 0.2 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 5 , 65 , -   , 53 , 18 , -   , 2 , 13 , 156 , 85 , 275 , 756 ," 1,133 ", 60.0 , 18.9 , 804.7 ," 28,992 ", 71.2 , 407.2 ," 28,602.4 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 48 ," 1,175 ", 62 ," 1,001 ", 218 , 42 , 72 , 501 ," 3,119 "," 3,317 "," 4,280 "," 16,090 "," 19,353 "," 25,424.2 ", 0.8 , -   ," 83,996 "," 100,254.6 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 17 , 325 , 51 , 241 , 58 , 5 , 189 , 100 , 986 ," 1,162 "," 1,276 "," 5,563 "," 6,579 "," 7,512.4 ", 0.9 , -   ," 27,605 "," 28,018.6 ", 1.0 , -   
,Syphilis < 2 years,066, -   , 21 , 5 , 26 , 4 , -   , 41 , 37 , 134 , 200 , 217 , 949 ," 1,145 "," 1,122.4 ", 1.0 , -   ," 5,028 "," 4,446.8 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, 1 , 5 , 1 , 8 , 1 , -   , 46 , 6 , 68 , 57 , 96 , 344 , 421 , 514.2 , 0.8 , -   ," 1,876 "," 2,192.6 ", 0.9 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 5 , 6 , 1.0 , 6.0 , 1.5 , 18 , 7.0 , 2.6 , 4.7 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 3 , 2.2 , 1.4 , -   , 8 , 7.6 , 1.1 , -   
,Haemophilus influenzae type b,012, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , 3 , 5.0 , 0.6 , -   , 18 , 19.4 , 0.9 , -   
,Influenza (laboratory confirmed),062, -   , 3 , 3 , 21 , 3 , -   , 9 , 1 , 40 , 25 ," 4,030 ", 156 , 196 ," 12,661.4 ", 0.0 , -   ," 4,009 "," 166,123.4 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 33.6 , -   , -   , -   , 129.4 , -   , -   
