ADT FN26/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,20/12/2021,06/12/2021,20/12/2020,01/01/2022,05/10/2021,,,,03/01/2021,03/01/2016,,
,,,,,,,,,,,02/01/2022,19/12/2021,02/01/2021,02/01/2022,02/01/2022,,,,02/01/2022,02/01/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , -   , 8 , 36.0 , 0.2 , -   , 80 , 149.8 , 0.5 , -   
,Hepatitis B (unspecified),052, -   , 51 , -   , 31 , 1 , -   , 30 , 12 , 125 , 217 , 100 , 4 ," 1,292 "," 1,285.0 ", 1.0 , -   ," 4,898 "," 5,707.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , -   , -   , -   , -   , -   , -   , 37 , 17 , -   , 153 , 180.4 , 0.8 , -   , 722 , 696.6 , 1.0 , -   
,Hepatitis C (unspecified),053, 1 , 35 , 2 , 44 , 1 , 8 , 26 , 32 , 149 , 278 , 155 , 2 ," 1,581 "," 2,180.4 ", 0.7 , -   ," 6,891 "," 9,376.0 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 2 , 1 , -   , 20 , 20.0 , 1.0 , -   , 88 , 71.8 , 1.2 , - 
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 0.2 , 5.0 , -   , 3 , 1.2 , 2.5 , 0.1 
,Campylobacteriosis,005, 25 , 309 , 6 , 288 , 81 , 25 , 175 , 118 ," 1,027 "," 1,788 "," 1,124 ", 74 ," 10,457 "," 8,858.6 ", 1.2 , -   ," 37,404 "," 30,937.8 ", 1.2 , -   
,Cryptosporidiosis,061, 2 , 9 , 5 , 18 , 8 , -   , 11 , 6 , 59 , 92 , 41 , 4 , 426 , 594.6 , 0.7 , -   ," 1,855 "," 3,669.4 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3.8 , 0.5 , -   , 8 , 15.4 , 0.5 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 7 , 50.6 , 0.1 , -   , 22 , 227.6 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.0 , -   , -   , 10 , 45.2 , 0.2 , -   
