ADT FN11/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,24/05/2021,10/05/2021,24/05/2020,01/01/2021,09/03/2021,,,,07/06/2020,07/06/2015,,
,,,,,,,,,,,06/06/2021,23/05/2021,06/06/2020,06/06/2021,06/06/2021,,,,06/06/2021,06/06/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , 34 , 12 , 38.4 , 0.3 , -   , 94 , 151.4 , 0.6 , -   
,Hepatitis B (unspecified),052, 4 , 63 , -   , 61 , 2 , 7 , 47 , 16 , 200 , 199 , 221 ," 2,049 "," 1,149 "," 1,468.6 ", 0.8 , -   ," 4,894 "," 5,892.0 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 20 , 29 , 281 , 144 , 160.8 , 0.9 , -   , 649 , 712.2 , 0.9 , -   
,Hepatitis C (unspecified),053, 1 , 94 , 3 , 161 , 2 , 12 , 48 , 34 , 352 , 293 , 273 ," 3,195 "," 1,815 "," 2,457.6 ", 0.7 , -   ," 7,377 "," 9,676.4 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , 4 , -   , -   , -   , 6 , 3 , 3 , 37 , 19 , 14.2 , 1.3 , -   , 86 , 67.2 , 1.3 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,  , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 30 , 402 , 17 , 354 , 88 , 22 , 64 , 90 ," 1,061 "," 1,232 "," 1,010 "," 15,934 "," 8,349 "," 6,309.2 ", 1.3 , -   ," 34,144 "," 29,795.2 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 18 , 12 , 36 , 4 , 1 , 15 , 11 , 92 , 80 , 63 , 898 , 468 ," 1,288.4 ", 0.4 , -   ," 1,509 "," 3,885.0 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 1 , 4.2 , 0.2 , -   , 13 , 15.8 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 6 , 4 , 63.0 , 0.1 , -   , 13 , 240.2 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 5 , 5 , 13.4 , 0.4 , -   , 10 , 48.4 , 0.2 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 18 , 9 , 13.0 , 0.7 , -   , 47 , 67.0 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 19.6 , -   , -   , -   , 85.6 , -   , -   
,STEC,054, -   , 5 , -   , 1 , 9 , 1 , 5 , 4 , 25 , 18 , 12 , 285 , 151 , 119.2 , 1.3 , -   , 553 , 486.0 , 1.1 , -   
,Salmonellosis,030, 8 , 106 , 17 , 141 , 21 , 1 , 37 , 43 , 373 , 375 , 311 ," 6,136 "," 3,019 "," 4,213.6 ", 0.7 , -   ," 10,532 "," 15,661.2 ", 0.7 , -   
,Shigellosis,031, -   , 2 , 7 , 2 , 4 , -   , 1 , 6 , 22 , 16 , 25 , 215 , 114 , 463.0 , 0.2 , -   , 647 ," 2,116.4 ", 0.3 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 2 , 39.6 , 0.1 , -   , 17 , 151.2 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 35 , 2 , 28 , 19 , -   , 103 , 4 , 191 , 102 , 160 ," 1,939 "," 1,251 "," 1,471.2 ", 0.9 , -   ," 23,022 "," 1,490.6 ", 15.4 ," 14,865.2 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.2 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 52 ," 1,059 ", 77 , 922 , 187 , 58 , 310 , 417 ," 3,060 "," 3,329 "," 3,342 "," 36,850 "," 20,325 "," 25,070.2 ", 0.8 , -   ," 85,806 "," 100,238.6 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 21 , 325 , 48 , 148 , 58 , 6 , 197 , 101 , 898 ," 1,055 "," 1,100 "," 12,048 "," 6,772 "," 7,246.6 ", 0.9 , -   ," 27,458 "," 28,396.2 ", 1.0 , -   
,Syphilis < 2 years,066, -   , 50 , 8 , 21 , 9 , 1 , 84 , 27 , 200 , 221 , 228 ," 2,414 "," 1,390 "," 1,171.6 ", 1.2 , -   ," 5,300 "," 4,581.8 ", 1.2 , -   
