ADT FN22/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,25/10/2021,11/10/2021,25/10/2020,01/01/2021,10/08/2021,,,,08/11/2020,08/11/2015,,
,,,,,,,,,,,07/11/2021,24/10/2021,07/11/2020,07/11/2021,07/11/2021,,,,07/11/2021,07/11/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 72 , 11 , 33.2 , 0.3 , -   , 95 , 148.2 , 0.6 , -   
,Hepatitis B (unspecified),052, 2 , 77 , -   , 43 , -   , 1 , 58 , 22 , 203 , 187 , 188 ," 4,084 "," 1,183 "," 1,409.6 ", 0.8 , -   ," 4,760 "," 5,742.0 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 9 , -   , -   , -   , 1 , 11 , 31 , 28 , 622 , 163 , 178.0 , 0.9 , -   , 704 , 702.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 1 , 116 , 3 , 78 , 1 , 6 , 45 , 30 , 280 , 250 , 279 ," 5,944 "," 1,602 "," 2,235.4 ", 0.7 , -   ," 7,015 "," 9,468.2 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 4 , 3 , 73 , 17 , 21.2 , 0.8 , -   , 81 , 70.6 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   ,  , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 46 , 487 , 11 , 355 , 135 , 42 , 294 , 154 ," 1,524 "," 1,452 "," 1,498 "," 30,560 "," 8,220 "," 7,720.8 ", 1.1 , -   ," 36,373 "," 30,527.0 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 9 , 2 , 13 , 5 , 2 , 18 , 2 , 51 , 40 , 48 ," 1,548 ", 314 , 443.4 , 0.7 , -   ," 1,734 "," 3,793.8 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 1 , 7 , 3 , 3.2 , 0.9 , -   , 7 , 15.6 , 0.4 , -   
,Hepatitis A,038, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , -   , 20 , 12 , 43.2 , 0.3 , -   , 20 , 230.8 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 7.4 , 0.1 , -   , 10 , 46.6 , 0.2 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , 1 , 39 , 11 , 14.8 , 0.7 , -   , 50 , 65.8 , 0.8 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 10.0 , -   , -   , 3 , 80.2 , 0.0 , -   
,Salmonellosis,030, 7 , 119 , 21 , 134 , 24 , 2 , 36 , 24 , 367 , 381 , 330 ," 9,068 "," 1,766 "," 2,551.4 ", 0.7 , -   ," 10,541 "," 15,283.0 ", 0.7 , -   
,Shigellosis,031, -   , 1 , 3 , 1 , 1 , 1 , 1 , 5 , 13 , 20 , 26 , 391 , 109 , 468.4 , 0.2 , -   , 497 ," 2,100.8 ", 0.2 , -   
,STEC,054, -   , 7 , -   , 2 , 7 , -   , 6 , 7 , 29 , 16 , 27 , 493 , 131 , 119.8 , 1.1 , -   , 579 , 512.6 , 1.1 , -   
