ADT FN20/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,27/09/2021,13/09/2021,27/09/2020,01/01/2021,13/07/2021,,,,11/10/2020,11/10/2015,,
,,,,,,,,,,,10/10/2021,26/09/2021,10/10/2020,10/10/2021,10/10/2021,,,,10/10/2021,10/10/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 5 , 69 , 13 , 35.0 , 0.4 , -   , 94 , 149.2 , 0.6 , -   
,Hepatitis B (unspecified),052, 4 , 40 , -   , 39 , -   , 2 , 35 , 15 , 135 , 202 , 166 ," 3,599 "," 1,066 "," 1,420.6 ", 0.8 , -   ," 4,674 "," 5,781.4 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 9 , -   , -   , -   , -   , 9 , 27 , 27 , 562 , 158 , 168.0 , 0.9 , -   , 696 , 707.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 2 , 63 , 1 , 72 , 1 , 2 , 42 , 32 , 215 , 236 , 261 ," 5,370 "," 1,543 "," 2,209.0 ", 0.7 , -   ," 7,031 "," 9,529.8 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , 3 , 66 , 19 , 18.4 , 1.0 , -   , 82 , 70.8 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 0.2 , -   , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 24 , 281 , 14 , 299 , 119 , 27 , 320 , 97 ," 1,181 "," 1,145 "," 1,176 "," 27,365 "," 7,700 "," 7,163.2 ", 1.1 , -   ," 36,087 "," 30,379.4 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 3 , -   , 9 , 2 , 2 , 25 , 5 , 46 , 36 , 52 ," 1,454 ", 374 , 447.0 , 0.8 , -   ," 1,734 "," 3,810.0 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , 1 , 6 , 2 , 3.6 , 0.6 , -   , 7 , 15.8 , 0.4 , -   
,Hepatitis A,038, -   , 1 , -   , 3 , -   , -   , -   , -   , 4 , 1 , 1 , 17 , 9 , 42.8 , 0.2 , -   , 18 , 232.8 , 0.1 , -   
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , -   , -   , 12 , 4 , 7.2 , 0.6 , -   , 13 , 47.0 , 0.3 , -   
,Listeriosis,018, -   , -   , -   , 1 , -   , -   , 1 , -   , 2 , 3 , 1 , 35 , 12 , 12.8 , 0.9 , -   , 49 , 66.2 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 9.8 , -   , -   , 3 , 81.8 , 0.0 , -   
,Salmonellosis,030, 5 , 60 , 5 , 85 , 7 , 2 , 61 , 31 , 256 , 249 , 253 ," 8,288 "," 1,425 "," 2,437.4 ", 0.6 , -   ," 10,393 "," 15,374.4 ", 0.7 , -   
,Shigellosis,031, -   , 1 , 5 , 1 , 7 , -   , -   , 3 , 17 , 18 , 34 , 359 , 106 , 468.0 , 0.2 , -   , 513 ," 2,104.6 ", 0.2 , -   
,STEC,054, -   , 8 , -   , -   , 11 , -   , 5 , 5 , 29 , 18 , 20 , 447 , 122 , 100.6 , 1.2 , 2.2 , 579 , 506.8 , 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , 2 , -   , -   , 1 , -   , 3 , 1 , -   , 12 , 6 , 23.6 , 0.3 , -   , 19 , 146.6 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.2 , -   , -   
,COVID-19,081, 463 ," 9,428 ", 5 , 26 , 9 , 2 ," 20,785 ", 15 ," 30,733 "," 24,311 ", 231 ," 102,459 "," 99,376 "," 3,473.8 ", 28.6 ," 80,366.9 "," 103,667 "," 5,474.8 ", 18.9 ," 73,708.2 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 31 , 518 , 16 , 810 , 195 , 47 , 259 , 386 ," 2,262 "," 2,564 "," 3,134 "," 63,562 "," 17,198 "," 23,773.8 ", 0.7 , -   ," 82,819 "," 100,496.8 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 8 , 113 , 14 , 226 , 59 , 4 , 155 , 102 , 681 , 822 , 989 ," 20,721 "," 5,577 "," 7,066.0 ", 0.8 , -   ," 26,482 "," 29,359.2 ", 0.9 , -   
,Syphilis < 2 years,066, 1 , 31 , 7 , 10 , 7 , 1 , 53 , 31 , 141 , 190 , 191 ," 4,271 "," 1,217 "," 1,203.0 ", 1.0 , -   ," 5,388 "," 4,769.4 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 1 , -   , 1 , -   , -   , 27 , 5 , 34 , 34 , 64 ," 1,360 ", 334 , 533.0 , 0.6 , -   ," 1,808 "," 2,145.4 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 12 , 5 , 3.0 , 1.7 , -   , 16 , 7.8 , 2.1 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 1.8 , 0.6 , -   , 7 , 8.4 , 0.8 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 1 , 1 , 15 , 3 , 5.6 , 0.5 , -   , 19 , 18.8 , 1.0 , -   
,Influenza (laboratory confirmed),062, -   , 2 , 8 , 7 , 2 , -   , 1 , -   , 20 , 27 , 22 , 575 , 162 ," 87,766.2 ", 0.0 , -   , 726 ," 148,640.6 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26.6 , -   , -   , -   , 120.6 , -   , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 17 , 7 , 107.8 , 0.1 , -   , 26 , 571.4 , 0.0 , -   
,Pertussis,024, -   , -   , -   , 3 , -   , -   , 7 , 2 , 12 , 14 , 15 , 453 , 131 ," 2,823.6 ", 0.0 , -   , 562 ," 13,838.4 ", 0.0 , -   
,Pneumococcal disease (invasive),065, -   , 7 , -   , 9 , 8 , 2 , 6 , 9 , 41 , 52 , 41 ," 1,130 ", 366 , 658.0 , 0.6 , -   ," 1,383 "," 1,811.8 ", 0.8 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 6 , 17 , 34 , 13 , 1 , NN , 54 , 129 , 153 , 45 ," 1,231 ", 559 ," 1,406.6 ", 0.4 , -   ," 1,472 "," 4,468.2 ", 0.3 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 1.8 , 0.6 , -   , 3 , 12.2 , 0.2 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 2 , 1.2 , 1.7 , -   , 7 , 4.2 , 1.7 , -   
,Varicella zoster (chickenpox),073, 2 , NN , -   , -   , 13 , 1 , 5 , 29 , 50 , 61 , 101 ," 1,527 ", 387 ," 1,042.6 ", 0.4 , -   ," 2,319 "," 3,610.8 ", 0.6 , -   
,Varicella zoster (shingles),074, 22 , NN , 11 , 7 , 83 , 8 , 63 , 89 , 283 , 362 , 557 ," 8,088 "," 2,194 "," 3,081.2 ", 0.7 , -   ," 11,526 "," 12,075.2 ", 1.0 , -   
,Varicella zoster (unspecified),075, 1 , NN , 5 , 399 , 56 , 22 , 250 , 120 , 853 , 785 , 550 ," 15,421 "," 5,375 "," 3,590.2 ", 1.5 , 196.2 ," 18,756 "," 14,067.8 ", 1.3 , - 
Vectorborne diseases,Barmah Forest virus infection,048, -   , 1 , -   , 8 , -   , -   , -   , -   , 9 , 9 , 20 , 303 , 68 , 81.6 , 0.8 , -   , 423 , 414.6 , 1.0 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 16.4 , -   , -   , 2 , 77.4 , 0.0 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 222.8 , 0.0 , -   , 3 ," 1,260.8 ", 0.0 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , -   , 8.2 , -   , -   , 7 , 32.8 , 0.2 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 0.4 , -   , -   , 1 , 1.2 , 0.8 , -   
,Malaria,020, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , 3 , 35 , 14 , 83.6 , 0.2 , -   , 42 , 334.8 , 0.1 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,  , -   , 1 , 0.2 , 5.0 , -   
,Ross River virus infection,002, -   , 7 , 1 , 13 , -   , 1 , 4 , 10 , 36 , 32 , 58 ," 2,916 ", 278 , 464.4 , 0.6 , -   ," 3,568 "," 4,670.8 ", 0.8 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.6 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 17 , 5 , 4.4 , 1.1 , -   , 20 , 18.8 , 1.1 , -   
