ADT FN07/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,29/03/2021,15/03/2021,29/03/2020,01/01/2021,12/01/2021,,,,12/04/2020,12/04/2015,,
,,,,,,,,,,,11/04/2021,28/03/2021,11/04/2020,11/04/2021,11/04/2021,,,,11/04/2021,11/04/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 18 , 14 , 37.6 , 0.4 , -   , 102 , 151.6 , 0.7 , -   
,Hepatitis B (unspecified),052, 6 , 48 , -   , 17 , -   , 3 , 47 , 13 , 134 , 161 , 144 ," 1,265 "," 1,175 "," 1,499.6 ", 0.8 , -   ," 4,799 "," 5,952.2 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 18 , -   , -   , -   , -   , 18 , 24 , 23 , 189 , 173 , 174.0 , 1.0 , -   , 666 , 718.0 , 0.9 , -   
,Hepatitis C (unspecified),053, 3 , 93 , 3 , 43 , 4 , 4 , 36 , 31 , 217 , 266 , 216 ," 1,986 "," 1,830 "," 2,461.0 ", 0.7 , -   ," 7,217 "," 9,733.2 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 22 , 20 , 14.6 , 1.4 , -   , 79 , 66.6 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.8 , 1.3 , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 25 , 434 , 11 , 368 , 93 , 26 , 5 , 96 ," 1,058 "," 1,254 ", 662 ," 10,540 "," 9,328 "," 7,639.6 ", 1.2 , -   ," 32,079 "," 29,575.6 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 7 , 11 , 9 , 1 , -   , 11 , 2 , 41 , 56 , 109 , 555 , 492 ," 1,671.0 ", 0.3 , -   ," 1,444 "," 3,980.8 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 3 , 4.8 , 0.6 , -   , 13 , 16.0 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 9 , 4 , 3 , 83.6 , 0.0 , -   , 25 , 240.6 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 18.0 , -   , -   , 3 , 49.6 , 0.1 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , 3 , 14 , 11 , 22.6 , 0.5 , -   , 44 , 69.2 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 38.0 , -   , -   , 4 , 86.6 , 0.0 , -   
,STEC,054, -   , 6 , -   , 1 , 5 , -   , 6 , 3 , 21 , 25 , 16 , 198 , 184 , 149.8 , 1.2 , -   , 516 , 480.0 , 1.1 , -   
,Salmonellosis,030, 2 , 111 , 22 , 211 , 33 , 10 , 55 , 57 , 501 , 612 , 361 ," 4,476 "," 3,837 "," 5,587.4 ", 0.7 , -   ," 10,471 "," 15,920.4 ", 0.7 , -   
,Shigellosis,031, -   , 2 , 7 , 1 , 4 , -   , 1 , 2 , 17 , 26 , 48 , 153 , 135 , 636.8 , 0.2 , -   , 714 ," 2,119.6 ", 0.3 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 6 , 4 , 4 , 66.0 , 0.1 , -   , 22 , 154.4 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 67 , 3 , 46 , 13 , -   , 4 , 22 , 155 , 165 ," 2,306 "," 1,082 ", 871 ," 1,271.6 ", 0.7 , -   ," 23,264 "," 1,288.4 ", 18.1 ," 16,213.7 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 1.4 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 52 , 901 , 45 , 730 , 173 , 41 , 25 , 390 ," 2,357 "," 2,943 "," 2,655 "," 21,822 "," 20,007 "," 27,409.4 ", 0.7 , -   ," 83,531 "," 100,206.8 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 10 , 316 , 41 , 172 , 57 , 7 , 64 , 99 , 766 , 981 ," 1,087 "," 7,379 "," 6,693 "," 7,945.0 ", 0.8 , -   ," 26,930 "," 28,247.4 ", 1.0 , -   
,Syphilis < 2 years,066, 1 , 38 , 9 , 18 , 6 , -   , 54 , 34 , 160 , 198 , 153 ," 1,390 "," 1,264 "," 1,193.0 ", 1.1 , -   ," 5,111 "," 4,484.4 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 4 , -   , 4 , -   , -   , 30 , 6 , 44 , 57 , 76 , 432 , 395 , 562.2 , 0.7 , -   ," 1,795 "," 2,194.4 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 6 , 6 , 1.2 , 5.0 , 2.2 , 19 , 7.0 , 2.7 , 7.1 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2.4 , 0.4 , -   , 7 , 8.0 , 0.9 , -   
,Haemophilus influenzae type b,012, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 3 , -   , 7 , 6 , 4.0 , 1.5 , -   , 22 , 19.0 , 1.2 , -   
,Influenza (laboratory confirmed),062, -   , 2 , -   , 17 , 3 , 1 , 5 , 1 , 29 , 25 , 298 , 214 , 190 ," 14,339.0 ", 0.0 , -   ," 1,552 "," 166,279.6 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 46.6 , -   , -   , -   , 127.8 , -   , -   
,Mumps,043, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , 4 , 10 , 8 , 173.0 , 0.0 , -   , 60 , 623.4 , 0.1 , -   
,Pertussis,024, -   , 2 , -   , 3 , -   , -   , 7 , -   , 12 , 20 , 171 , 154 , 138 ," 3,390.0 ", 0.0 , -   ," 1,252 "," 15,596.4 ", 0.1 , -   
,Pneumococcal disease (invasive),065, 1 , 14 , 3 , 8 , 4 , -   , 13 , 2 , 45 , 47 , 41 , 276 , 240 , 259.4 , 0.9 , -   ," 1,046 "," 1,901.0 ", 0.6 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 13 , -   , 14 , 10 , 1 , NN , 5 , 48 , 50 , 30 , 307 , 258 , 690.2 , 0.4 , -   ," 1,085 "," 4,746.6 ", 0.2 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 5.2 , 0.2 , -   , 3 , 14.0 , 0.2 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 3 , 3 , 1.6 , 1.9 , -   , 8 , 3.8 , 2.1 , 1.6 
,Varicella zoster (chickenpox),073, 12 , NN , 3 , 1 , 8 , 1 , 15 , 22 , 62 , 65 , 72 , 419 , 369 , 754.4 , 0.5 , -   ," 2,254 "," 3,611.4 ", 0.6 , -   
,Varicella zoster (shingles),074, 12 , NN , 13 , 4 , 63 , 8 , 40 , 98 , 238 , 312 , 507 ," 2,316 "," 2,066 "," 3,031.6 ", 0.7 , -   ," 12,671 "," 11,076.6 ", 1.1 , -   
,Varicella zoster (unspecified),075, 4 , NN , 2 , 338 , 53 , 31 , 4 , 85 , 517 , 542 , 373 ," 4,870 "," 4,308 "," 3,465.4 ", 1.2 , -   ," 15,439 "," 14,215.2 ", 1.1 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 5 , -   , 13 , -   , -   , -   , -   , 18 , 25 , 30 , 136 , 128 , 116.2 , 1.1 , -   , 717 , 377.0 , 1.9 , 172.8 
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 2 , 19.2 , 0.1 , -   , 4 , 87.2 , 0.0 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18 , 1 , 1 , 410.4 , 0.0 , -   , 15 ," 1,396.6 ", 0.0 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 11.0 , 0.2 , -   , 12 , 33.0 , 0.4 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.2 , -   , -   
,Malaria,020, -   , -   , -   , 1 , 1 , -   , -   , 1 , 3 , 1 , 7 , 12 , 12 , 99.0 , 0.1 , -   , 62 , 347.4 , 0.2 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.4 , -   , -   
,Ross River virus infection,002, -   , 43 , 4 , 29 , 1 , 1 , 28 , 13 , 119 , 157 , 429 ," 1,599 "," 1,415 "," 1,632.0 ", 0.9 , -   ," 6,772 "," 4,316.6 ", 1.6 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.6 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 3 , 5.2 , 0.6 , -   , 15 , 19.6 , 0.8 , -   
,Leptospirosis,017, -   , 1 , -   , 7 , -   , -   , -   , -   , 8 , 15 , 2 , 81 , 77 , 38.4 , 2.0 , 16.6 , 147 , 115.4 , 1.3 , -   
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Ornithosis,023, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 6 , 4 , 4.0 , 1.0 , -   , 63 , 18.8 , 3.4 , 30.2 
,Q fever,027, -   , 2 , -   , 9 , 2 , -   , -   , -   , 13 , 22 , 8 , 144 , 138 , 143.8 , 1.0 , -   , 470 , 542.4 , 0.9 , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , 2 , -   ,  , 2.0 
Other bacterial infections,Legionellosis,015, -   , 6 , -   , 3 , 2 , 1 , 9 , 1 , 22 , 26 , 20 , 177 , 163 , 110.0 , 1.5 , 3.3 , 549 , 412.6 , 1.3 , 37.0 
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 1.6 , 0.6 , -   , 7 , 11.6 , 0.6 , -   
,Meningococcal disease (invasive),022, -   , -   , -   , -   , 1 , -   , 1 , -   , 2 , 5 , 5 , 19 , 18 , 43.4 , 0.4 , -   , 76 , 261.2 , 0.3 , -   
,Tuberculosis,034, -   , 23 , 1 , 5 , -   , -   , 15 , 8 , 52 , 49 , 52 , 364 , 324 , 343.0 , 0.9 , -   ," 1,576 "," 1,421.8 ", 1.1 , -   
,,, 129 ," 2,140 ", 178 ," 2,091 ", 537 , 135 , 477 , 992 ," 6,683 "," 8,144 "," 9,959 "," 62,664 "," 56,322 ",,,," 244,736 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified",,,,,,,,,,,,,,,,,,,,,,
