ADT FN01/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,04/01/2021,21/12/2020,04/01/2020,01/01/2021,20/10/2020,,,,18/01/2020,#REF!,,
,,,,,,,,,,,17/01/2021,03/01/2021,17/01/2020,17/01/2021,17/01/2021,,,,17/01/2021,#REF!,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 4 , 3 , 2 , 28 , 36.4 , 0.8 , -   , 119 , 152.6 , 0.8 , -   
,Hepatitis B (unspecified),052, -   , 70 , -   , 17 , 3 , 2 , 35 , 15 , 142 , 94 , 212 , 143 ," 1,078 "," 1,318.2 ", 0.8 , -   ," 4,902 "," 5,992.0 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 16 , -   , -   , -   , 3 , 19 , 15 , 25 , 20 , 136 , 186.8 , 0.7 , -   , 663 , 722.6 , 0.9 , -   
,Hepatitis C (unspecified),053, 2 , 85 , 2 , 56 , 1 , 7 , 54 , 38 , 245 , 150 , 286 , 250 ," 1,694 "," 2,282.8 ", 0.7 , -   ," 7,325 "," 9,809.6 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 1 , 4 , 2 , 14 , 16.8 , 0.8 , -   , 67 , 67.4 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 0.2 , 5.0 , -   , 1 , 1.4 , 0.7 , -   
,Campylobacteriosis,005, 55 , 450 , 11 , 422 , 147 , 53 , 449 , 166 ," 1,753 "," 1,114 "," 1,732 "," 1,879 "," 9,658 "," 8,610.8 ", 1.1 , -   ," 31,429 "," 28,982.6 ", 1.1 , -   
,Cryptosporidiosis,061, 1 , 37 , 9 , 24 , 2 , 1 , 10 , 4 , 88 , 43 , 169 , 97 , 347 , 836.0 , 0.4 , -   ," 2,371 "," 4,002.8 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4.2 , 0.2 , -   , 13 , 16.4 , 0.8 , -   
,Hepatitis A,038, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , 11 , 1 , 1 , 58.4 , 0.0 , -   , 80 , 245.8 , 0.3 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 11.0 , 0.1 , -   , 34 , 45.4 , 0.7 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 5 , 4 , 3 , 16 , 17.0 , 0.9 , -   , 42 , 71.0 , 0.6 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , 21.4 , -   , -   , 39 , 84.2 , 0.5 , -   
,STEC,054, -   , 7 , -   , 2 , 7 , -   , 5 , 3 , 24 , 19 , 38 , 26 , 148 , 145.4 , 1.0 , -   , 553 , 443.8 , 1.2 , -   
,Salmonellosis,030, 12 , 266 , 22 , 354 , 34 , 23 , 110 , 65 , 886 , 503 , 746 , 969 ," 2,884 "," 3,921.8 ", 0.7 , -   ," 12,088 "," 16,064.6 ", 0.8 , -   
,Shigellosis,031, -   , 4 , 2 , 7 , 1 , -   , 6 , 7 , 27 , 14 , 177 , 28 , 171 , 536.6 , 0.3 , -   ," 1,491 "," 2,001.4 ", 0.7 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 7 , 30.0 , 0.2 , -   , 91 , 148.8 , 0.6 , -   
