ADT FN14/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,05/07/2021,21/06/2021,05/07/2020,01/01/2021,20/04/2021,,,,19/07/2020,19/07/2015,,
,,,,,,,,,,,18/07/2021,04/07/2021,18/07/2020,18/07/2021,18/07/2021,,,,18/07/2021,18/07/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , 3 , -   , 5 , 4 , 7 , 55 , 30 , 38.6 , 0.8 , -   , 100 , 150.8 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 38 , -   , 27 , 1 , 2 , 46 , 15 , 132 , 147 , 194 ," 2,560 "," 1,137 "," 1,453.8 ", 0.8 , -   ," 4,768 "," 5,866.0 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 25 , 300 , 83 , 162.4 , 0.5 , -   , 587 , 714.4 , 0.8 , -   
,Hepatitis C (unspecified),053, 7 , 79 , 4 , 78 , 1 , 12 , 52 , 24 , 257 , 300 , 256 ," 4,064 "," 1,911 "," 2,374.2 ", 0.8 , -   ," 7,412 "," 9,636.0 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 3 , 1 , 44 , 20 , 16.2 , 1.2 , -   , 85 , 67.4 , 1.3 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 2 , 1 , 0.2 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 24 , 366 , 9 , 392 , 109 , 25 , 289 , 116 ," 1,330 "," 1,327 ", 999 ," 20,195 "," 8,384 "," 6,384.0 ", 1.3 , 247.9 ," 35,659 "," 30,016.6 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 10 , 6 , 40 , 2 , 1 , 9 , 1 , 69 , 62 , 36 ," 1,109 ", 517 , 795.0 , 0.7 , -   ," 1,624 "," 3,852.6 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 3.2 , -   , -   , 11 , 16.0 , 0.7 , -   
,Hepatitis A,038, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , -   , 11 , 7 , 43.8 , 0.2 , -   , 18 , 237.2 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 1 , 8 , 8 , 9.2 , 0.9 , -   , 11 , 48.2 , 0.2 , -   
,Listeriosis,018, -   , 3 , -   , -   , -   , -   , -   , -   , 3 , 2 , 2 , 24 , 9 , 11.8 , 0.8 , -   , 49 , 66.8 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , 12.0 , 0.1 , -   , 1 , 84.0 , 0.0 , -   
,STEC,054, -   , 3 , 1 , -   , 9 , -   , 4 , 4 , 21 , 7 , 10 , 332 , 123 , 101.4 , 1.2 , -   , 555 , 492.4 , 1.1 , -   
,Salmonellosis,030, 4 , 83 , 18 , 78 , 18 , 4 , 31 , 19 , 255 , 298 , 252 ," 6,960 "," 2,169 "," 3,225.2 ", 0.7 , -   ," 10,467 "," 15,571.0 ", 0.7 , -   
,Shigellosis,031, -   , 1 , 6 , 4 , 2 , -   , -   , 1 , 14 , 9 , 33 , 256 , 95 , 443.6 , 0.2 , -   , 600 ," 2,110.6 ", 0.3 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 6 , 1 , 23.0 , 0.0 , -   , 15 , 149.8 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   ," 1,082 ", 6 , 35 , 20 , -   , 85 , 12 ," 1,240 ", 463 ," 3,277 "," 3,822 "," 2,583 ", 991.6 , 2.6 , -   ," 20,610 "," 2,407.6 ", 8.6 ," 7,435.3 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.2 , -   , -   
