ADT FN25/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,06/12/2021,22/11/2021,06/12/2020,01/01/2021,21/09/2021,,,,20/12/2020,20/12/2015,,
,,,,,,,,,,,19/12/2021,05/12/2021,19/12/2020,19/12/2021,19/12/2021,,,,19/12/2021,19/12/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 1 , 7 , 79 , 8 , 35.2 , 0.2 , -   , 82 , 149.4 , 0.5 , -   
,Hepatitis B (unspecified),052, 3 , 93 , -   , 47 , 1 , 7 , 47 , 14 , 212 , 202 , 191 ," 4,766 "," 1,296 "," 1,369.4 ", 0.9 , -   ," 4,865 "," 5,728.2 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , 2 , -   , 34 , -   , -   , -   , 1 , 37 , 21 , 22 , 721 , 173 , 188.6 , 0.9 , -   , 737 , 696.6 , 1.1 , -   
,Hepatitis C (unspecified),053, 2 , 98 , 2 , 75 , 1 , 4 , 52 , 42 , 276 , 263 , 299 ," 6,745 "," 1,640 "," 2,289.2 ", 0.7 , -   ," 6,895 "," 9,404.4 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 4 , 5 , 86 , 22 , 20.8 , 1.1 , -   , 87 , 70.6 , 1.2 , - 
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 0.2 , -   , -   , 2 , 1.2 , 1.7 , -   
,Campylobacteriosis,005, 50 , 534 , 15 , 461 , 128 , 49 , 330 , 146 ," 1,713 "," 1,854 "," 1,546 "," 36,350 "," 10,472 "," 8,857.4 ", 1.2 , -   ," 37,367 "," 30,852.6 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 27 , 5 , 33 , 3 , -   , 13 , 9 , 90 , 75 , 53 ," 1,799 ", 401 , 578.2 , 0.7 , -   ," 1,833 "," 3,694.4 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 3 , 3.4 , 0.9 , -   , 8 , 15.2 , 0.5 , -   
,Hepatitis A,038, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 21 , 8 , 49.4 , 0.2 , -   , 21 , 228.6 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 7.0 , 0.1 , -   , 10 , 45.2 , 0.2 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 44 , 11 , 14.4 , 0.8 , -   , 48 , 64.8 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 15.0 , 0.1 , -   , 4 , 79.0 , 0.1 , -   
,Salmonellosis,030, 2 , 123 , 20 , 172 , 21 , 3 , 41 , 37 , 419 , 498 , 396 ," 10,570 "," 2,606 "," 3,094.8 ", 0.8 , -   ," 11,004 "," 15,150.0 ", 0.7 , -   
,Shigellosis,031, 1 , 3 , 6 , 2 , 2 , -   , 2 , 3 , 19 , 22 , 22 , 452 , 118 , 509.2 , 0.2 , -   , 465 ," 2,103.4 ", 0.2 , -   
,STEC,054, -   , 7 , -   , 2 , 18 , -   , 4 , 5 , 36 , 26 , 27 , 592 , 177 , 151.8 , 1.2 , -   , 610 , 521.0 , 1.2 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 1 , 13 , 4 , 24.8 , 0.2 , -   , 13 , 145.2 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 0.4 , 2.5 , -   , 1 , 1.2 , 0.8 , -   
,COVID-19,081, 127 ," 14,072 ", 67 , 127 , 433 , 10 ," 18,090 ", 4 ," 32,930 "," 19,423 ", 211 ," 223,730 "," 163,282 ", 258.6 , 631.4 ," 161,866.9 "," 223,993 "," 5,665.2 ", 39.5 ," 192,992.3 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 47 , 827 , 41 , 965 , 211 , 54 , 503 , 420 ," 3,068 "," 3,269 "," 3,548 "," 84,361 "," 19,988 "," 24,391.6 ", 0.8 , -   ," 86,366 "," 100,511.8 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 7 , 243 , 21 , 217 , 55 , 5 , 116 , 101 , 765 , 961 , 965 ," 26,045 "," 5,704 "," 7,146.4 ", 0.8 , -   ," 26,752 "," 29,666.4 ", 0.9 , -   
,Syphilis < 2 years,066, -   , 9 , 9 , 27 , 10 , -   , 29 , 37 , 121 , 188 , 210 ," 5,371 "," 1,207 "," 1,251.6 ", 1.0 , -   ," 5,479 "," 4,854.0 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 3 , -   , 4 , 1 , -   , 21 , 3 , 32 , 44 , 83 ," 1,726 ", 343 , 537.8 , 0.6 , -   ," 1,771 "," 2,151.6 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 15 , 2 , 1.8 , 1.1 , -   , 16 , 7.6 , 2.1 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 6 , 1 , 3.2 , 0.3 , -   , 6 , 8.6 , 0.7 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 18 , 5 , 4.6 , 1.1 , -   , 18 , 19.6 , 0.9 , -   
,Influenza (laboratory confirmed),062, -   , 18 , 5 , 10 , -   , -   , 8 , 2 , 43 , 30 , 26 , 728 , 184 ," 22,902.8 ", 0.0 , -   , 758 ," 147,378.6 ", 0.0 , -   
