ADT FN23/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,08/11/2021,25/10/2021,08/11/2020,01/01/2021,24/08/2021,,,,22/11/2020,22/11/2015,,
,,,,,,,,,,,21/11/2021,07/11/2021,21/11/2020,21/11/2021,21/11/2021,,,,21/11/2021,21/11/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 11 , 75 , 9 , 33.4 , 0.3 , -   , 87 , 149.2 , 0.6 , -   
,Hepatitis B (unspecified),052, 2 , 96 , -   , 48 , -   , 3 , 60 , 15 , 224 , 227 , 205 ," 4,338 "," 1,268 "," 1,386.6 ", 0.9 , -   ," 4,808 "," 5,739.2 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 10 , -   , -   , -   , -   , 10 , 21 , 19 , 648 , 157 , 179.6 , 0.9 , -   , 711 , 701.2 , 1.0 , -   
,Hepatitis C (unspecified),053, 5 , 98 , 1 , 68 , -   , 4 , 52 , 38 , 266 , 297 , 272 ," 6,230 "," 1,626 "," 2,215.6 ", 0.7 , -   ," 7,029 "," 9,452.2 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , 1 , -   , 2 , 1 , 5 , 3 , -   , 80 , 21 , 18.8 , 1.1 , -   , 88 , 70.4 , 1.3 ,
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   ,  , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 38 , 482 , 7 , 418 , 166 , 46 , 508 , 150 ," 1,815 "," 1,647 "," 1,645 "," 32,550 "," 9,003 "," 8,063.4 ", 1.1 , -   ," 36,731 "," 30,654.0 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 13 , -   , 27 , 1 , 2 , 23 , 4 , 70 , 57 , 50 ," 1,625 ", 329 , 473.0 , 0.7 , -   ," 1,761 "," 3,772.0 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 8 , 4 , 2.8 , 1.4 , 0.3 , 8 , 15.4 , 0.5 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 19 , 10 , 42.6 , 0.2 , -   , 19 , 231.2 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 8.0 , 0.1 , -   , 10 , 46.0 , 0.2 , -   
,Listeriosis,018, -   , 2 , -   , 1 , -   , -   , -   , 1 , 4 , 1 , 4 , 43 , 14 , 15.4 , 0.9 , -   , 50 , 65.6 , 0.8 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 12.4 , -   , -   , 3 , 79.8 , 0.0 , -   
,Salmonellosis,030, 2 , 148 , 25 , 192 , 40 , 6 , 98 , 27 , 538 , 396 , 309 ," 9,639 "," 2,144 "," 2,689.4 ", 0.8 , -   ," 10,803 "," 15,228.8 ", 0.7 , -   
,Shigellosis,031, -   , 3 , 9 , 3 , 3 , -   , 1 , -   , 19 , 13 , 40 , 410 , 105 , 476.8 , 0.2 , -   , 476 ," 2,103.2 ", 0.2 , -   
,STEC,054, -   , 8 , 2 , 1 , 11 , 1 , 3 , 3 , 29 , 34 , 21 , 527 , 155 , 128.8 , 1.2 , -   , 592 , 515.0 , 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 12 , 4 , 25.2 , 0.2 , -   , 17 , 144.6 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.4 , 2.5 , -   , 1 , 1.2 , 0.8 , -   
,COVID-19,081, 147 ," 2,996 ", 36 , 14 , 4 , -   ," 14,856 ", 7 ," 18,060 "," 21,417 ", 160 ," 171,386 "," 153,695 ", 599.8 , 256.2 ," 150,412.8 "," 172,017 "," 5,588.2 ", 30.8 ," 141,437.6 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
