ADT FN08/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,11/04/2022,28/03/2022,11/04/2021,01/01/2022,18/01/2022,,,,18/04/2021,18/04/2016,,
,,,,,,,,,,,17/04/2022,03/04/2022,17/04/2021,17/04/2022,17/04/2022,,,,17/04/2022,17/04/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 12 , 10 , 31.2 , 0.3 , -   , 76 , 143.4 , 0.5 , -   
,Hepatitis B (unspecified),052, -   , 43 , -   , 25 , 1 , 1 , 33 , 12 , 115 , 104 , 100 ," 1,424 "," 1,251 "," 1,416.2 ", 0.9 , -   ," 4,941 "," 5,623.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 16 , 21 , 139 , 119 , 173.0 , 0.7 , -   , 661 , 692.6 , 1.0 , -   
,Hepatitis C (unspecified),053, 3 , 37 , 2 , 16 , -   , -   , 32 , 7 , 97 , 110 , 118 ," 1,653 "," 1,474 "," 2,220.2 ", 0.7 , -   ," 6,465 "," 9,109.4 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , 1 , 20 , 18 , 15.6 , 1.2 , -   , 83 , 72.0 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.6 , 1.7 , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 5 , 150 , 4 , 122 , 58 , 16 , 157 , 65 , 577 , 593 , 773 ," 10,308 "," 8,759 "," 8,217.4 ", 1.1 , -   ," 36,420 "," 31,847.2 ", 1.1 , -   
,Cryptosporidiosis,061, -   , 18 , -   , 11 , 4 , 4 , 12 , 6 , 55 , 54 , 26 , 587 , 493 ," 1,269.4 ", 0.4 , -   ," 1,866 "," 3,254.8 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 4.2 , 0.2 , -   , 5 , 15.0 , 0.3 , -   
,Hepatitis A,038, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 6 , -   , 27 , 26 , 73.8 , 0.4 , -   , 47 , 215.4 , 0.2 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 7 , 7 , 15.0 , 0.5 , -   , 16 , 41.2 , 0.4 , -   
,Listeriosis,018, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 1 , -   , 26 , 24 , 19.0 , 1.3 , -   , 57 , 61.6 , 0.9 , -   
,Paratyphoid,080, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , -   , 12 , 11 , 30.4 , 0.4 , -   , 16 , 70.2 , 0.2 , -   
,Salmonellosis,030, 4 , 65 , 7 , 76 , 14 , 5 , 26 , 20 , 217 , 255 , 267 ," 3,905 "," 3,420 "," 4,914.8 ", 0.7 , -   ," 10,084 "," 14,553.4 ", 0.7 , -   
,Shigellosis,031, -   , 4 , 1 , 2 , 4 , 1 , 6 , 1 , 19 , 19 , 6 , 234 , 203 , 571.2 , 0.4 , -   , 543 ," 2,043.6 ", 0.3 , -   
,STEC,054, -   , 3 , -   , -   , 5 , 1 , 2 , 5 , 16 , 16 , 7 , 233 , 207 , 170.6 , 1.2 , -   , 656 , 553.6 , 1.2 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , 1 , 42 , 40 , 59.4 , 0.7 , -   , 51 , 136.8 , 0.4 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.4 , 2.5 , -   , 2 , 1.0 , 2.0 , -   
,COVID-19,081," 3,378 "," 100,389 "," 2,584 "," 16,853 "," 35,637 "," 2,199 "," 22,830 "," 19,421 ","203291"," 266,307 ", 113 ," 3,336,724 "," 2,403,540 "," 1,517.4 "," 1,584.0 "," 2,396,163.6 "," 3,703,440 "," 5,969.0 ", 620.4 ," 3,677,478.0 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 18 , 521 , 21 , 446 , 85 , 20 , 356 , 199 ," 1,666 "," 1,809 "," 1,789 "," 25,378 "," 22,686 "," 26,364.6 ", 0.9 , -   ," 85,868 "," 99,729.6 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 1 , 197 , 21 , 121 , 27 , 6 , 79 , 53 , 505 , 621 , 617 ," 8,854 "," 7,842 "," 8,188.4 ", 1.0 , -   ," 27,116 "," 30,035.6 ", 0.9 , -   
,Syphilis < 2 years,066, -   , 17 , 3 , 24 , 2 , -   , 28 , 15 , 89 , 105 , 131 ," 1,441 "," 1,269 "," 1,306.8 ", 1.0 , -   ," 5,472 "," 4,995.6 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , -   , 1 , 4 , 1 , -   , 20 , 4 , 30 , 35 , 46 , 514 , 460 , 561.6 , 0.8 , -   ," 1,839 "," 2,167.0 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 2.2 , 2.3 , 0.2 , 16 , 8.8 , 1.8 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 4 , -   , 13 , 13 , 2.0 , 6.5 , 8.2 , 18 , 8.6 , 2.1 , 6.1 
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 4.2 , 0.2 , -   , 13 , 19.8 , 0.7 , -   
,Influenza (laboratory confirmed),062, 8 , 355 , 8 , 60 , 34 , 2 , 164 , -   , "631" , "243" , 22 ," 1,654 "," 1,625 "," 13,513.2 ", 0.1 , -   ," 2,175 "," 146,033.6 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37.0 , -   , -   , -   , 110.8 , -   , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 5 , 4 , 106.4 , 0.0 , -   , 15 , 445.6 , 0.0 , -   
,Pertussis,024, -   , -   , -   , 3 , -   , -   , 7 , -   , 10 , 9 , 8 , 149 , 130 ," 2,154.2 ", 0.1 , -   , 548 ," 10,878.8 ", 0.1 , -   
,Pneumococcal disease (invasive),065, -   , 8 , 1 , 7 , 3 , -   , 4 , 2 , 25 , 20 , 25 , 259 , 206 , 266.2 , 0.8 , -   ," 1,303 "," 1,812.6 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 2 , -   , 9 , 7 , -   , 2 , 6 , 26 , 33 , 19 , 659 , 474 , 564.4 , 0.8 , -   ," 2,868 "," 4,104.2 ", 0.7 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.8 , -   , -   , 2 , 11.2 , 0.2 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.2 , -   , -   , 2 , 4.4 , 0.5 , -   
,Varicella zoster (chickenpox),073, -   , NN , -   , -   , 4 , 1 , 5 , 7 , 17 , 23 , 37 , 341 , 280 , 736.4 , 0.4 , -   ," 1,754 "," 3,638.2 ", 0.5 , -   
,Varicella zoster (shingles),074, 8 , NN , 5 , 3 , 23 , 5 , 17 , 64 , 125 , 165 , 215 ," 2,457 "," 2,082 "," 3,359.0 ", 0.6 , -   ," 9,458 "," 12,926.8 ", 0.7 , -   
