ADT FN09/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,18/04/2022,04/04/2022,18/04/2021,01/01/2022,01/02/2022,,,,02/05/2021,02/05/2016,,
,,,,,,,,,,,01/05/2022,17/04/2022,01/05/2021,01/05/2022,01/05/2022,,,,01/05/2022,01/05/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 3 , 15 , 12 , 33.0 , 0.4 , -   , 77 , 142.6 , 0.5 , -   
,Hepatitis B (unspecified),052, 3 , 61 , -   , 37 , 1 , 1 , 46 , 13 , 162 , 211 , 177 ," 1,610 "," 1,259 "," 1,412.6 ", 0.9 , -   ," 4,948 "," 5,612.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 13 , -   , -   , 1 , 3 , 17 , 17 , 35 , 156 , 123 , 170.0 , 0.7 , -   , 650 , 697.2 , 0.9 , -   
,Hepatitis C (unspecified),053, 1 , 77 , -   , 53 , -   , 6 , 36 , 16 , 189 , 228 , 274 ," 1,848 "," 1,474 "," 2,332.0 ", 0.6 , -   ," 6,386 "," 9,077.6 ", 0.7 , -   
,Hepatitis D,050, -   , 3 , -   , 1 , 1 , -   , -   , -   , 5 , 3 , 3 , 25 , 20 , 15.0 , 1.3 , -   , 85 , 71.8 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.2 , 5.0 , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 24 , 307 , 13 , 259 , 84 , 31 , 165 , 114 , 997 ," 1,243 "," 1,430 "," 11,325 "," 8,375 "," 7,909.0 ", 1.1 , -   ," 36,631 "," 32,192.6 ", 1.1 , -   
