ADT FN17/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,08/08/2022,25/07/2022,08/08/2021,01/01/2022,24/05/2022,,,,22/08/2021,22/08/2016,,
,,,,,,,,,,,21/08/2022,07/08/2022,21/08/2021,21/08/2022,21/08/2022,,,,21/08/2022,21/08/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , -   , 4 , 27 , 11 , 35.2 , 0.3 , -   , 48 , 139.8 , 0.3 , -   
,Hepatitis B (unspecified),052, 6 , 99 , -   , 51 , -   , 2 , 45 , 18 , 221 , 241 , 167 ," 3,486 "," 1,432 "," 1,323.8 ", 1.1 , -   ," 5,203 "," 5,447.2 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 11 , -   , -   , -   , -   , 12 , 24 , 33 , 323 , 124 , 170.0 , 0.7 , -   , 585 , 699.4 , 0.8 , -   
,Hepatitis C (unspecified),053, 3 , 97 , -   , 73 , 2 , 4 , 61 , 42 , 282 , 287 , 251 ," 3,917 "," 1,634 "," 2,035.0 ", 0.8 , -   ," 6,202 "," 8,809.6 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 3 , 3 , 40 , 10 , 20.0 , 0.5 , -   , 68 , 73.8 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 4 , 2 , 0.4 , 5.0 , 0.5 , 6 , 1.4 , 4.3 , 1.9 
,Campylobacteriosis,005, 37 , 476 , 6 , 401 , 130 , 36 , 364 , 165 ," 1,615 "," 1,580 "," 1,283 "," 23,170 "," 9,500 "," 7,364.8 ", 1.3 , 235.6 ," 37,797 "," 32,947.4 ", 1.1 , -   
