ADT FN04/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by,
,,,,,,,,,,,14/02/2022,31/01/2022,14/02/2021,01/01/2022,30/11/2021,,,,28/02/2021,28/02/2016,,,
,,,,,,,,,,,27/02/2022,13/02/2022,27/02/2021,27/02/2022,27/02/2022,,,,27/02/2022,27/02/2021,,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , 4 , 5 , 11 , 34.8 , 0.3 , -   , 75 , 147.0 , 0.5 , -   ,
,Hepatitis B (unspecified),052, 2 , 63 , -   , 55 , -   , 3 , 64 , 15 , 202 , 186 , 172 , 722 ," 1,186 "," 1,271.4 ", 0.9 , -   ," 4,965 "," 5,651.2 ", 0.9 , -   ,
,Hepatitis C (newly acquired),040, -   , -   , -   , 9 , -   , -   , -   , -   , 9 , 25 , 27 , 62 , 120 , 168.8 , 0.7 , -   , 691 , 691.4 , 1.0 , -   ,
,Hepatitis C (unspecified),053, 2 , 80 , 4 , 86 , 1 , 4 , 57 , 35 , 269 , 192 , 269 , 824 ," 1,375 "," 2,107.2 ", 0.7 , -   ," 6,615 "," 9,269.8 ", 0.7 , -   ,
,Hepatitis D,050, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 5 , 7 , 11 , 16 , 17.2 , 0.9 , -   , 84 , 72.2 , 1.2 , -   ,
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 1.0 , 3.0 , -   , 4 , 1.2 , 3.3 , 1.1 ,
,Campylobacteriosis,005, 36 , 496 , 9 , 372 , 103 , 33 , 383 , 103 ," 1,535 "," 1,427 "," 1,605 "," 5,772 "," 9,527 "," 9,402.8 ", 1.0 , -   ," 36,809 "," 31,432.6 ", 1.2 , -   ,
