ADT FN05/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,28/02/2022,14/02/2022,28/02/2021,01/01/2022,14/12/2021,,,,14/03/2021,14/03/2016,,
,,,,,,,,,,,13/03/2022,27/02/2022,13/03/2021,13/03/2022,13/03/2022,,,,13/03/2022,13/03/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 5 , 6 , 7 , 34.2 , 0.2 , -   , 71 , 146.2 , 0.5 , -   
,Hepatitis B (unspecified),052, 6 , 88 , -   , 43 , 1 , -   , 49 , 9 , 196 , 201 , 304 , 910 ," 1,141 "," 1,294.8 ", 0.9 , -   ," 4,843 "," 5,663.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 7 , 1 , -   , -   , 3 , 11 , 14 , 36 , 80 , 96 , 166.6 , 0.6 , -   , 673 , 691.4 , 1.0 , -   
,Hepatitis C (unspecified),053, 5 , 87 , 2 , 64 , 1 , 3 , 57 , 37 , 256 , 267 , 366 ," 1,071 "," 1,312 "," 2,111.6 ", 0.6 , -   ," 6,494 "," 9,233.2 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 , 4 , 12 , 15 , 16.4 , 0.9 , -   , 80 , 71.8 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 2 , 3 , 1.0 , 3.0 , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 27 , 402 , 18 , 385 , 102 , 26 , 225 , 76 ," 1,261 "," 1,541 "," 1,517 "," 7,039 "," 8,929 "," 9,198.2 ", 1.0 , -   ," 36,564 "," 31,549.6 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 10 , 1 , 17 , 2 , -   , 10 , 18 , 58 , 65 , 68 , 346 , 442 ," 1,122.8 ", 0.4 , -   ," 1,751 "," 3,431.0 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 3.8 , -   , -   , 5 , 15.0 , 0.3 , -   
,Hepatitis A,038, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , 2 , 1 , 9 , 10 , 65.6 , 0.2 , -   , 29 , 219.0 , 0.1 , -   
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 5 , 5 , 11.4 , 0.4 , -   , 14 , 41.2 , 0.3 , -   
,Listeriosis,018, -   , -   , -   , 1 , -   , -   , 1 , 1 , 3 , 3 , 2 , 16 , 17 , 21.2 , 0.8 , -   , 51 , 63.6 , 0.8 , -   
,Paratyphoid,080, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , 2 , -   , 5 , 5 , 28.6 , 0.2 , -   , 9 , 72.0 , 0.1 , -   
,Salmonellosis,030, 7 , 187 , 7 , 275 , 36 , 10 , 59 , 32 , 613 , 550 , 622 ," 2,558 "," 3,077 "," 4,924.6 ", 0.6 , -   ," 10,118 "," 14,741.8 ", 0.7 , -   
