ADT FN02/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,17/01/2022,03/01/2022,17/01/2021,01/01/2022,02/11/2021,,,,31/01/2021,31/01/2016,,
,,,,,,,,,,,30/01/2022,16/01/2022,30/01/2021,30/01/2022,30/01/2022,,,,30/01/2022,30/01/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 8 , 2 , 10 , 35.4 , 0.3 , -   , 75 , 149.8 , 0.5 , -   
,Hepatitis B (unspecified),052, 3 , 52 , -   , 31 , -   , -   , 23 , 22 , 131 , 138 , 158 , 273 ," 1,181 "," 1,219.0 ", 1.0 , -   ," 4,868 "," 5,685.8 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 8 , -   , -   , -   , 2 , 10 , 17 , 33 , 27 , 138 , 173.8 , 0.8 , -   , 714 , 692.2 , 1.0 , -   
,Hepatitis C (unspecified),053, 1 , 58 , -   , 53 , 1 , 3 , 48 , 31 , 195 , 150 , 291 , 348 ," 1,431 "," 2,097.0 ", 0.7 , -   ," 6,705 "," 9,337.4 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 2 , 18 , 17.4 , 1.0 , -   , 86 , 70.8 , 1.2 , 3.2 
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , 0.8 , 3.8 , 0.5 , 5 , 1.0 , 5.0 , 2.6 
,Campylobacteriosis,005, 25 , 356 , 17 , 376 , 105 , 48 , 188 , 157 ," 1,272 "," 1,280 "," 1,545 "," 2,649 "," 10,266 "," 9,435.4 ", 1.1 , -   ," 36,941 "," 31,207.6 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 15 , 3 , 27 , 2 , 1 , 7 , 5 , 60 , 79 , 82 , 143 , 468 , 744.0 , 0.6 , -   ," 1,826 "," 3,618.6 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 4.0 , 0.3 , -   , 7 , 14.8 , 0.5 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 4 , 53.8 , 0.1 , -   , 21 , 223.4 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , -   , -   , 3 , 3 , 8.0 , 0.4 , -   , 12 , 43.8 , 0.3 , -   
