ADT FN03/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,31/01/2022,17/01/2022,31/01/2021,01/01/2022,16/11/2021,,,,14/02/2021,14/02/2016,,
,,,,,,,,,,,13/02/2022,30/01/2022,13/02/2021,13/02/2022,13/02/2022,,,,13/02/2022,13/02/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 3 , 12 , 35.6 , 0.3 , -   , 77 , 148.6 , 0.5 , -   
,Hepatitis B (unspecified),052, 3 , 54 , -   , 27 , -   , 2 , 52 , 22 , 160 , 170 , 186 , 479 ," 1,140 "," 1,239.2 ", 0.9 , -   ," 4,898 "," 5,674.8 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 20 , -   , -   , -   , -   , 20 , 9 , 34 , 47 , 126 , 174.0 , 0.7 , -   , 702 , 693.2 , 1.0 , -   
,Hepatitis C (unspecified),053, 2 , 69 , 4 , 36 , 1 , 5 , 35 , 30 , 182 , 205 , 307 , 540 ," 1,344 "," 2,109.4 ", 0.6 , -   ," 6,596 "," 9,305.8 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , 1 , 1 , 3 , 2 , 4 , 7 , 16 , 17.0 , 0.9 , -   , 87 , 71.4 , 1.2 , 3.7 
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 1.0 , 3.0 , -   , 4 , 1.2 , 3.3 , 1.1 
,Campylobacteriosis,005, 38 , 483 , 8 , 203 , 114 , 42 , 379 , 126 ," 1,393 "," 1,408 "," 1,659 "," 4,185 "," 9,890 "," 9,506.6 ", 1.0 , -   ," 36,820 "," 31,324.6 ", 1.2 , -   
,Cryptosporidiosis,061, 2 , 15 , 5 , 22 , 5 , -   , 8 , 19 , 76 , 61 , 81 , 221 , 477 , 863.6 , 0.6 , -   ," 1,823 "," 3,545.0 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3.6 , 0.3 , -   , 7 , 14.6 , 0.5 , -   
,Hepatitis A,038, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 3 , 6 , 60.4 , 0.1 , -   , 24 , 222.4 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , 8.6 , 0.3 , -   , 12 , 42.8 , 0.3 , -   
,Listeriosis,018, -   , -   , -   , 1 , -   , -   , 2 , -   , 3 , 4 , 2 , 9 , 13 , 18.8 , 0.7 , -   , 47 , 64.8 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 21.4 , 0.0 , -   , 5 , 73.8 , 0.1 , -   
,Salmonellosis,030, 6 , 177 , 15 , 110 , 30 , 16 , 67 , 35 , 456 , 489 , 588 ," 1,369 "," 2,856 "," 4,362.2 ", 0.7 , -   ," 10,102 "," 14,953.0 ", 0.7 , -   
,Shigellosis,031, 1 , 8 , 2 , 1 , 4 , -   , 2 , 2 , 20 , 26 , 23 , 75 , 143 , 578.2 , 0.2 , -   , 474 ," 2,072.8 ", 0.2 , -   
,STEC,054, -   , 7 , -   , 2 , 12 , 2 , 5 , 11 , 39 , 20 , 23 , 84 , 188 , 173.0 , 1.1 , -   , 629 , 536.2 , 1.2 , -   
,Typhoid Fever,035, -   , 1 , -   , -   , 1 , -   , 2 , 1 , 5 , 2 , 1 , 9 , 11 , 37.2 , 0.3 , -   , 22 , 140.2 , 0.2 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 0.2 , 5.0 , -   , 1 , 1.0 , 1.0 , -   
,COVID-19,081," 3,418 "," 132,053 "," 15,881 "," 48,954 "," 15,711 "," 2,129 "," 51,975 ", 642 ,"270766"," 489,240 ", 101 ," 1,644,880 "," 1,833,265 ", 247.6 ," 7,404.1 "," 1,831,926.8 "," 1,995,845 "," 5,814.8 ", 343.2 ," 1,964,042.4 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 59 , 875 , 21 , 540 , 226 , 45 , 760 , 465 ," 2,991 "," 2,758 "," 3,858 "," 7,873 "," 17,743 "," 24,287.6 ", 0.7 , -   ," 83,191 "," 100,415.4 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 15 , 303 , 16 , 235 , 57 , 6 , 220 , 106 , 958 ," 1,165 "," 1,194 "," 2,966 "," 6,052 "," 7,507.2 ", 0.8 , -   ," 26,364 "," 29,847.8 ", 0.9 , -   
,Syphilis < 2 years,066, -   , 39 , 3 , 24 , 8 , -   , 56 , 24 , 154 , 180 , 245 , 477 ," 1,079 "," 1,211.0 ", 0.9 , -   ," 5,433 "," 4,912.4 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, 1 , 4 , -   , -   , 3 , -   , 44 , 5 , 57 , 48 , 81 , 147 , 338 , 517.0 , 0.7 , -   ," 1,800 "," 2,158.2 ", 0.8 , -   
,Syphilis congenital ,047, -   , 1 , -   , -   , -   , -   , -   , 2 , 3 , 1 , 2 , 4 , 6 , 3.0 , 2.0 , -   , 17 , 8.4 , 2.0 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 3.6 , 0.3 , -   , 7 , 8.4 , 0.8 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 5.0 , 0.2 , -   , 16 , 19.4 , 0.8 , -   
,Influenza (laboratory confirmed),062, -   , 3 , -   , -   , 4 , -   , 2 , -   , "9" , "10" , 23 , 48 , 167 ," 10,533.6 ", 0.0 , -   , 722 ," 147,028.8 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 28.4 , -   , -   , -   , 117.4 , -   , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 2 , 91.8 , 0.0 , -   , 17 , 495.4 , 0.0 , -   
,Pertussis,024, -   , -   , -   , 2 , -   , -   , 16 , 2 , 20 , 17 , 30 , 55 , 114 ," 2,926.4 ", 0.0 , -   , 557 ," 11,576.4 ", 0.0 , -   
,Pneumococcal disease (invasive),065, -   , 5 , -   , 4 , 3 , -   , 13 , 2 , 27 , 26 , 24 , 102 , 230 , 315.0 , 0.7 , -   ," 1,368 "," 1,804.4 ", 0.8 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 15 , -   , 12 , 15 , 2 , 6 , 14 , 65 , 88 , 32 , 325 ," 1,067 ", 986.2 , 1.1 , -   ," 2,747 "," 4,161.8 ", 0.7 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.4 , -   , -   , 3 , 11.0 , 0.3 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.2 , -   , -   , 4 , 4.6 , 0.9 , -   
,Varicella zoster (chickenpox),073, 2 , NN , -   , 1 , 5 , 2 , 6 , 16 , 32 , 30 , 98 , 118 , 352 , 910.4 , 0.4 , -   ," 1,836 "," 3,642.6 ", 0.5 , -   
,Varicella zoster (shingles),074, 20 , NN , 14 , 5 , 89 , 12 , 58 , 100 , 298 , 314 , 605 , 915 ," 2,069 "," 3,352.6 ", 0.6 , -   ," 9,753 "," 12,660.0 ", 0.8 , -   
,Varicella zoster (unspecified),075, 1 , NN , 4 , 199 , 47 , 19 , 315 , 125 , 710 , 748 , 649 ," 2,195 "," 5,124 "," 3,400.6 ", 1.5 , 632.6 ," 20,830 "," 14,112.4 ", 1.5 ," 3,328.3 "
Vectorborne diseases,Barmah Forest virus infection,048, -   , 3 , -   , 7 , -   , -   , 1 , -   , 11 , 16 , 22 , 35 , 91 , 84.8 , 1.1 , -   , 371 , 415.2 , 0.9 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 3 , 20.4 , 0.1 , -   , 4 , 73.8 , 0.1 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 8 , 259.4 , 0.0 , -   , 12 ," 1,154.4 ", 0.0 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.0 , -   , -   , 2 , 29.4 , 0.1 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , 1 , 1.0 , 1.0 , -   
,Malaria,020, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 2 , 5 , 19 , 83.0 , 0.2 , -   , 57 , 317.8 , 0.2 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , 1 , 0.2 , 5.0 , -   
,Ross River virus infection,002, -   , 64 , 8 , 24 , 29 , -   , 114 , 66 , 305 , 223 , 323 , 658 , 840 ," 1,055.2 ", 0.8 , -   ," 3,034 "," 4,703.0 ", 0.6 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.2 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 2 , 3 , 5.4 , 0.6 , -   , 19 , 18.8 , 1.0 , -   
,Leptospirosis,017, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 2 , 13 , 8 , 15 , 28.4 , 0.5 , -   , 226 , 122.8 , 1.8 , 56.1 
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Ornithosis,023, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 1 , 1 , 8 , 7.8 , 1.0 , -   , 34 , 28.8 , 1.2 , -   
,Q fever,027, -   , 2 , -   , 9 , -   , -   , -   , -   , 11 , 6 , 14 , 30 , 85 , 131.8 , 0.6 , -   , 472 , 519.4 , 0.9 , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.4 , -   , -   
Other notifiable diseases,iGAS^,082, NN , NN , 1 , 6 , 4 , NN , NN , 6 , 17 , 15 , -   , 59 , 139 , 0.4 , 347.5 , - , 301 , - , - , - 
,Legionellosis,015, -   , 5 , -   , 3 , 3 , 1 , 3 , 1 , 16 , 20 , 31 , 65 , 167 , 124.8 , 1.3 , -   , 549 , 443.6 , 1.2 , -   
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2.0 , 0.5 , -   , 14 , 10.4 , 1.3 , -   
,Meningococcal disease (invasive),022, -   , 3 , -   , -   , 1 , -   , -   , -   , 4 , 2 , 3 , 9 , 22 , 49.2 , 0.4 , -   , 77 , 239.8 , 0.3 , -   
,RSV^,083, NN , NN , 2 , 16 , 1 , NN , NN , 142 , 161 , 190 , -   , 700 ," 1,463 ", -   , - , - ," 2,178 ", -   , - , - 
,Tuberculosis,034, 1 , 12 , 2 , 6 , -   , -   , 9 , 6 , 36 , 28 , 57 , 91 , 284 , 367.4 , 0.8 , -   ," 1,367 "," 1,482.4 ", 0.9 , -   
,,," 3,570 "," 134,190 "," 15,982 "," 50,453 "," 16,372 "," 2,283 "," 54,144 "," 1,823 "," 278,820 "," 497,316 "," 10,263 "," 1,668,021 "," 1,885,242 ",,,," 2,218,014 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified",,,,,,,,,,,,,,,,,,,,,,
"^ RSV and iGAS were listed as nationally notifiable diseases as of 1 July 2021. However, notification numbers presented here do not represent a national picture, as these conditions are not yet notifiable in all states and territories.",,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (15/02/2022). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,
"** Due to data transmission delays, this number is not indicative of all notifications for this time period.",,,,,,,,,,,,,,,,,,,,,,
