ADT FN16/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,25/07/2022,11/07/2022,25/07/2021,01/01/2022,10/05/2022,,,,08/08/2021,08/08/2016,,
,,,,,,,,,,,07/08/2022,24/07/2022,07/08/2021,07/08/2022,07/08/2022,,,,07/08/2022,07/08/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 24 , 10 , 36.0 , 0.3 , -   , 49 , 140.4 , 0.3 , -   
,Hepatitis B (unspecified),052, 7 , 100 , -   , 61 , 2 , 3 , 49 , 16 , 238 , 215 , 198 ," 3,260 "," 1,451 "," 1,355.8 ", 1.1 , -   ," 5,294 "," 5,481.8 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 23 , -   , -   , -   , -   , 24 , 20 , 21 , 311 , 128 , 168.0 , 0.8 , -   , 606 , 697.0 , 0.9 , -   
,Hepatitis C (unspecified),053, 7 , 124 , 3 , 69 , -   , 1 , 35 , 39 , 278 , 218 , 273 ," 3,623 "," 1,586 "," 2,062.8 ", 0.8 , -   ," 6,229 "," 8,848.6 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , 1 , -   , -   , 1 , 3 , -   , 3 , 39 , 13 , 20.2 , 0.6 , -   , 70 , 74.0 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 0.4 , 2.5 , -   , 5 , 1.4 , 3.6 , 0.9 
,Campylobacteriosis,005, 38 , 463 , 13 , 380 , 121 , 29 , 234 , 189 ," 1,467 "," 1,499 "," 1,305 "," 21,439 "," 9,178 "," 7,356.2 ", 1.2 , -   ," 37,349 "," 32,881.8 ", 1.1 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 3 , -   ,  , 3.0 , 5 , 1.0 , 5.0 , 2.0 
,Cryptosporidiosis,061, -   , 24 , 1 , 25 , 2 , 1 , 16 , 5 , 74 , 62 , 73 ," 1,224 ", 491 , 547.8 , 0.9 , -   ," 1,856 "," 3,076.2 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 1 , 3.4 , 0.3 , -   , 7 , 14.4 , 0.5 , -   
,Hepatitis A,038, -   , 2 , 1 , 1 , -   , -   , 1 , -   , 5 , 4 , -   , 69 , 35 , 36.0 , 1.0 , -   , 84 , 211.0 , 0.4 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 9 , 2 , 8.8 , 0.2 , -   , 9 , 41.2 , 0.2 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , 1 , 1 , 1 , 4 , 5 , 3 , 55 , 22 , 11.2 , 2.0 , 1.9 , 72 , 60.0 , 1.2 , -   
,Paratyphoid,080, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 4 , -   , 31 , 15 , 9.4 , 1.6 , -   , 32 , 66.6 , 0.5 , -   
,Salmonellosis,030, 2 , 97 , 12 , 60 , 14 , 1 , 59 , 15 , 260 , 264 , 222 ," 6,793 "," 2,010 "," 2,555.4 ", 0.8 , -   ," 10,424 "," 14,012.6 ", 0.7 , -   
,Shigellosis,031, 1 , 22 , 2 , 9 , 4 , -   , 16 , 9 , 63 , 40 , 15 , 619 , 337 , 407.8 , 0.8 , -   , 807 ," 1,983.8 ", 0.4 , -   
,"STEC""""",054, -   , 4 , -   , 1 , 9 , 1 , 12 , 8 , 35 , 18 , 21 , 496 , 223 , 107.2 , 2.1 , 77.0 , 761 , 568.8 , 1.3 , 65.2 
,Typhoid Fever,035, 1 , -   , -   , -   , -   , -   , 3 , 2 , 6 , 6 , 1 , 96 , 44 , 18.4 , 2.4 , -   , 102 , 132.2 , 0.8 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 10,251 "," 177,916 ", 579 ," 37,463 "," 39,603 "," 2,135 "," 103,750 "," 51,234 ","422931"," 505,623 "," 3,507 "," 7,879,943 "," 2,840,411 "," 3,990.2 ", 711.8 ," 2,824,458.9 "," 8,282,440 "," 7,516.4 "," 1,101.9 "," 8,254,071.0 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
