ADT FN14/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,27/06/2022,13/06/2022,27/06/2021,01/01/2022,12/04/2022,,,,11/07/2021,11/07/2016,,
,,,,,,,,,,,10/07/2022,26/06/2022,10/07/2021,10/07/2022,10/07/2022,,,,10/07/2022,10/07/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , 3 , 7 , 25 , 13 , 35.8 , 0.4 , -   , 56 , 140.0 , 0.4 , -   
,Hepatitis B (unspecified),052, 3 , 88 , -   , 47 , 1 , 2 , 35 , 23 , 199 , 203 , 133 ," 2,787 "," 1,394 "," 1,318.0 ", 1.1 , -   ," 5,184 "," 5,513.6 ", 0.9 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , 10 , 1 , -   , -   , 2 , 14 , 25 , 35 , 262 , 130 , 168.6 , 0.8 , -   , 614 , 697.6 , 0.9 , -   
,Hepatitis C (unspecified),053, 3 , 93 , 4 , 58 , 2 , 7 , 40 , 41 , 248 , 223 , 253 ," 3,104 "," 1,495 "," 2,176.8 ", 0.7 , -   ," 6,229 "," 8,911.0 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 3 , 36 , 17 , 18.6 , 0.9 , -   , 76 , 73.8 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 1 , 0.2 , 5.0 , -   , 5 , 1.4 , 3.6 , 1.3 
,Campylobacteriosis,005, 29 , 445 , 11 , 326 , 122 , 42 , 249 , 171 ," 1,395 "," 1,369 "," 1,368 "," 18,393 "," 8,494 "," 7,026.4 ", 1.2 , -   ," 36,995 "," 32,709.4 ", 1.1 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 4 , 3 , 0.2 , 15.0 , 1.9 , 5 , 1.0 , 5.0 , 2.0 
