ADT FN06/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,14/03/2022,28/02/2022,14/03/2021,01/01/2022,28/12/2021,,,,28/03/2021,28/03/2016,,
,,,,,,,,,,,27/03/2022,13/03/2022,27/03/2021,27/03/2022,27/03/2022,,,,27/03/2022,27/03/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 4 , -   , -   , -   , -   , 4 , 1 , -   , 10 , 10 , 33.8 , 0.3 , -   , 75 , 145.2 , 0.5 , -   
,Hepatitis B (unspecified),052, 5 , 69 , -   , 50 , 1 , 5 , 29 , 21 , 180 , 217 , 164 ," 1,109 "," 1,144 "," 1,366.2 ", 0.8 , -   ," 4,877 "," 5,648.0 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 11 , 1 , -   , -   , -   , 13 , 14 , 29 , 98 , 101 , 167.8 , 0.6 , -   , 662 , 690.8 , 1.0 , -   
,Hepatitis C (unspecified),053, 4 , 111 , 2 , 62 , -   , 10 , 32 , 31 , 252 , 265 , 260 ," 1,325 "," 1,364 "," 2,174.8 ", 0.6 , -   ," 6,486 "," 9,183.0 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 2 , 3 , 15 , 15 , 16.4 , 0.9 , -   , 80 , 71.6 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , 2 , 0.8 , 2.5 , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 20 , 377 , 14 , 332 , 97 , 37 , 313 , 129 ," 1,319 "," 1,366 "," 1,322 "," 8,465 "," 8,858 "," 9,142.0 ", 1.0 , -   ," 36,673 "," 31,640.6 ", 1.2 , -   
,Cryptosporidiosis,061, 1 , 18 , 1 , 16 , 3 , 1 , 10 , 24 , 74 , 58 , 59 , 421 , 436 ," 1,237.6 ", 0.4 , -   ," 1,768 "," 3,353.2 ", 0.5 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.8 , -   , -   , 5 , 15.0 , 0.3 , -   
,Hepatitis A,038, -   , -   , -   , 2 , -   , -   , 4 , 1 , 7 , 3 , 1 , 17 , 17 , 72.0 , 0.2 , -   , 37 , 217.8 , 0.2 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 5 , 5 , 13.6 , 0.4 , -   , 14 , 41.2 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , 2 , -   , 3 , 3 , 3 , 19 , 19 , 21.4 , 0.9 , -   , 51 , 63.0 , 0.8 , -   
,Paratyphoid,080, 1 , -   , -   , -   , -   , -   , 1 , -   , 2 , 3 , -   , 8 , 8 , 31.0 , 0.3 , -   , 12 , 70.8 , 0.2 , -   
,Salmonellosis,030, 9 , 161 , 13 , 223 , 17 , 13 , 105 , 40 , 581 , 638 , 601 ," 3,163 "," 3,274 "," 5,123.4 ", 0.6 , -   ," 10,118 "," 14,675.6 ", 0.7 , -   
,Shigellosis,031, -   , 11 , 8 , 6 , 7 , -   , 6 , 4 , 42 , 31 , 24 , 178 , 185 , 610.8 , 0.3 , -   , 515 ," 2,051.6 ", 0.3 , -   
,STEC,054, -   , 10 , -   , 1 , 10 , -   , 7 , 16 , 44 , 34 , 28 , 188 , 201 , 183.0 , 1.1 , -   , 638 , 550.6 , 1.2 , -   
,Typhoid Fever,035, -   , 1 , -   , -   , -   , -   , 4 , -   , 5 , 7 , 1 , 29 , 29 , 57.8 , 0.5 , -   , 39 , 137.6 , 0.3 , -   
