ADT FN07/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,28/03/2022,14/03/2022,28/03/2021,01/01/2022,11/01/2022,,,,11/04/2021,11/04/2016,,
,,,,,,,,,,,10/04/2022,27/03/2022,10/04/2021,10/04/2022,10/04/2022,,,,10/04/2022,10/04/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 4 , -   , 12 , 11 , 31.8 , 0.3 , -   , 77 , 143.6 , 0.5 , -   
,Hepatitis B (unspecified),052, 2 , 57 , -   , 54 , -   , 1 , 70 , 20 , 204 , 182 , 144 ," 1,320 "," 1,243 "," 1,424.4 ", 0.9 , -   ," 4,939 "," 5,629.2 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 28 , -   , -   , -   , -   , 28 , 17 , 23 , 130 , 120 , 170.8 , 0.7 , -   , 673 , 688.6 , 1.0 , -   
,Hepatitis C (unspecified),053, 1 , 93 , -   , 63 , -   , 2 , 38 , 37 , 234 , 250 , 232 ," 1,559 "," 1,487 "," 2,245.2 ", 0.7 , -   ," 6,486 "," 9,138.4 ", 0.7 , -   
,Hepatitis D,050, -   , 3 , -   , -   , -   , -   , -   , -   , 3 , 2 , 1 , 18 , 18 , 14.6 , 1.2 , -   , 82 , 72.6 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.8 , 1.3 , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 22 , 350 , 13 , 282 , 110 , 34 , 295 , 104 ," 1,210 "," 1,323 "," 1,323 "," 9,689 "," 8,839 "," 8,501.8 ", 1.0 , -   ," 36,573 "," 31,758.2 ", 1.2 , -   
,Cryptosporidiosis,061, 1 , 23 , 1 , 29 , 1 , -   , 37 , 16 , 108 , 74 , 42 , 529 , 482 ," 1,290.4 ", 0.4 , -   ," 1,834 "," 3,284.4 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 4.2 , 0.2 , -   , 6 , 15.0 , 0.4 , -   
,Hepatitis A,038, -   , -   , -   , 2 , -   , -   , 4 , -   , 6 , 8 , -   , 24 , 24 , 73.2 , 0.3 , -   , 44 , 216.0 , 0.2 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 6 , 6 , 14.0 , 0.4 , -   , 15 , 41.2 , 0.4 , -   
,Listeriosis,018, -   , 2 , -   , -   , -   , -   , 1 , -   , 3 , 4 , 1 , 23 , 21 , 19.4 , 1.1 , -   , 54 , 62.0 , 0.9 , -   
,Paratyphoid,080, -   , 1 , -   , -   , 1 , -   , -   , -   , 2 , 2 , -   , 10 , 9 , 30.8 , 0.3 , -   , 14 , 69.8 , 0.2 , -   
,Salmonellosis,030, 17 , 140 , 21 , 176 , 24 , 13 , 75 , 56 , 522 , 579 , 507 ," 3,686 "," 3,442 "," 5,047.6 ", 0.7 , -   ," 10,134 "," 14,590.0 ", 0.7 , -   
,Shigellosis,031, 3 , 10 , 3 , 5 , 4 , -   , 4 , 4 , 33 , 45 , 20 , 215 , 198 , 593.0 , 0.3 , -   , 531 ," 2,046.4 ", 0.3 , -   
,STEC,054, -   , 5 , -   , 1 , 6 , 1 , 4 , 11 , 28 , 45 , 20 , 215 , 204 , 175.8 , 1.2 , -   , 645 , 553.8 , 1.2 , -   
,Typhoid Fever,035, 2 , 2 , -   , 1 , -   , -   , 1 , 1 , 7 , 8 , -   , 40 , 39 , 59.0 , 0.7 , -   , 50 , 136.8 , 0.4 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 0.2 , 5.0 , -   , 2 , 1.0 , 2.0 , -   
,COVID-19,081," 7,313 "," 278,841 "," 6,199 "," 43,423 "," 83,932 "," 5,430 "," 50,525 "," 40,318 ","515981"," 466,166 ", 149 ," 3,082,555 "," 2,544,451 "," 1,432.4 "," 1,776.4 "," 2,537,532.4 "," 3,449,149 "," 5,938.8 ", 580.8 ," 3,422,991.8 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 53 ," 1,013 ", 67 , 978 , 232 , 51 , 924 , 311 ," 3,629 "," 3,729 "," 2,919 "," 23,646 "," 22,593 "," 26,824.8 ", 0.8 , -   ," 85,911 "," 99,747.0 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 7 , 400 , 56 , 255 , 69 , 11 , 290 , 90 ," 1,178 "," 1,283 "," 1,044 "," 8,242 "," 7,799 "," 8,365.2 ", 0.9 , -   ," 27,120 "," 29,997.8 ", 0.9 , -   
,Syphilis < 2 years,066, 1 , 59 , 7 , 33 , 6 , -   , 58 , 13 , 177 , 161 , 194 ," 1,301 "," 1,221 "," 1,321.6 ", 0.9 , -   ," 5,456 "," 4,981.8 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 4 , -   , 13 , -   , -   , 41 , 5 , 63 , 72 , 78 , 457 , 426 , 569.2 , 0.7 , -   ," 1,820 "," 2,166.4 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , 1 , 5 , 5 , 2.2 , 2.3 , -   , 16 , 8.8 , 1.8 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 6 , -   , -   , -   , -   , 6 , 1 , -   , 10 , 10 , 2.2 , 4.5 , 4.0 , 15 , 8.4 , 1.8 , 2.0 
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 4.2 , 0.2 , -   , 13 , 19.8 , 0.7 , -   
,Influenza (laboratory confirmed),062, 4 , 412 , 9 , 43 , 19 , 2 , 163 , 3 , "655" , "201" , 21 , 982 , 965 ," 13,309.6 ", 0.1 , -   ," 1,525 "," 146,195.8 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39.2 , -   , -   , -   , 111.2 , -   , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 5 , 4 , 109.6 , 0.0 , -   , 15 , 450.2 , 0.0 , -   
,Pertussis,024, -   , 3 , -   , -   , 3 , -   , 10 , 3 , 19 , 19 , 12 , 140 , 130 ," 2,266.4 ", 0.1 , -   , 547 ," 10,934.8 ", 0.1 , -   
,Pneumococcal disease (invasive),065, -   , 9 , -   , 10 , 6 , -   , 11 , 4 , 40 , 32 , 47 , 232 , 200 , 268.2 , 0.7 , -   ," 1,301 "," 1,811.0 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 9 , -   , 23 , 21 , -   , 6 , 6 , 65 , 77 , 56 , 629 , 547 , 589.2 , 0.9 , -   ," 2,857 "," 4,108.8 ", 0.7 , -   
,Rubella,029, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 4.6 , 0.2 , -   , 3 , 11.0 , 0.3 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1.6 , -   , -   , 2 , 4.4 , 0.5 , -   
,Varicella zoster (chickenpox),073, 6 , NN , -   , 1 , 12 , -   , 14 , 6 , 39 , 52 , 77 , 314 , 284 , 758.0 , 0.4 , -   ," 1,764 "," 3,639.2 ", 0.5 , -   
,Varicella zoster (shingles),074, 29 , NN , 9 , 11 , 74 , 12 , 57 , 58 , 250 , 327 , 418 ," 2,221 "," 2,053 "," 3,414.4 ", 0.6 , -   ," 9,432 "," 12,913.6 ", 0.7 , -   
,Varicella zoster (unspecified),075, 5 , NN , 7 , 374 , 44 , 13 , 329 , 103 , 875 , 842 , 634 ," 5,637 "," 5,232 "," 3,526.8 ", 1.5 , 583.6 ," 21,324 "," 14,089.6 ", 1.5 ," 4,245.6 "
