ADT FN11/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,16/05/2022,02/05/2022,16/05/2021,01/01/2022,01/03/2022,,,,30/05/2021,30/05/2016,,
,,,,,,,,,,,29/05/2022,15/05/2022,29/05/2021,29/05/2022,29/05/2022,,,,29/05/2022,29/05/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 3 , -   , -   , -   , 1 , 4 , -   , 3 , 20 , 14 , 34.2 , 0.4 , -   , 70 , 140.6 , 0.5 , -   
,Hepatitis B (unspecified),052, 4 , 94 , -   , 70 , 2 , 6 , 54 , 20 , 250 , 246 , 208 ," 2,125 "," 1,377 "," 1,376.6 ", 1.0 , -   ," 5,069 "," 5,570.6 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 3 , -   , 11 , 1 , -   , 1 , 1 , 17 , 31 , 18 , 202 , 129 , 164.2 , 0.8 , -   , 647 , 697.0 , 0.9 , -   
,Hepatitis C (unspecified),053, 1 , 103 , 1 , 53 , 1 , 7 , 58 , 29 , 253 , 258 , 281 ," 2,355 "," 1,535 "," 2,229.2 ", 0.7 , -   ," 6,344 "," 8,989.8 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 5 , 7 , 32 , 21 , 16.4 , 1.3 , -   , 82 , 74.2 , 1.1 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , -   ,  , 1.0 , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 28 , 434 , 15 , 348 , 112 , 34 , 154 , 125 ," 1,250 "," 1,349 "," 1,317 "," 14,051 "," 8,156 "," 7,227.6 ", 1.1 , -   ," 36,684 "," 32,407.8 ", 1.1 , -   
,Cholera,008, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 2 , 2 , 0.4 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
