ADT FN12/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,30/05/2022,16/05/2022,30/05/2021,01/01/2022,15/03/2022,,,,13/06/2021,13/06/2016,,
,,,,,,,,,,,12/06/2022,29/05/2022,12/06/2021,12/06/2022,12/06/2022,,,,12/06/2022,12/06/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 4 , 6 , 19 , 12 , 33.2 , 0.4 , -   , 63 , 140.6 , 0.4 , -   
,Hepatitis B (unspecified),052, 4 , 82 , -   , 51 , 3 , 4 , 50 , 12 , 206 , 252 , 220 ," 2,345 "," 1,362 "," 1,338.4 ", 1.0 , -   ," 5,068 "," 5,562.8 ", 0.9 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 15 , -   , -   , -   , 2 , 18 , 16 , 35 , 221 , 132 , 165.0 , 0.8 , -   , 631 , 696.8 , 0.9 , -   
,Hepatitis C (unspecified),053, 3 , 94 , 2 , 73 , 1 , 5 , 27 , 25 , 230 , 255 , 335 ," 2,606 "," 1,507 "," 2,179.6 ", 0.7 , -   ," 6,262 "," 8,967.4 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 5 , 32 , 19 , 17.8 , 1.1 , -   , 77 , 74.2 , 1.0 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   ,  , -   , 5 , 1.2 , 4.2 , 2.1 
,Campylobacteriosis,005, 17 , 401 , 10 , 325 , 98 , 30 , 92 , 126 ," 1,099 "," 1,348 "," 1,302 "," 15,283 "," 8,031 "," 6,998.2 ", 1.1 , -   ," 36,613 "," 32,514.8 ", 1.1 , -   
,Cholera,008, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 3 , 3 , 0.4 , 7.5 , 0.8 , 4 , 1.0 , 4.0 , 1.0 
,Cryptosporidiosis,061, 1 , 12 , 1 , 18 , 6 , 4 , 12 , 12 , 66 , 94 , 98 , 944 , 592 , 910.0 , 0.7 , -   ," 1,855 "," 3,123.0 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 4.0 , 0.5 , -   , 6 , 14.8 , 0.4 , -   
,Hepatitis A,038, -   , 2 , -   , 5 , -   , 1 , -   , 1 , 9 , 3 , -   , 47 , 37 , 54.8 , 0.7 , -   , 65 , 213.8 , 0.3 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 9 , 4 , 12.6 , 0.3 , -   , 12 , 41.4 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 2 , 1 , 40 , 24 , 9.0 , 2.7 , 7.7 , 66 , 59.2 , 1.1 , -   
,Paratyphoid,080, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , -   , 21 , 15 , 14.6 , 1.0 , -   , 25 , 68.6 , 0.4 , -   
,Salmonellosis,030, 8 , 105 , 13 , 105 , 18 , 3 , 38 , 20 , 310 , 405 , 324 ," 5,662 "," 2,913 "," 3,619.8 ", 0.8 , -   ," 10,310 "," 14,277.0 ", 0.7 , -   
,Shigellosis,031, 2 , 12 , 1 , 7 , 2 , -   , 15 , 6 , 45 , 51 , 17 , 400 , 259 , 412.2 , 0.6 , -   , 641 ," 2,014.4 ", 0.3 , -   
,STEC,054, -   , 7 , -   , 4 , 13 , 2 , 10 , 9 , 45 , 46 , 13 , 376 , 232 , 133.2 , 1.7 , 43.2 , 712 , 566.2 , 1.3 , 6.2 
,Typhoid Fever,035, -   , 3 , 1 , -   , -   , -   , 2 , 1 , 7 , 12 , -   , 74 , 48 , 33.2 , 1.4 , -   , 83 , 133.8 , 0.6 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 9,904 "," 93,361 ", 354 ," 14,396 "," 37,116 "," 1,537 "," 50,735 "," 124,967 ","332370"," 585,386 ", 159 ," 6,403,635 "," 3,671,816 "," 1,694.8 "," 2,166.5 "," 3,663,799.4 "," 6,811,963 "," 6,119.4 "," 1,113.2 "," 6,785,846.6 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 63 ," 1,041 ", 6 ," 1,070 ", 233 , 75 , 655 , 419 ," 3,562 "," 3,577 "," 3,834 "," 39,349 "," 22,817 "," 24,117.8 ", 0.9 , -   ," 85,606 "," 99,691.0 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 13 , 416 , 15 , 295 , 68 , 16 , 48 , 120 , 991 ," 1,065 "," 1,240 "," 13,472 "," 7,606 "," 7,587.8 ", 1.0 , -   ," 27,136 "," 30,223.6 ", 0.9 , -   
