ADT FN24/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by,
,,,,,,,,,,,14/11/2022,31/10/2022,14/11/2021,01/01/2022,30/08/2022,,,,28/11/2021,28/11/2016,,,
,,,,,,,,,,,27/11/2022,13/11/2022,27/11/2021,27/11/2022,27/11/2022,,,,27/11/2022,27/11/2021,,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 2 , 2 , 53 , 15 , 29.0 , 0.5 , -   , 60 , 134.4 , 0.4 , -   ,
,Hepatitis B (unspecified),052, -   , 90 , 5 , 47 , -   , 2 , 51 , 15 , 210 , 207 , 182 ," 4,983 "," 1,395 "," 1,331.8 ", 1.0 , -   ," 5,426 "," 5,397.4 ", 1.0 , -   ,
,Hepatitis C (newly acquired),040, -   , 1 , -   , 20 , -   , -   , -   , 4 , 25 , 12 , 23 , 477 , 127 , 187.0 , 0.7 , -   , 539 , 701.8 , 0.8 , -   ,
,Hepatitis C (unspecified),053, -   , 106 , 4 , 71 , 2 , 2 , 56 , 40 , 281 , 284 , 261 ," 5,807 "," 1,741 "," 2,023.4 ", 0.9 , -   ," 6,368 "," 8,574.4 ", 0.7 , -   ,
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 4 , 4 , 58 , 14 , 19.8 , 0.7 , -   , 63 , 75.8 , 0.8 , -   ,
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   ,  , -   , 6 , 1.4 , 4.3 , 1.9 ,
,Campylobacteriosis,005, -   , 514 , 13 , 433 , 197 , 49 , 452 , 202 ," 1,860 "," 1,977 "," 2,049 "," 36,371 "," 11,805 "," 9,029.2 ", 1.3 , 748.7 ," 40,440 "," 33,759.8 ", 1.2 , -   ,
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 0.2 , -   , -   , 5 , 0.8 , 6.3 , 2.5 ,
,Cryptosporidiosis,061, -   , 23 , 1 , 25 , 5 , 1 , 11 , 8 , 74 , 90 , 85 ," 1,873 ", 539 , 433.6 , 1.2 , -   ," 2,057 "," 3,008.8 ", 0.7 , -   ,
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 8 , 5 , 3.2 , 1.6 , 0.1 , 8 , 14.6 , 0.5 , -   ,
,Hepatitis A,038, -   , 2 , -   , 2 , 1 , -   , 1 , -   , 6 , 6 , 2 , 121 , 42 , 41.8 , 1.0 , -   , 123 , 207.0 , 0.6 , -   ,
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 12 , 4 , 5.6 , 0.7 , -   , 12 , 38.2 , 0.3 , -   ,
,Listeriosis,018, -   , 2 , -   , 1 , -   , -   , -   , 2 , 5 , 1 , 2 , 83 , 24 , 13.6 , 1.8 , 5.6 , 85 , 59.2 , 1.4 , -   ,
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 1 , 43 , 9 , 10.0 , 0.9 , -   , 43 , 63.4 , 0.7 , -   ,
,Salmonellosis,030, -   , 101 , 24 , 101 , 19 , 7 , 87 , 47 , 386 , 393 , 516 ," 9,354 "," 2,154 "," 2,621.2 ", 0.8 , -   ," 10,381 "," 13,818.6 ", 0.8 , -   ,
,Shigellosis,031, -   , 36 , 2 , 12 , 7 , -   , 15 , 7 , 79 , 66 , 18 ," 1,198 ", 464 , 441.6 , 1.1 , -   ," 1,249 "," 1,923.0 ", 0.6 , -   ,
,"STEC""""",054, -   , 3 , 1 , 1 , 6 , -   , 6 , 12 , 29 , 48 , 26 , 748 , 213 , 138.8 , 1.5 , 31.3 , 837 , 580.2 , 1.4 , 132.4 ,
,Typhoid Fever,035, -   , 1 , -   , 1 , -   , -   , 6 , 1 , 9 , 7 , -   , 151 , 44 , 22.4 , 2.0 , -   , 153 , 128.0 , 1.2 , -   ,
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,COVID-19#,081," 3,441 "," 63,005 ", 884 ," 292,673 "," 19,127 "," 5,417 "," 46,311 "," 20,628 ","451486"," 141,759 "," 18,410 "," 9,423,070 "," 929,951 "," 31,455.8 ", 29.6 ," 760,368.9 "," 9,654,072 "," 41,831.8 ", 230.8 ," 9,454,527.4 ",
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
