ADT FN25/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by,
,,,,,,,,,,,28/11/2022,14/11/2022,28/11/2021,01/01/2022,13/09/2022,,,,12/12/2021,12/12/2016,,,
,,,,,,,,,,,11/12/2022,27/11/2022,11/12/2021,11/12/2022,11/12/2022,,,,11/12/2022,11/12/2021,,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 2 , 5 , 56 , 16 , 31.0 , 0.5 , -   , 58 , 134.8 , 0.4 , -   ,
,Hepatitis B (unspecified),052, -   , 84 , 2 , 51 , 2 , 3 , 51 , 16 , 209 , 210 , 190 ," 5,193 "," 1,369 "," 1,336.8 ", 1.0 , -   ," 5,446 "," 5,384.0 ", 1.0 , -   ,
,Hepatitis C (newly acquired),040, -   , -   , -   , 16 , -   , -   , 1 , 1 , 18 , 27 , 44 , 501 , 132 , 193.8 , 0.7 , -   , 519 , 706.8 , 0.7 , -   ,
,Hepatitis C (unspecified),053, -   , 95 , 2 , 60 , 1 , 2 , 43 , 23 , 226 , 278 , 298 ," 6,036 "," 1,714 "," 2,041.0 ", 0.8 , -   ," 6,299 "," 8,710.8 ", 0.7 , -   ,
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 1 , 2 , 60 , 13 , 20.2 , 0.6 , -   , 64 , 74.8 , 0.9 , -   ,
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   ,  , -   , 6 , 1.4 , 4.3 , 1.9 ,
,Campylobacteriosis,005, -   , 562 , 16 , 448 , 193 , 67 , 435 , 198 ," 1,919 "," 1,862 "," 1,913 "," 38,298 "," 12,003 "," 9,548.4 ", 1.3 , 332.6 ," 40,454 "," 33,895.8 ", 1.2 , -   ,
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 0.4 , -   , -   , 5 , 0.8 , 6.3 , 2.0 ,
,Cryptosporidiosis,061, -   , 13 , 1 , 19 , -   , 2 , 17 , 7 , 59 , 74 , 80 ," 1,932 ", 521 , 472.8 , 1.1 , -   ," 2,036 "," 2,986.2 ", 0.7 , -   ,
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 8 , 4 , 3.2 , 1.3 , -   , 8 , 14.4 , 0.6 , -   ,
,Hepatitis A,038, -   , 5 , -   , 1 , -   , -   , 2 , 1 , 9 , 6 , 1 , 130 , 38 , 42.0 , 0.9 , -   , 131 , 206.0 , 0.6 , -   ,
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 11 , 3 , 5.4 , 0.6 , -   , 11 , 36.6 , 0.3 , -   ,
