ADT FN22/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,17/10/2022,03/10/2022,17/10/2021,01/01/2022,02/08/2022,,,,31/10/2021,31/10/2016,,
,,,,,,,,,,,30/10/2022,16/10/2022,30/10/2021,30/10/2022,30/10/2022,,,,30/10/2022,30/10/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 3 , 2 , 46 , 12 , 29.8 , 0.4 , -   , 57 , 135.4 , 0.4 , -   
,Hepatitis B (unspecified),052, -   , 107 , 3 , 36 , 1 , 1 , 45 , 17 , 210 , 219 , 177 ," 4,554 "," 1,395 "," 1,348.0 ", 1.0 , -   ," 5,427 "," 5,388.8 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 23 , 1 , -   , -   , 1 , 25 , 25 , 34 , 427 , 117 , 180.0 , 0.7 , -   , 541 , 703.2 , 0.8 , -   
,Hepatitis C (unspecified),053, -   , 109 , -   , 71 , 1 , 4 , 42 , 43 , 270 , 246 , 249 ," 5,240 "," 1,705 "," 2,018.8 ", 0.8 , -   ," 6,325 "," 8,647.6 ", 0.7 , -   
,Hepatitis D,050, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 4 , 2 , 53 , 12 , 22.4 , 0.5 , -   , 68 , 74.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , -   ,  , 1.0 , 6 , 1.4 , 4.3 , 1.9 
,Campylobacteriosis,005, -   , 568 , 13 , 448 , 150 , 39 , 474 , 219 ," 1,911 "," 1,942 "," 1,609 "," 32,510 "," 11,299 "," 8,107.6 ", 1.4 ," 1,188.0 "," 40,510 "," 33,395.2 ", 1.2 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 0.2 , -   , -   , 5 , 0.8 , 6.3 , 2.5 
,Cryptosporidiosis,061, -   , 33 , 2 , 25 , 9 , 5 , 36 , 6 , 116 , 77 , 53 ," 1,710 ", 517 , 391.6 , 1.3 , -   ," 2,039 "," 3,025.8 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 6 , 3 , 3.6 , 0.8 , -   , 7 , 14.6 , 0.5 , -   
,Hepatitis A,038, -   , 1 , -   , 1 , -   , -   , 1 , 1 , 4 , 1 , 3 , 108 , 42 , 40.6 , 1.0 , -   , 113 , 208.2 , 0.5 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 6 , 5.6 , 1.1 , -   , 11 , 38.0 , 0.3 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 75 , 25 , 13.0 , 1.9 , 6.2 , 81 , 59.4 , 1.4 , -   
,Paratyphoid,080, -   , -   , -   , -   , 1 , -   , 1 , -   , 2 , 1 , -   , 41 , 10 , 6.6 , 1.5 , -   , 42 , 64.6 , 0.7 , -   
,Salmonellosis,030, -   , 107 , 18 , 93 , 17 , 10 , 82 , 46 , 373 , 298 , 387 ," 8,573 "," 1,899 "," 2,256.0 ", 0.8 , -   ," 10,615 "," 13,814.4 ", 0.8 , -   
,Shigellosis,031, -   , 24 , 5 , 13 , 3 , -   , 15 , 12 , 72 , 73 , 14 ," 1,049 ", 460 , 417.6 , 1.1 , -   ," 1,135 "," 1,939.0 ", 0.6 , -   
,"STEC""""",054, -   , 8 , -   , 2 , 7 , -   , 10 , 8 , 35 , 30 , 22 , 669 , 189 , 121.2 , 1.6 , 30.8 , 817 , 574.2 , 1.4 , 123.4 
,Typhoid Fever,035, -   , 3 , -   , -   , -   , -   , 2 , -   , 5 , 3 , -   , 135 , 42 , 21.0 , 2.0 , -   , 137 , 129.2 , 1.1 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 1,458 "," 20,222 ", 572 ," 17,292 "," 6,266 "," 1,714 "," 13,803 "," 11,336 ","72663"," 56,901 "," 27,288 "," 8,800,483 "," 799,335 "," 29,125.6 ", 27.4 ," 650,785.8 "," 9,069,134 "," 34,473.4 ", 263.1 ," 8,909,323.5 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
