ADT FN23/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,31/10/2022,17/10/2022,31/10/2021,01/01/2022,16/08/2022,,,,14/11/2021,14/11/2016,,
,,,,,,,,,,,13/11/2022,30/10/2022,13/11/2021,13/11/2022,13/11/2022,,,,13/11/2022,13/11/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 2 , 48 , 14 , 28.0 , 0.5 , -   , 57 , 134.8 , 0.4 , -   
,Hepatitis B (unspecified),052, -   , 89 , -   , 40 , 2 , 3 , 57 , 16 , 207 , 206 , 248 ," 4,754 "," 1,382 "," 1,356.0 ", 1.0 , -   ," 5,379 "," 5,403.2 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 7 , 1 , -   , 1 , 2 , 11 , 28 , 29 , 443 , 116 , 187.8 , 0.6 , -   , 528 , 702.6 , 0.8 , -   
,Hepatitis C (unspecified),053, -   , 111 , -   , 73 , 3 , 5 , 57 , 35 , 284 , 267 , 264 ," 5,521 "," 1,724 "," 2,027.2 ", 0.9 , -   ," 6,343 "," 8,611.8 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , 1 , -   , 1 , -   , 4 , 1 , 6 , 57 , 13 , 22.0 , 0.6 , -   , 66 , 75.6 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , -   ,  , 1.0 , 6 , 1.4 , 4.3 , 1.9 
,Campylobacteriosis,005, -   , 566 , 10 , 440 , 214 , 44 , 410 , 219 ," 1,903 "," 1,931 "," 1,882 "," 34,434 "," 11,620 "," 8,534.4 ", 1.4 ," 1,031.9 "," 40,552 "," 33,553.6 ", 1.2 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 0.2 , -   , -   , 5 , 0.8 , 6.3 , 2.5 
,Cryptosporidiosis,061, -   , 19 , 4 , 24 , 10 , 4 , 21 , 7 , 89 , 116 , 60 ," 1,799 ", 532 , 401.0 , 1.3 , -   ," 2,068 "," 3,018.0 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 7 , 4 , 3.2 , 1.3 , -   , 8 , 14.4 , 0.6 , -   
,Hepatitis A,038, -   , 1 , -   , 2 , -   , -   , 3 , -   , 6 , 5 , -   , 115 , 41 , 37.6 , 1.1 , -   , 119 , 207.2 , 0.6 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 11 , 4 , 5.8 , 0.7 , -   , 11 , 38.2 , 0.3 , -   
,Listeriosis,018, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 2 , 78 , 21 , 14.8 , 1.4 , 1.0 , 82 , 59.0 , 1.4 , -   
,Paratyphoid,080, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 42 , 11 , 8.2 , 1.3 , -   , 43 , 64.0 , 0.7 , -   
,Salmonellosis,030, -   , 104 , 16 , 108 , 26 , 4 , 90 , 49 , 397 , 374 , 499 ," 8,971 "," 2,026 "," 2,427.4 ", 0.8 , -   ," 10,514 "," 13,819.2 ", 0.8 , -   
,Shigellosis,031, -   , 22 , 7 , 13 , 1 , -   , 13 , 11 , 67 , 72 , 17 ," 1,118 ", 463 , 425.6 , 1.1 , -   ," 1,187 "," 1,932.0 ", 0.6 , -   
,"STEC""""",054, -   , 13 , -   , 2 , 15 , 1 , 8 , 9 , 48 , 36 , 33 , 719 , 211 , 131.4 , 1.6 , 43.9 , 834 , 576.2 , 1.4 , 134.4 
,Typhoid Fever,035, -   , -   , -   , 2 , -   , -   , 3 , 2 , 7 , 5 , -   , 142 , 43 , 21.6 , 2.0 , -   , 144 , 128.6 , 1.1 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 2,378 "," 38,537 ", 638 ," 34,748 "," 13,578 "," 3,950 "," 32,374 "," 15,763 ","141966"," 75,427 "," 19,083 "," 8,974,256 "," 652,383 "," 30,871.2 ", 21.1 ," 488,470.5 "," 9,223,715 "," 38,134.2 ", 241.9 ," 9,044,022.6 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, -   ," 1,173 ", 87 ," 1,007 ", 197 , 74 , 814 , 465 ," 3,817 "," 4,183 "," 3,372 "," 81,375 "," 24,729 "," 23,569.8 ", 1.0 , -   ," 92,285 "," 98,969.2 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
