ADT FN20/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,19/09/2022,05/09/2022,19/09/2021,01/01/2022,05/07/2022,,,,03/10/2021,03/10/2016,,
,,,,,,,,,,,02/10/2022,18/09/2022,02/10/2021,02/10/2022,02/10/2022,,,,02/10/2022,02/10/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 3 , 1 , 42 , 14 , 30.6 , 0.5 , -   , 57 , 137.0 , 0.4 , -   
,Hepatitis B (unspecified),052, 3 , 94 , -   , 43 , 2 , 2 , 43 , 15 , 202 , 218 , 140 ," 4,095 "," 1,370 "," 1,327.0 ", 1.0 , -   ," 5,310 "," 5,413.8 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 16 , -   , -   , -   , -   , 17 , 8 , 28 , 371 , 109 , 170.6 , 0.6 , -   , 548 , 702.2 , 0.8 , -   
,Hepatitis C (unspecified),053, 3 , 117 , 5 , 70 , 1 , 5 , 41 , 25 , 267 , 266 , 224 ," 4,705 "," 1,671 "," 2,004.4 ", 0.8 , -   ," 6,274 "," 8,720.2 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 45 , 9 , 20.0 , 0.5 , -   , 64 , 75.4 , 0.8 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 0.4 , 2.5 , -   , 6 , 1.4 , 4.3 , 1.9 
,Campylobacteriosis,005, 24 , 504 , 7 , 365 , 143 , 46 , 299 , 181 ," 1,569 "," 1,778 "," 1,186 "," 28,638 "," 10,443 "," 7,597.6 ", 1.4 , 964.8 ," 39,697 "," 33,143.4 ", 1.2 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 0.2 , -   , -   , 5 , 1.0 , 5.0 , 2.0 
,Cryptosporidiosis,061, -   , 10 , 2 , 17 , 6 , -   , 25 , 10 , 70 , 90 , 34 ," 1,517 ", 454 , 400.6 , 1.1 , -   ," 1,948 "," 3,042.4 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 4 , 2 , 3.2 , 0.6 , -   , 6 , 14.6 , 0.4 , -   
,Hepatitis A,038, -   , 1 , -   , -   , -   , -   , 2 , 1 , 4 , 14 , 1 , 102 , 43 , 37.6 , 1.1 , -   , 111 , 209.2 , 0.5 , -   
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 15 , 7 , 7.2 , 1.0 , -   , 15 , 40.2 , 0.4 , -   
,Listeriosis,018, -   , 4 , -   , 1 , -   , -   , 2 , 2 , 9 , 3 , 2 , 73 , 28 , 13.4 , 2.1 , 13.5 , 83 , 59.8 , 1.4 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , -   , 38 , 13 , 7.4 , 1.8 , -   , 39 , 65.2 , 0.6 , -   
,Salmonellosis,030, 4 , 79 , 10 , 78 , 21 , 7 , 91 , 29 , 319 , 266 , 232 ," 7,905 "," 1,742 "," 2,103.2 ", 0.8 , -   ," 10,642 "," 13,862.6 ", 0.8 , -   
,Shigellosis,031, 2 , 24 , 7 , 11 , 4 , 3 , 13 , 7 , 71 , 75 , 22 , 901 , 418 , 420.8 , 1.0 , -   ," 1,018 "," 1,955.0 ", 0.5 , -   
,"STEC""""",054, -   , 6 , -   , 3 , 10 , -   , 2 , 6 , 27 , 33 , 21 , 604 , 182 , 106.4 , 1.7 , 53.4 , 797 , 571.6 , 1.4 , 101.7 
,Typhoid Fever,035, -   , 2 , -   , -   , 3 , -   , 2 , -   , 7 , 8 , 3 , 127 , 45 , 20.2 , 2.2 , -   , 129 , 130.8 , 1.0 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 1,266 "," 25,340 ", 668 ," 2,362 "," 6,514 ", 247 ," 16,238 "," 11,960 ","64595"," 82,411 "," 25,827 "," 8,481,360 "," 1,659,128 "," 19,873.0 ", 83.5 ," 1,569,391.0 "," 8,808,813 "," 22,793.8 ", 386.5 ," 8,710,873.2 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 42 ," 1,012 ", 14 , 872 , 218 , 63 , 536 , 401 ," 3,158 "," 3,638 "," 3,098 "," 68,330 "," 22,374 "," 23,507.6 ", 1.0 , -   ," 88,710 "," 99,179.6 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 21 , 395 , 19 , 215 , 78 , 6 , 307 , 117 ," 1,158 "," 1,324 ", 862 ," 24,835 "," 8,450 "," 7,105.6 ", 1.2 , -   ," 30,711 "," 30,296.0 ", 1.0 , -   
,Syphilis < 2 years,066, 1 , 61 , 7 , 50 , 18 , 2 , 61 , 35 , 235 , 242 , 216 ," 4,395 "," 1,522 "," 1,306.4 ", 1.2 , -   ," 5,701 "," 5,186.0 ", 1.1 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 8 , 2 , 5 , 1 , -   , 40 , 5 , 61 , 86 , 69 ," 1,652 ", 473 , 537.8 , 0.9 , -   ," 2,105 "," 2,201.4 ", 1.0 , -   
,Syphilis congenital ,047, -   , 1 , -   , 2 , -   , -   , -   , -   , 3 , -   , -   , 10 , 3 , 3.8 , 0.8 , -   , 13 , 10.0 , 1.3 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26 , 3 , 2.0 , 1.5 , -   , 27 , 8.8 , 3.1 , 15.6 
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 9 , 4 , 5.2 , 0.8 , -   , 12 , 19.6 , 0.6 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 3 , 2 , 20.4 , 0.1 , -   , 3 , 106.0 , 0.0 , -   
,Meningococcal disease (invasive),022, -   , 1 , -   , 3 , 1 , -   , 2 , 1 , 8 , 7 , 2 , 89 , 42 , 67.4 , 0.6 , -   , 107 , 221.2 , 0.5 , -   
,Mumps,043, -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , 1 , 22 , 9 , 77.6 , 0.1 , -   , 26 , 382.2 , 0.1 , -   
,Pneumococcal disease (invasive),065, 1 , 22 , 4 , 18 , 11 , 2 , 13 , 5 , 76 , 108 , 46 ," 1,404 ", 690 , 616.2 , 1.1 , -   ," 1,662 "," 1,768.0 ", 0.9 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 118 , 26 , 296 , 16 , 5 , 66 , 8 , 535 , 512 , 144 ," 3,008 "," 1,928 "," 1,318.6 ", 1.5 , -   ," 4,351 "," 4,095.2 ", 1.1 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 2 , 1.4 , 1.4 , -   , 3 , 9.2 , 0.3 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1.2 , -   , -   , 1 , 4.4 , 0.2 , -   
,Varicella zoster (chickenpox),073, 6 , NN , 4 , -   , 8 , 6 , 12 , 19 , 55 , 64 , 62 ," 1,008 ", 379 , 956.0 , 0.4 , -   ," 1,479 "," 3,563.6 ", 0.4 , -   
,Varicella zoster (shingles),074, 23 , NN , 20 , 6 , 49 , 15 , 45 , 51 , 209 , 262 , 415 ," 5,918 "," 1,712 "," 3,212.2 ", 0.5 , -   ," 8,351 "," 13,191.0 ", 0.6 , -   
,Varicella zoster (unspecified),075, 4 , NN , 9 , 386 , 70 , 28 , 270 , 148 , 915 , 846 , 788 ," 15,341 "," 5,509 "," 3,852.8 ", 1.4 , -   ," 21,079 "," 14,628.8 ", 1.4 ," 1,168.6 "
Respiratory diseases,Influenza (laboratory confirmed),062, 3 , 193 , 4 , 147 , 127 , 24 , 79 , 155 , "732" ," 5337 ", 17 ," 224,953 "," 37,886 "," 77,222.2 ", 0.5 , -   ," 225,156 "," 133,018.4 ", 1.7 , -   
,Legionellosis,015, -   , 6 , -   , 8 , 3 , -   , 2 , 3 , 22 , 17 , 9 , 479 , 127 , 82.8 , 1.5 , 2.7 , 659 , 455.8 , 1.4 , 66.8 
,Pertussis,024, -   , 6 , 1 , 2 , 4 , -   , 7 , 1 , 21 , 15 , 14 , 372 , 143 ," 1,877.4 ", 0.1 , -   , 495 ," 9,376.0 ", 0.1 , -   
,RSV,083, 25 , 997 , 165 , 319 ," 1,031 ", 375 , 461 ," 1,371 "," 4,744 "," 6,848 ", 69 ," 74,749 "," 47,947 ", 88.6 , 541.2 ," 47,462.2 "," 75,767 ", 90.8 , 834.4 ," 75,270.1 "
,Tuberculosis,034, -   , 19 , -   , 8 , -   , 2 , 13 , 3 , 45 , 58 , 52 , 879 , 308 , 374.2 , 0.8 , -   ," 1,228 "," 1,506.0 ", 0.8 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 5 , -   , 6 , -   , -   , -   , -   , 11 , 9 , 12 , 239 , 70 , 88.2 , 0.8 , -   , 325 , 424.4 , 0.8 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 20 , 11 , 12.4 , 0.9 , -   , 21 , 64.6 , 0.3 , -   
,Dengue virus infection,003, -   , 21 , -   , 2 , -   , 1 , 4 , 1 , 29 , 20 , -   , 221 , 140 , 141.0 , 1.0 , -   , 228 , 830.2 , 0.3 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , 1 , 2.2 , 0.5 , -   , 2 , 14.4 , 0.1 , -   
,Japanese encephalitis virus infection**,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , - , -   , -   , -   , - 
,Malaria,020, -   , -   , -   , 7 , 2 , -   , 1 , 2 , 12 , 10 , 2 , 129 , 57 , 72.6 , 0.8 , -   , 151 , 286.4 , 0.5 , -   
